coin,time_ms,open,high,low,close,volume,time
@232,1765969200000,27.138,27.673,27.138,27.597,869.68,2025-12-17 11:00:00+00:00
@232,1765972800000,27.616,27.843,27.25,27.421,1864.3,2025-12-17 12:00:00+00:00
@232,1765976400000,27.388,27.503,27.264,27.476,1255.65,2025-12-17 13:00:00+00:00
@232,1765980000000,27.455,27.606,26.947,27.546,1778.86,2025-12-17 14:00:00+00:00
@232,1765983600000,27.626,27.873,26.647,26.747,8415.62,2025-12-17 15:00:00+00:00
@232,1765987200000,26.708,27.015,25.63,26.162,2953.07,2025-12-17 16:00:00+00:00
@232,1765990800000,26.123,26.48,25.23,25.299,5095.13,2025-12-17 17:00:00+00:00
@232,1765994400000,25.303,25.52,24.867,24.902,2383.86,2025-12-17 18:00:00+00:00
@232,1765998000000,24.856,25.106,24.681,24.735,1855.39,2025-12-17 19:00:00+00:00
@232,1766001600000,24.776,24.9,24.481,24.76,5953.14,2025-12-17 20:00:00+00:00
@232,1766005200000,24.898,24.99,24.684,24.684,815.56,2025-12-17 21:00:00+00:00
@232,1766008800000,24.656,24.841,24.529,24.769,727.09,2025-12-17 22:00:00+00:00
@232,1766012400000,24.725,24.743,24.222,24.492,499.09,2025-12-17 23:00:00+00:00
@232,1766016000000,24.477,24.559,24.151,24.444,1200.96,2025-12-18 00:00:00+00:00
@232,1766019600000,24.433,24.433,24.174,24.419,959.6,2025-12-18 01:00:00+00:00
@232,1766023200000,24.389,24.745,24.224,24.224,1073.54,2025-12-18 02:00:00+00:00
@232,1766026800000,24.27,24.309,24.111,24.159,280.23,2025-12-18 03:00:00+00:00
@232,1766030400000,24.303,24.53,24.303,24.518,183.83,2025-12-18 04:00:00+00:00
@232,1766034000000,24.551,24.551,24.383,24.383,109.84,2025-12-18 05:00:00+00:00
@232,1766037600000,24.406,24.406,24.104,24.326,337.85,2025-12-18 06:00:00+00:00
@232,1766041200000,24.349,24.443,23.886,23.967,4058.32,2025-12-18 07:00:00+00:00
@232,1766044800000,23.967,24.266,23.889,24.232,2509.91,2025-12-18 08:00:00+00:00
@232,1766048400000,24.189,24.426,23.676,24.378,4149.67,2025-12-18 09:00:00+00:00
@232,1766052000000,24.331,24.46,24.285,24.431,310.72,2025-12-18 10:00:00+00:00
@232,1766055600000,24.409,24.409,24.087,24.36,2136.47,2025-12-18 11:00:00+00:00
@232,1766059200000,24.368,24.393,24.116,24.289,1336.04,2025-12-18 12:00:00+00:00
@232,1766062800000,24.288,25.127,24.288,25.097,3054.72,2025-12-18 13:00:00+00:00
@232,1766066400000,25.114,25.269,24.48,24.876,2466.35,2025-12-18 14:00:00+00:00
@232,1766070000000,24.912,25.2,24.652,24.652,2456.74,2025-12-18 15:00:00+00:00
@232,1766073600000,24.667,24.709,24.298,24.635,1065.31,2025-12-18 16:00:00+00:00
@232,1766077200000,24.463,24.476,23.449,23.751,1722.25,2025-12-18 17:00:00+00:00
@232,1766080800000,23.677,23.91,23.086,23.086,2623.47,2025-12-18 18:00:00+00:00
@232,1766084400000,23.087,23.23,22.6,22.809,2213.65,2025-12-18 19:00:00+00:00
@232,1766088000000,22.993,23.19,22.868,22.95,414.76,2025-12-18 20:00:00+00:00
@232,1766091600000,22.872,23.194,22.872,23.158,1398.38,2025-12-18 21:00:00+00:00
@232,1766095200000,23.109,23.205,22.902,22.902,2087.86,2025-12-18 22:00:00+00:00
@232,1766098800000,22.905,22.914,22.479,22.479,3098.94,2025-12-18 23:00:00+00:00
@232,1766102400000,22.479,22.642,22.252,22.309,1115.1,2025-12-19 00:00:00+00:00
@232,1766106000000,22.348,22.593,22.222,22.593,1388.07,2025-12-19 01:00:00+00:00
@232,1766109600000,22.588,22.942,22.474,22.882,650.85,2025-12-19 02:00:00+00:00
@232,1766113200000,22.925,23.26,22.701,23.052,969.0,2025-12-19 03:00:00+00:00
@232,1766116800000,23.01,23.33,23.01,23.33,449.49,2025-12-19 04:00:00+00:00
@232,1766120400000,23.258,23.463,23.201,23.408,873.76,2025-12-19 05:00:00+00:00
@232,1766124000000,23.495,23.723,23.419,23.723,258.62,2025-12-19 06:00:00+00:00
@232,1766127600000,23.78,24.175,23.62,23.9,667.46,2025-12-19 07:00:00+00:00
@232,1766131200000,23.917,24.039,23.763,24.037,507.38,2025-12-19 08:00:00+00:00
@232,1766134800000,23.975,24.171,23.823,23.975,287.09,2025-12-19 09:00:00+00:00
@232,1766138400000,24.024,24.41,24.021,24.41,7672.74,2025-12-19 10:00:00+00:00
@232,1766142000000,24.4,24.782,24.378,24.534,4638.34,2025-12-19 11:00:00+00:00
@232,1766145600000,24.513,24.549,24.248,24.365,4746.51,2025-12-19 12:00:00+00:00
@232,1766149200000,24.364,24.427,24.161,24.403,4288.51,2025-12-19 13:00:00+00:00
@232,1766152800000,24.397,24.525,23.99,23.99,4586.77,2025-12-19 14:00:00+00:00
@232,1766156400000,24.066,24.699,23.75,23.75,7370.04,2025-12-19 15:00:00+00:00
@232,1766160000000,23.877,24.647,23.877,24.266,5962.54,2025-12-19 16:00:00+00:00
@232,1766163600000,24.342,24.654,23.962,23.993,4073.17,2025-12-19 17:00:00+00:00
@232,1766167200000,23.984,24.517,23.984,24.421,574.01,2025-12-19 18:00:00+00:00
@232,1766170800000,24.374,25.104,24.374,24.809,1054.69,2025-12-19 19:00:00+00:00
@232,1766174400000,24.727,24.898,24.643,24.88,3517.44,2025-12-19 20:00:00+00:00
@232,1766178000000,24.81,24.826,24.516,24.516,194.52,2025-12-19 21:00:00+00:00
@232,1766181600000,24.592,24.697,24.591,24.636,127.0,2025-12-19 22:00:00+00:00
@232,1766185200000,24.607,24.892,24.607,24.889,104.77,2025-12-19 23:00:00+00:00
@232,1766188800000,24.887,24.887,24.628,24.64,238.39,2025-12-20 00:00:00+00:00
@232,1766192400000,24.607,24.639,24.556,24.556,27.36,2025-12-20 01:00:00+00:00
@232,1766196000000,24.564,24.564,24.395,24.458,250.91,2025-12-20 02:00:00+00:00
@232,1766199600000,24.454,24.61,24.384,24.598,852.22,2025-12-20 03:00:00+00:00
@232,1766203200000,24.638,24.647,24.607,24.631,19.61,2025-12-20 04:00:00+00:00
@232,1766206800000,24.589,24.858,24.589,24.673,734.82,2025-12-20 05:00:00+00:00
@232,1766210400000,24.691,24.917,24.689,24.897,104.31,2025-12-20 06:00:00+00:00
@232,1766214000000,24.86,24.864,24.694,24.861,307.74,2025-12-20 07:00:00+00:00
@232,1766217600000,25.002,25.495,25.001,25.242,672.08,2025-12-20 08:00:00+00:00
@232,1766221200000,25.211,25.219,24.807,24.807,77.4,2025-12-20 09:00:00+00:00
@232,1766224800000,24.81,24.888,24.527,24.698,333.78,2025-12-20 10:00:00+00:00
