coin,time_ms,open,high,low,close,volume,time
AERO,1765969200000,0.51834,0.52666,0.51776,0.52594,13598.0,2025-12-17 11:00:00+00:00
AERO,1765972800000,0.52607,0.52824,0.52568,0.52672,6300.0,2025-12-17 12:00:00+00:00
AERO,1765976400000,0.52731,0.52852,0.52142,0.52852,16386.0,2025-12-17 13:00:00+00:00
AERO,1765980000000,0.52841,0.54534,0.51821,0.54261,90634.0,2025-12-17 14:00:00+00:00
AERO,1765983600000,0.54597,0.5483,0.52547,0.5266,80088.0,2025-12-17 15:00:00+00:00
AERO,1765987200000,0.52595,0.53117,0.51457,0.52139,58945.0,2025-12-17 16:00:00+00:00
AERO,1765990800000,0.52126,0.52627,0.51544,0.51562,77946.0,2025-12-17 17:00:00+00:00
AERO,1765994400000,0.51684,0.52075,0.51012,0.512,59638.0,2025-12-17 18:00:00+00:00
AERO,1765998000000,0.51135,0.51634,0.50719,0.51123,119228.0,2025-12-17 19:00:00+00:00
AERO,1766001600000,0.51129,0.51259,0.50447,0.50447,71501.0,2025-12-17 20:00:00+00:00
AERO,1766005200000,0.50638,0.50674,0.50146,0.50503,74415.0,2025-12-17 21:00:00+00:00
AERO,1766008800000,0.50567,0.50996,0.50521,0.50611,74594.0,2025-12-17 22:00:00+00:00
AERO,1766012400000,0.50464,0.50464,0.49578,0.49958,88339.0,2025-12-17 23:00:00+00:00
AERO,1766016000000,0.49959,0.50357,0.49959,0.50181,89055.0,2025-12-18 00:00:00+00:00
AERO,1766019600000,0.50204,0.50227,0.49478,0.49686,98591.0,2025-12-18 01:00:00+00:00
AERO,1766023200000,0.49676,0.50166,0.49392,0.50075,68242.0,2025-12-18 02:00:00+00:00
AERO,1766026800000,0.50042,0.50042,0.49551,0.49834,43305.0,2025-12-18 03:00:00+00:00
AERO,1766030400000,0.49655,0.50147,0.49655,0.49907,7178.0,2025-12-18 04:00:00+00:00
AERO,1766034000000,0.49929,0.49952,0.49059,0.49148,39888.0,2025-12-18 05:00:00+00:00
AERO,1766037600000,0.4909,0.49316,0.48613,0.48669,49227.0,2025-12-18 06:00:00+00:00
AERO,1766041200000,0.48721,0.48921,0.48609,0.48891,22166.0,2025-12-18 07:00:00+00:00
AERO,1766044800000,0.48855,0.4938,0.48774,0.48839,33597.0,2025-12-18 08:00:00+00:00
AERO,1766048400000,0.48826,0.49642,0.48695,0.49297,223202.0,2025-12-18 09:00:00+00:00
AERO,1766052000000,0.49297,0.49503,0.492,0.4931,98300.0,2025-12-18 10:00:00+00:00
AERO,1766055600000,0.49319,0.49373,0.48816,0.49121,25833.0,2025-12-18 11:00:00+00:00
AERO,1766059200000,0.49135,0.49154,0.48703,0.48853,13805.0,2025-12-18 12:00:00+00:00
AERO,1766062800000,0.48869,0.50745,0.48869,0.50735,139570.0,2025-12-18 13:00:00+00:00
AERO,1766066400000,0.50788,0.51302,0.49435,0.49899,225664.0,2025-12-18 14:00:00+00:00
AERO,1766070000000,0.4999,0.51635,0.49831,0.50974,27260.0,2025-12-18 15:00:00+00:00
AERO,1766073600000,0.50991,0.51212,0.50339,0.50367,29585.0,2025-12-18 16:00:00+00:00
AERO,1766077200000,0.50343,0.50343,0.47979,0.48718,105861.0,2025-12-18 17:00:00+00:00
AERO,1766080800000,0.48656,0.48941,0.47753,0.47946,173589.0,2025-12-18 18:00:00+00:00
AERO,1766084400000,0.47966,0.48042,0.46493,0.46591,332198.0,2025-12-18 19:00:00+00:00
AERO,1766088000000,0.46533,0.47333,0.46533,0.47208,54522.0,2025-12-18 20:00:00+00:00
AERO,1766091600000,0.47164,0.48017,0.47164,0.47889,50402.0,2025-12-18 21:00:00+00:00
AERO,1766095200000,0.47967,0.48118,0.4775,0.47804,20615.0,2025-12-18 22:00:00+00:00
AERO,1766098800000,0.47784,0.47784,0.47187,0.47257,8007.0,2025-12-18 23:00:00+00:00
AERO,1766102400000,0.47271,0.47351,0.46392,0.46647,52789.0,2025-12-19 00:00:00+00:00
AERO,1766106000000,0.46669,0.46708,0.46064,0.46355,16904.0,2025-12-19 01:00:00+00:00
AERO,1766109600000,0.46339,0.46898,0.46339,0.46697,17497.0,2025-12-19 02:00:00+00:00
AERO,1766113200000,0.46685,0.48805,0.46685,0.48159,126622.0,2025-12-19 03:00:00+00:00
AERO,1766116800000,0.48251,0.48996,0.48166,0.48666,78099.0,2025-12-19 04:00:00+00:00
AERO,1766120400000,0.48613,0.48613,0.47961,0.47968,12110.0,2025-12-19 05:00:00+00:00
AERO,1766124000000,0.47928,0.48328,0.47802,0.48319,10693.0,2025-12-19 06:00:00+00:00
AERO,1766127600000,0.48409,0.49356,0.48356,0.48667,45025.0,2025-12-19 07:00:00+00:00
AERO,1766131200000,0.48792,0.48923,0.48343,0.48581,8002.0,2025-12-19 08:00:00+00:00
AERO,1766134800000,0.48393,0.48514,0.48242,0.48284,4106.0,2025-12-19 09:00:00+00:00
AERO,1766138400000,0.48305,0.48768,0.48285,0.48737,7846.0,2025-12-19 10:00:00+00:00
AERO,1766142000000,0.48685,0.49103,0.4859,0.48849,28549.0,2025-12-19 11:00:00+00:00
AERO,1766145600000,0.48892,0.49192,0.48763,0.48796,21446.0,2025-12-19 12:00:00+00:00
AERO,1766149200000,0.48935,0.49019,0.48469,0.48503,9720.0,2025-12-19 13:00:00+00:00
AERO,1766152800000,0.4852,0.48937,0.47889,0.48523,101052.0,2025-12-19 14:00:00+00:00
AERO,1766156400000,0.4846,0.49332,0.48173,0.48362,76600.0,2025-12-19 15:00:00+00:00
AERO,1766160000000,0.48289,0.49034,0.47839,0.4821,270855.0,2025-12-19 16:00:00+00:00
AERO,1766163600000,0.48176,0.48745,0.47418,0.47544,70560.0,2025-12-19 17:00:00+00:00
AERO,1766167200000,0.47551,0.47636,0.471,0.47412,22772.0,2025-12-19 18:00:00+00:00
AERO,1766170800000,0.47492,0.48526,0.4745,0.47919,70172.0,2025-12-19 19:00:00+00:00
AERO,1766174400000,0.47961,0.50234,0.47766,0.50092,127955.0,2025-12-19 20:00:00+00:00
AERO,1766178000000,0.50173,0.50297,0.49545,0.49599,196275.0,2025-12-19 21:00:00+00:00
AERO,1766181600000,0.49626,0.50221,0.49566,0.49842,161026.0,2025-12-19 22:00:00+00:00
AERO,1766185200000,0.49899,0.5,0.49735,0.49871,19383.0,2025-12-19 23:00:00+00:00
AERO,1766188800000,0.49937,0.5029,0.49706,0.50141,7448.0,2025-12-20 00:00:00+00:00
AERO,1766192400000,0.50151,0.50922,0.50122,0.50372,53597.0,2025-12-20 01:00:00+00:00
AERO,1766196000000,0.50389,0.50751,0.50307,0.50519,19883.0,2025-12-20 02:00:00+00:00
