coin,time_ms,open,high,low,close,volume,time
BNB,1765969200000,856.06,860.34,855.69,859.44,142.384,2025-12-17 11:00:00+00:00
BNB,1765972800000,859.28,860.34,857.04,860.2,84.563,2025-12-17 12:00:00+00:00
BNB,1765976400000,860.38,864.0,857.26,862.3,397.09,2025-12-17 13:00:00+00:00
BNB,1765980000000,862.59,869.06,854.37,868.92,407.18,2025-12-17 14:00:00+00:00
BNB,1765983600000,868.77,875.42,852.3,853.43,716.927,2025-12-17 15:00:00+00:00
BNB,1765987200000,853.13,857.47,839.15,846.74,1411.108,2025-12-17 16:00:00+00:00
BNB,1765990800000,846.59,848.7,841.57,842.98,749.3,2025-12-17 17:00:00+00:00
BNB,1765994400000,843.08,846.16,835.92,836.98,767.869,2025-12-17 18:00:00+00:00
BNB,1765998000000,837.21,840.64,832.65,840.17,362.098,2025-12-17 19:00:00+00:00
BNB,1766001600000,840.17,844.16,837.89,841.67,272.407,2025-12-17 20:00:00+00:00
BNB,1766005200000,841.61,842.44,837.19,837.98,292.781,2025-12-17 21:00:00+00:00
BNB,1766008800000,838.16,843.09,836.08,843.09,186.913,2025-12-17 22:00:00+00:00
BNB,1766012400000,842.68,842.68,840.04,842.5,91.798,2025-12-17 23:00:00+00:00
BNB,1766016000000,842.4,845.31,839.83,845.05,985.219,2025-12-18 00:00:00+00:00
BNB,1766019600000,845.03,845.03,838.7,840.9,723.751,2025-12-18 01:00:00+00:00
BNB,1766023200000,840.78,845.93,839.53,844.6,295.719,2025-12-18 02:00:00+00:00
BNB,1766026800000,844.6,844.6,832.46,835.81,681.281,2025-12-18 03:00:00+00:00
BNB,1766030400000,835.87,838.59,835.35,835.8,329.993,2025-12-18 04:00:00+00:00
BNB,1766034000000,835.68,836.07,828.72,830.64,1170.793,2025-12-18 05:00:00+00:00
BNB,1766037600000,830.79,834.37,829.94,833.82,190.186,2025-12-18 06:00:00+00:00
BNB,1766041200000,834.07,834.99,832.12,833.09,134.037,2025-12-18 07:00:00+00:00
BNB,1766044800000,833.09,837.03,832.16,835.5,514.714,2025-12-18 08:00:00+00:00
BNB,1766048400000,835.4,838.91,833.83,838.41,276.607,2025-12-18 09:00:00+00:00
BNB,1766052000000,838.4,841.21,837.41,839.32,450.078,2025-12-18 10:00:00+00:00
BNB,1766055600000,839.43,839.43,836.49,838.78,154.105,2025-12-18 11:00:00+00:00
BNB,1766059200000,839.12,840.4,836.73,838.33,306.352,2025-12-18 12:00:00+00:00
BNB,1766062800000,838.66,851.71,838.66,848.24,470.598,2025-12-18 13:00:00+00:00
BNB,1766066400000,848.37,852.71,837.56,842.11,896.051,2025-12-18 14:00:00+00:00
BNB,1766070000000,843.11,850.4,839.34,847.51,363.634,2025-12-18 15:00:00+00:00
BNB,1766073600000,847.68,848.12,843.4,845.05,317.752,2025-12-18 16:00:00+00:00
BNB,1766077200000,845.04,845.04,818.41,831.25,1252.111,2025-12-18 17:00:00+00:00
BNB,1766080800000,831.25,837.97,829.72,831.5,230.546,2025-12-18 18:00:00+00:00
BNB,1766084400000,831.43,831.91,817.52,820.38,514.615,2025-12-18 19:00:00+00:00
BNB,1766088000000,819.83,826.07,819.56,820.84,230.999,2025-12-18 20:00:00+00:00
BNB,1766091600000,820.44,830.09,820.44,829.8,212.481,2025-12-18 21:00:00+00:00
BNB,1766095200000,829.8,831.14,827.58,830.31,398.483,2025-12-18 22:00:00+00:00
BNB,1766098800000,830.94,831.13,827.97,829.48,171.62,2025-12-18 23:00:00+00:00
BNB,1766102400000,829.47,831.89,827.52,830.36,157.845,2025-12-19 00:00:00+00:00
BNB,1766106000000,830.6,830.6,822.92,824.69,204.318,2025-12-19 01:00:00+00:00
BNB,1766109600000,824.65,828.2,821.63,826.3,355.406,2025-12-19 02:00:00+00:00
BNB,1766113200000,826.13,841.2,825.85,836.9,369.583,2025-12-19 03:00:00+00:00
BNB,1766116800000,837.26,840.09,835.39,836.66,181.229,2025-12-19 04:00:00+00:00
BNB,1766120400000,836.79,838.93,835.15,838.84,182.552,2025-12-19 05:00:00+00:00
BNB,1766124000000,839.02,843.42,837.7,843.24,285.36,2025-12-19 06:00:00+00:00
BNB,1766127600000,843.44,849.67,841.9,842.6,263.725,2025-12-19 07:00:00+00:00
BNB,1766131200000,842.7,845.4,841.83,844.37,307.22,2025-12-19 08:00:00+00:00
BNB,1766134800000,844.26,846.93,842.97,845.04,157.822,2025-12-19 09:00:00+00:00
BNB,1766138400000,845.05,846.02,842.74,844.75,189.113,2025-12-19 10:00:00+00:00
BNB,1766142000000,844.55,848.88,844.21,848.67,157.94,2025-12-19 11:00:00+00:00
BNB,1766145600000,848.77,848.88,844.98,845.09,148.814,2025-12-19 12:00:00+00:00
BNB,1766149200000,845.34,847.77,845.25,847.5,428.898,2025-12-19 13:00:00+00:00
BNB,1766152800000,847.61,849.99,843.09,847.88,290.77,2025-12-19 14:00:00+00:00
BNB,1766156400000,847.82,854.22,843.69,846.1,190.599,2025-12-19 15:00:00+00:00
BNB,1766160000000,845.98,852.66,845.66,847.61,178.92,2025-12-19 16:00:00+00:00
BNB,1766163600000,847.96,850.21,843.2,844.79,170.049,2025-12-19 17:00:00+00:00
BNB,1766167200000,844.71,850.62,844.71,848.91,111.054,2025-12-19 18:00:00+00:00
BNB,1766170800000,849.12,857.29,849.12,855.78,184.523,2025-12-19 19:00:00+00:00
BNB,1766174400000,855.95,861.93,854.11,860.1,296.112,2025-12-19 20:00:00+00:00
BNB,1766178000000,860.21,860.21,854.23,854.51,54.607,2025-12-19 21:00:00+00:00
BNB,1766181600000,854.55,856.79,854.51,855.77,54.76,2025-12-19 22:00:00+00:00
BNB,1766185200000,855.83,856.5,854.33,855.85,56.661,2025-12-19 23:00:00+00:00
BNB,1766188800000,855.7,856.65,853.18,853.97,119.557,2025-12-20 00:00:00+00:00
BNB,1766192400000,853.8,853.89,852.0,852.18,60.402,2025-12-20 01:00:00+00:00
BNB,1766196000000,852.3,856.7,852.24,855.76,271.233,2025-12-20 02:00:00+00:00
BNB,1766199600000,855.45,859.19,855.45,857.97,137.789,2025-12-20 03:00:00+00:00
BNB,1766203200000,858.07,858.19,853.66,853.67,48.795,2025-12-20 04:00:00+00:00
BNB,1766206800000,854.1,855.74,852.33,853.77,69.494,2025-12-20 05:00:00+00:00
BNB,1766210400000,853.67,854.7,852.65,853.37,25.464,2025-12-20 06:00:00+00:00
BNB,1766214000000,853.72,853.89,852.0,853.49,50.809,2025-12-20 07:00:00+00:00
BNB,1766217600000,853.5,856.0,853.06,853.16,119.502,2025-12-20 08:00:00+00:00
BNB,1766221200000,853.11,853.71,852.69,852.92,53.569,2025-12-20 09:00:00+00:00
BNB,1766224800000,852.87,852.89,850.59,852.0,102.27,2025-12-20 10:00:00+00:00
BNB,1766228400000,852.11,853.3,851.12,853.03,80.542,2025-12-20 11:00:00+00:00
BNB,1766232000000,853.03,853.29,852.38,852.67,84.214,2025-12-20 12:00:00+00:00
BNB,1766235600000,852.74,853.19,850.9,852.6,163.618,2025-12-20 13:00:00+00:00
BNB,1766239200000,852.59,852.96,850.7,852.85,211.361,2025-12-20 14:00:00+00:00
BNB,1766242800000,852.81,853.67,851.16,853.4,205.251,2025-12-20 15:00:00+00:00
BNB,1766246400000,853.84,854.04,852.64,853.74,52.595,2025-12-20 16:00:00+00:00
BNB,1766250000000,854.03,854.19,852.66,852.94,83.236,2025-12-20 17:00:00+00:00
BNB,1766253600000,852.98,853.72,852.17,852.6,46.779,2025-12-20 18:00:00+00:00
BNB,1766257200000,852.81,853.25,852.16,852.41,39.345,2025-12-20 19:00:00+00:00
BNB,1766260800000,852.46,853.36,852.2,853.0,520.011,2025-12-20 20:00:00+00:00
BNB,1766264400000,853.0,853.38,851.93,851.93,66.992,2025-12-20 21:00:00+00:00
BNB,1766268000000,851.93,852.6,850.72,852.3,79.183,2025-12-20 22:00:00+00:00
BNB,1766271600000,852.2,854.71,851.4,853.99,45.12,2025-12-20 23:00:00+00:00
BNB,1766275200000,853.88,855.0,852.99,853.69,84.2,2025-12-21 00:00:00+00:00
BNB,1766278800000,853.79,853.79,851.19,851.39,89.995,2025-12-21 01:00:00+00:00
BNB,1766282400000,851.3,852.25,846.67,847.31,179.81,2025-12-21 02:00:00+00:00
BNB,1766286000000,847.34,850.7,846.94,849.78,71.64,2025-12-21 03:00:00+00:00
BNB,1766289600000,849.74,850.31,847.93,848.21,25.356,2025-12-21 04:00:00+00:00
BNB,1766293200000,848.22,849.44,847.74,847.91,27.225,2025-12-21 05:00:00+00:00
BNB,1766296800000,847.98,850.09,847.93,849.59,29.236,2025-12-21 06:00:00+00:00
BNB,1766300400000,849.48,849.75,848.16,849.44,29.633,2025-12-21 07:00:00+00:00
BNB,1766304000000,849.39,855.7,848.69,853.88,123.68,2025-12-21 08:00:00+00:00
BNB,1766307600000,853.99,857.47,852.25,856.6,199.98,2025-12-21 09:00:00+00:00
BNB,1766311200000,857.08,859.38,854.49,855.77,153.556,2025-12-21 10:00:00+00:00
BNB,1766314800000,855.81,857.59,855.35,856.16,52.256,2025-12-21 11:00:00+00:00
BNB,1766318400000,856.83,859.26,855.66,858.05,73.159,2025-12-21 12:00:00+00:00
BNB,1766322000000,858.26,858.49,845.28,846.31,423.175,2025-12-21 13:00:00+00:00
BNB,1766325600000,846.14,850.18,845.93,849.9,235.351,2025-12-21 14:00:00+00:00
BNB,1766329200000,849.83,849.9,845.82,848.06,202.25,2025-12-21 15:00:00+00:00
BNB,1766332800000,848.07,851.87,845.78,851.87,86.417,2025-12-21 16:00:00+00:00
BNB,1766336400000,851.79,856.01,851.54,852.74,292.882,2025-12-21 17:00:00+00:00
BNB,1766340000000,852.69,852.91,850.44,852.34,153.386,2025-12-21 18:00:00+00:00
BNB,1766343600000,852.67,856.01,852.67,855.26,102.231,2025-12-21 19:00:00+00:00
BNB,1766347200000,855.23,856.11,853.18,853.24,72.899,2025-12-21 20:00:00+00:00
BNB,1766350800000,853.46,854.43,850.66,851.3,153.458,2025-12-21 21:00:00+00:00
BNB,1766354400000,851.28,856.43,850.96,856.33,62.189,2025-12-21 22:00:00+00:00
BNB,1766358000000,856.48,859.01,855.37,858.28,133.618,2025-12-21 23:00:00+00:00
BNB,1766361600000,858.28,867.33,858.28,859.09,463.654,2025-12-22 00:00:00+00:00
BNB,1766365200000,858.83,863.38,857.46,857.46,76.057,2025-12-22 01:00:00+00:00
BNB,1766368800000,857.19,857.45,850.7,855.25,162.698,2025-12-22 02:00:00+00:00
BNB,1766372400000,855.33,857.54,853.44,855.6,53.247,2025-12-22 03:00:00+00:00
BNB,1766376000000,855.78,859.26,854.83,858.94,41.233,2025-12-22 04:00:00+00:00
BNB,1766379600000,859.28,859.28,855.63,856.54,237.885,2025-12-22 05:00:00+00:00
BNB,1766383200000,856.55,860.26,856.06,858.82,52.908,2025-12-22 06:00:00+00:00
BNB,1766386800000,858.53,860.36,857.72,858.01,34.058,2025-12-22 07:00:00+00:00
BNB,1766390400000,858.13,867.54,858.13,863.28,1138.042,2025-12-22 08:00:00+00:00
BNB,1766394000000,863.32,867.31,861.58,861.58,254.823,2025-12-22 09:00:00+00:00
BNB,1766397600000,861.91,866.9,859.86,865.85,122.988,2025-12-22 10:00:00+00:00
BNB,1766401200000,866.15,866.26,863.95,865.03,72.023,2025-12-22 11:00:00+00:00
BNB,1766404800000,865.23,870.61,864.41,866.18,237.542,2025-12-22 12:00:00+00:00
BNB,1766408400000,866.38,866.87,862.41,863.77,298.637,2025-12-22 13:00:00+00:00
BNB,1766412000000,863.96,869.31,863.11,867.86,853.317,2025-12-22 14:00:00+00:00
BNB,1766415600000,867.79,869.41,861.52,867.41,258.12,2025-12-22 15:00:00+00:00
BNB,1766419200000,867.41,868.45,865.44,866.58,135.311,2025-12-22 16:00:00+00:00
BNB,1766422800000,866.59,867.64,864.28,867.12,290.177,2025-12-22 17:00:00+00:00
BNB,1766426400000,867.11,868.59,865.45,865.93,43.812,2025-12-22 18:00:00+00:00
BNB,1766430000000,866.15,866.15,856.59,857.25,215.746,2025-12-22 19:00:00+00:00
BNB,1766433600000,856.94,858.14,852.94,855.11,167.207,2025-12-22 20:00:00+00:00
BNB,1766437200000,855.2,858.23,854.8,855.41,91.424,2025-12-22 21:00:00+00:00
BNB,1766440800000,855.49,860.4,854.94,859.55,52.883,2025-12-22 22:00:00+00:00
BNB,1766444400000,859.86,859.86,856.91,857.76,34.289,2025-12-22 23:00:00+00:00
BNB,1766448000000,857.97,860.91,857.58,859.7,309.075,2025-12-23 00:00:00+00:00
BNB,1766451600000,859.82,860.12,856.69,858.03,58.751,2025-12-23 01:00:00+00:00
BNB,1766455200000,857.89,859.21,854.32,855.02,58.929,2025-12-23 02:00:00+00:00
BNB,1766458800000,855.06,856.97,851.88,856.92,76.544,2025-12-23 03:00:00+00:00
BNB,1766462400000,856.7,857.24,853.97,854.71,208.617,2025-12-23 04:00:00+00:00
