coin,time_ms,open,high,low,close,volume,time
GRASS,1765969200000,0.30153,0.30383,0.30149,0.30369,17346.8,2025-12-17 11:00:00+00:00
GRASS,1765972800000,0.30377,0.30617,0.30299,0.30558,17013.5,2025-12-17 12:00:00+00:00
GRASS,1765976400000,0.30571,0.31606,0.30556,0.31606,47026.2,2025-12-17 13:00:00+00:00
GRASS,1765980000000,0.31574,0.31866,0.31105,0.31391,61984.6,2025-12-17 14:00:00+00:00
GRASS,1765983600000,0.31404,0.3148,0.30035,0.30181,97624.9,2025-12-17 15:00:00+00:00
GRASS,1765987200000,0.30215,0.3034,0.29123,0.29309,145798.7,2025-12-17 16:00:00+00:00
GRASS,1765990800000,0.29391,0.29552,0.28519,0.289,376450.4,2025-12-17 17:00:00+00:00
GRASS,1765994400000,0.28968,0.2958,0.28956,0.29428,44287.6,2025-12-17 18:00:00+00:00
GRASS,1765998000000,0.29438,0.29438,0.2869,0.28941,22412.8,2025-12-17 19:00:00+00:00
GRASS,1766001600000,0.2897,0.29307,0.28889,0.28929,138420.1,2025-12-17 20:00:00+00:00
GRASS,1766005200000,0.28928,0.29144,0.28882,0.29093,13037.7,2025-12-17 21:00:00+00:00
GRASS,1766008800000,0.29096,0.29641,0.28909,0.29367,8862.4,2025-12-17 22:00:00+00:00
GRASS,1766012400000,0.29259,0.29367,0.29038,0.29331,34132.5,2025-12-17 23:00:00+00:00
GRASS,1766016000000,0.29302,0.29302,0.28865,0.29176,219963.8,2025-12-18 00:00:00+00:00
GRASS,1766019600000,0.29114,0.29819,0.29071,0.29481,20002.3,2025-12-18 01:00:00+00:00
GRASS,1766023200000,0.29485,0.29485,0.29093,0.29157,23388.2,2025-12-18 02:00:00+00:00
GRASS,1766026800000,0.29253,0.29354,0.28967,0.29042,24280.9,2025-12-18 03:00:00+00:00
GRASS,1766030400000,0.29042,0.29218,0.28995,0.29014,14486.5,2025-12-18 04:00:00+00:00
GRASS,1766034000000,0.29014,0.29014,0.28381,0.28565,48511.8,2025-12-18 05:00:00+00:00
GRASS,1766037600000,0.28582,0.28679,0.28432,0.28521,13394.2,2025-12-18 06:00:00+00:00
GRASS,1766041200000,0.28527,0.28706,0.28486,0.28575,28189.8,2025-12-18 07:00:00+00:00
GRASS,1766044800000,0.28552,0.28671,0.28438,0.28659,187907.9,2025-12-18 08:00:00+00:00
GRASS,1766048400000,0.28668,0.28907,0.28556,0.28751,27286.3,2025-12-18 09:00:00+00:00
GRASS,1766052000000,0.28769,0.28872,0.28621,0.28621,23098.0,2025-12-18 10:00:00+00:00
GRASS,1766055600000,0.28651,0.28956,0.28651,0.28817,15853.1,2025-12-18 11:00:00+00:00
GRASS,1766059200000,0.28801,0.28865,0.2846,0.2849,21626.6,2025-12-18 12:00:00+00:00
GRASS,1766062800000,0.2849,0.28746,0.28436,0.28641,18656.7,2025-12-18 13:00:00+00:00
GRASS,1766066400000,0.28691,0.28691,0.27277,0.27407,40836.0,2025-12-18 14:00:00+00:00
GRASS,1766070000000,0.27392,0.2871,0.27373,0.28467,56317.1,2025-12-18 15:00:00+00:00
GRASS,1766073600000,0.28539,0.29555,0.28502,0.29074,22879.5,2025-12-18 16:00:00+00:00
GRASS,1766077200000,0.28972,0.29016,0.28061,0.28234,82039.9,2025-12-18 17:00:00+00:00
GRASS,1766080800000,0.28286,0.28693,0.28008,0.28127,12337.8,2025-12-18 18:00:00+00:00
GRASS,1766084400000,0.28138,0.28165,0.27979,0.28072,74488.0,2025-12-18 19:00:00+00:00
GRASS,1766088000000,0.28043,0.28409,0.27982,0.2822,28822.3,2025-12-18 20:00:00+00:00
GRASS,1766091600000,0.28195,0.2839,0.28077,0.28241,12546.6,2025-12-18 21:00:00+00:00
GRASS,1766095200000,0.28239,0.28365,0.28126,0.28178,17032.5,2025-12-18 22:00:00+00:00
GRASS,1766098800000,0.28193,0.2839,0.28138,0.28289,28301.4,2025-12-18 23:00:00+00:00
GRASS,1766102400000,0.28288,0.28585,0.28223,0.28358,90638.1,2025-12-19 00:00:00+00:00
