coin,time_ms,open,high,low,close,volume,time
PROVE,1765969200000,0.37592,0.37756,0.375,0.37707,8951.0,2025-12-17 11:00:00+00:00
PROVE,1765972800000,0.37737,0.37799,0.37655,0.37768,9257.0,2025-12-17 12:00:00+00:00
PROVE,1765976400000,0.37745,0.37961,0.3762,0.37961,7255.0,2025-12-17 13:00:00+00:00
PROVE,1765980000000,0.38007,0.38396,0.37438,0.38396,12866.0,2025-12-17 14:00:00+00:00
PROVE,1765983600000,0.38468,0.38478,0.37206,0.37303,21686.0,2025-12-17 15:00:00+00:00
PROVE,1765987200000,0.37256,0.37424,0.36525,0.3683,32526.0,2025-12-17 16:00:00+00:00
PROVE,1765990800000,0.3689,0.36998,0.36485,0.36509,7597.0,2025-12-17 17:00:00+00:00
PROVE,1765994400000,0.36529,0.36719,0.3607,0.36082,5443.0,2025-12-17 18:00:00+00:00
PROVE,1765998000000,0.36141,0.36351,0.35951,0.36351,6558.0,2025-12-17 19:00:00+00:00
PROVE,1766001600000,0.36323,0.36486,0.36207,0.36229,4421.0,2025-12-17 20:00:00+00:00
PROVE,1766005200000,0.36304,0.36349,0.35976,0.36094,34772.0,2025-12-17 21:00:00+00:00
PROVE,1766008800000,0.36083,0.36288,0.35955,0.36246,4868.0,2025-12-17 22:00:00+00:00
PROVE,1766012400000,0.36274,0.36274,0.36059,0.36097,4629.0,2025-12-17 23:00:00+00:00
PROVE,1766016000000,0.36108,0.36403,0.36089,0.36364,18842.0,2025-12-18 00:00:00+00:00
PROVE,1766019600000,0.36355,0.36355,0.3604,0.36175,4597.0,2025-12-18 01:00:00+00:00
PROVE,1766023200000,0.36188,0.36381,0.36081,0.36111,3942.0,2025-12-18 02:00:00+00:00
PROVE,1766026800000,0.36125,0.36227,0.36038,0.36111,5124.0,2025-12-18 03:00:00+00:00
PROVE,1766030400000,0.36159,0.36247,0.36095,0.36115,3845.0,2025-12-18 04:00:00+00:00
PROVE,1766034000000,0.36122,0.36126,0.35512,0.35594,11400.0,2025-12-18 05:00:00+00:00
PROVE,1766037600000,0.35568,0.35677,0.35423,0.35541,5249.0,2025-12-18 06:00:00+00:00
PROVE,1766041200000,0.35608,0.35769,0.35546,0.35667,7476.0,2025-12-18 07:00:00+00:00
PROVE,1766044800000,0.35698,0.35894,0.3564,0.35857,3740.0,2025-12-18 08:00:00+00:00
PROVE,1766048400000,0.35832,0.36049,0.35832,0.35987,6223.0,2025-12-18 09:00:00+00:00
PROVE,1766052000000,0.35964,0.3609,0.35962,0.36047,4556.0,2025-12-18 10:00:00+00:00
PROVE,1766055600000,0.36069,0.36137,0.35976,0.36137,21308.0,2025-12-18 11:00:00+00:00
PROVE,1766059200000,0.36114,0.36216,0.36028,0.36159,3900.0,2025-12-18 12:00:00+00:00
PROVE,1766062800000,0.36163,0.36821,0.36163,0.36778,11759.0,2025-12-18 13:00:00+00:00
PROVE,1766066400000,0.36848,0.36987,0.36383,0.3655,31109.0,2025-12-18 14:00:00+00:00
PROVE,1766070000000,0.36592,0.37006,0.36425,0.36798,8993.0,2025-12-18 15:00:00+00:00
PROVE,1766073600000,0.3679,0.36827,0.36412,0.36422,9521.0,2025-12-18 16:00:00+00:00
PROVE,1766077200000,0.36423,0.36438,0.3491,0.35555,63650.0,2025-12-18 17:00:00+00:00
PROVE,1766080800000,0.35553,0.35798,0.34751,0.34835,3728.0,2025-12-18 18:00:00+00:00
PROVE,1766084400000,0.34697,0.34794,0.33975,0.34054,18764.0,2025-12-18 19:00:00+00:00
PROVE,1766088000000,0.3411,0.34511,0.3411,0.34427,8806.0,2025-12-18 20:00:00+00:00
PROVE,1766091600000,0.34646,0.35042,0.34646,0.35042,24054.0,2025-12-18 21:00:00+00:00
PROVE,1766095200000,0.35002,0.35071,0.34868,0.35017,7624.0,2025-12-18 22:00:00+00:00
PROVE,1766098800000,0.35022,0.35022,0.34768,0.34815,7864.0,2025-12-18 23:00:00+00:00
PROVE,1766102400000,0.34842,0.34958,0.34751,0.34855,15119.0,2025-12-19 00:00:00+00:00
PROVE,1766106000000,0.3486,0.34877,0.34663,0.34738,13754.0,2025-12-19 01:00:00+00:00
PROVE,1766109600000,0.34708,0.35276,0.34658,0.35165,11677.0,2025-12-19 02:00:00+00:00
PROVE,1766113200000,0.35165,0.36033,0.35165,0.3575,52694.0,2025-12-19 03:00:00+00:00
PROVE,1766116800000,0.35796,0.36035,0.35779,0.36008,31221.0,2025-12-19 04:00:00+00:00
PROVE,1766120400000,0.36005,0.36005,0.35823,0.35903,21055.0,2025-12-19 05:00:00+00:00
PROVE,1766124000000,0.35912,0.36172,0.35857,0.36162,8036.0,2025-12-19 06:00:00+00:00
PROVE,1766127600000,0.36153,0.36646,0.36153,0.3631,21349.0,2025-12-19 07:00:00+00:00
PROVE,1766131200000,0.36344,0.36493,0.36214,0.36388,13027.0,2025-12-19 08:00:00+00:00
PROVE,1766134800000,0.36406,0.36428,0.36228,0.36268,2984.0,2025-12-19 09:00:00+00:00
PROVE,1766138400000,0.36305,0.36364,0.36151,0.36236,13073.0,2025-12-19 10:00:00+00:00
PROVE,1766142000000,0.3621,0.36457,0.36148,0.36363,7442.0,2025-12-19 11:00:00+00:00
PROVE,1766145600000,0.36437,0.36583,0.36327,0.36538,6097.0,2025-12-19 12:00:00+00:00
PROVE,1766149200000,0.36538,0.36585,0.36411,0.36538,9088.0,2025-12-19 13:00:00+00:00
PROVE,1766152800000,0.36538,0.36929,0.36437,0.3682,6481.0,2025-12-19 14:00:00+00:00
PROVE,1766156400000,0.36803,0.37402,0.36688,0.37194,20495.0,2025-12-19 15:00:00+00:00
PROVE,1766160000000,0.37212,0.3749,0.36889,0.36921,4339.0,2025-12-19 16:00:00+00:00
PROVE,1766163600000,0.36985,0.3717,0.36524,0.3653,15365.0,2025-12-19 17:00:00+00:00
PROVE,1766167200000,0.36494,0.36846,0.36462,0.36722,14284.0,2025-12-19 18:00:00+00:00
PROVE,1766170800000,0.36759,0.37557,0.36732,0.37431,7194.0,2025-12-19 19:00:00+00:00
PROVE,1766174400000,0.3752,0.37549,0.37283,0.37346,27165.0,2025-12-19 20:00:00+00:00
PROVE,1766178000000,0.3737,0.3737,0.37073,0.37097,4254.0,2025-12-19 21:00:00+00:00
PROVE,1766181600000,0.371,0.37417,0.371,0.37362,4546.0,2025-12-19 22:00:00+00:00
PROVE,1766185200000,0.37362,0.37467,0.37235,0.37435,16546.0,2025-12-19 23:00:00+00:00
PROVE,1766188800000,0.37415,0.3845,0.37395,0.37728,93222.0,2025-12-20 00:00:00+00:00
PROVE,1766192400000,0.37752,0.37789,0.37587,0.37626,13988.0,2025-12-20 01:00:00+00:00
PROVE,1766196000000,0.37621,0.37856,0.37547,0.37785,4952.0,2025-12-20 02:00:00+00:00
PROVE,1766199600000,0.37972,0.38364,0.3769,0.3818,21485.0,2025-12-20 03:00:00+00:00
PROVE,1766203200000,0.38198,0.38455,0.38122,0.38454,8653.0,2025-12-20 04:00:00+00:00
