coin,time_ms,open,high,low,close,volume,time
vntl:MAG7,1765969200000,67.062,67.062,66.96,67.021,413.807,2025-12-17 11:00:00+00:00
vntl:MAG7,1765972800000,67.062,67.08,67.041,67.047,574.897,2025-12-17 12:00:00+00:00
vntl:MAG7,1765976400000,67.047,67.049,66.818,66.915,1297.6,2025-12-17 13:00:00+00:00
vntl:MAG7,1765980000000,66.915,66.934,66.355,66.592,2257.78,2025-12-17 14:00:00+00:00
vntl:MAG7,1765983600000,66.591,66.61,65.883,65.886,2686.798,2025-12-17 15:00:00+00:00
vntl:MAG7,1765987200000,65.886,66.074,65.87,65.937,5530.015,2025-12-17 16:00:00+00:00
vntl:MAG7,1765990800000,65.935,66.072,65.887,65.976,1170.921,2025-12-17 17:00:00+00:00
vntl:MAG7,1765994400000,65.976,66.058,65.676,65.676,3537.25,2025-12-17 18:00:00+00:00
vntl:MAG7,1765998000000,65.682,65.682,65.53,65.643,986.156,2025-12-17 19:00:00+00:00
vntl:MAG7,1766001600000,65.643,65.643,65.295,65.295,2876.43,2025-12-17 20:00:00+00:00
vntl:MAG7,1766005200000,65.294,65.479,65.265,65.325,1205.324,2025-12-17 21:00:00+00:00
vntl:MAG7,1766008800000,65.323,65.379,65.236,65.371,1921.076,2025-12-17 22:00:00+00:00
vntl:MAG7,1766012400000,65.371,65.373,65.332,65.332,104.006,2025-12-17 23:00:00+00:00
vntl:MAG7,1766016000000,65.33,65.373,65.33,65.373,62.32,2025-12-18 00:00:00+00:00
vntl:MAG7,1766019600000,65.392,65.575,65.392,65.497,793.628,2025-12-18 01:00:00+00:00
vntl:MAG7,1766023200000,65.496,65.634,65.453,65.572,633.426,2025-12-18 02:00:00+00:00
vntl:MAG7,1766026800000,65.56,65.56,65.479,65.48,125.388,2025-12-18 03:00:00+00:00
vntl:MAG7,1766030400000,65.481,65.499,65.48,65.499,329.897,2025-12-18 04:00:00+00:00
vntl:MAG7,1766034000000,65.48,65.487,65.48,65.487,382.67,2025-12-18 05:00:00+00:00
vntl:MAG7,1766037600000,65.5,65.5,65.409,65.444,842.481,2025-12-18 06:00:00+00:00
vntl:MAG7,1766041200000,65.477,65.6,65.477,65.6,281.269,2025-12-18 07:00:00+00:00
vntl:MAG7,1766044800000,65.6,65.652,65.586,65.586,679.663,2025-12-18 08:00:00+00:00
vntl:MAG7,1766048400000,65.592,65.682,65.591,65.681,297.31,2025-12-18 09:00:00+00:00
vntl:MAG7,1766052000000,65.682,65.921,65.682,65.859,768.319,2025-12-18 10:00:00+00:00
vntl:MAG7,1766055600000,65.859,65.859,65.8,65.819,82.307,2025-12-18 11:00:00+00:00
vntl:MAG7,1766059200000,65.818,65.925,65.818,65.859,1114.59,2025-12-18 12:00:00+00:00
vntl:MAG7,1766062800000,65.859,66.216,65.858,66.187,1338.624,2025-12-18 13:00:00+00:00
vntl:MAG7,1766066400000,66.187,66.399,65.866,66.335,3644.608,2025-12-18 14:00:00+00:00
vntl:MAG7,1766070000000,66.336,66.868,66.196,66.868,2143.597,2025-12-18 15:00:00+00:00
vntl:MAG7,1766073600000,66.868,67.082,66.868,67.049,1232.559,2025-12-18 16:00:00+00:00
vntl:MAG7,1766077200000,67.049,67.049,66.447,66.988,3319.862,2025-12-18 17:00:00+00:00
vntl:MAG7,1766080800000,66.935,67.046,66.93,66.932,1297.774,2025-12-18 18:00:00+00:00
vntl:MAG7,1766084400000,66.931,66.931,66.579,66.579,1408.606,2025-12-18 19:00:00+00:00
vntl:MAG7,1766088000000,66.579,66.845,66.493,66.67,4359.442,2025-12-18 20:00:00+00:00
vntl:MAG7,1766091600000,66.654,66.654,66.509,66.509,222.36,2025-12-18 21:00:00+00:00
vntl:MAG7,1766095200000,66.508,66.577,66.507,66.577,293.822,2025-12-18 22:00:00+00:00
vntl:MAG7,1766098800000,66.611,66.611,66.55,66.579,159.843,2025-12-18 23:00:00+00:00
vntl:MAG7,1766102400000,66.58,66.584,66.579,66.584,167.108,2025-12-19 00:00:00+00:00
vntl:MAG7,1766106000000,66.584,66.623,66.533,66.545,698.368,2025-12-19 01:00:00+00:00
vntl:MAG7,1766109600000,66.582,66.753,66.582,66.72,1506.763,2025-12-19 02:00:00+00:00
vntl:MAG7,1766113200000,66.709,66.822,66.709,66.765,2329.327,2025-12-19 03:00:00+00:00
vntl:MAG7,1766116800000,66.786,66.847,66.781,66.847,713.981,2025-12-19 04:00:00+00:00
vntl:MAG7,1766120400000,66.84,66.84,66.752,66.76,128.537,2025-12-19 05:00:00+00:00
vntl:MAG7,1766124000000,66.758,66.758,66.735,66.735,124.348,2025-12-19 06:00:00+00:00
vntl:MAG7,1766127600000,66.736,67.045,66.736,66.913,1948.141,2025-12-19 07:00:00+00:00
vntl:MAG7,1766131200000,66.914,67.08,66.907,66.963,380.627,2025-12-19 08:00:00+00:00
vntl:MAG7,1766134800000,66.954,66.978,66.895,66.978,214.018,2025-12-19 09:00:00+00:00
vntl:MAG7,1766138400000,66.999,67.0,66.999,66.999,139.568,2025-12-19 10:00:00+00:00
vntl:MAG7,1766142000000,66.989,66.989,66.87,66.926,491.45,2025-12-19 11:00:00+00:00
vntl:MAG7,1766145600000,66.91,66.912,66.772,66.772,938.229,2025-12-19 12:00:00+00:00
vntl:MAG7,1766149200000,66.767,66.801,66.756,66.796,53.434,2025-12-19 13:00:00+00:00
vntl:MAG7,1766152800000,66.797,67.054,66.704,67.0,634.424,2025-12-19 14:00:00+00:00
vntl:MAG7,1766156400000,67.004,67.06,66.77,66.86,3593.114,2025-12-19 15:00:00+00:00
vntl:MAG7,1766160000000,66.885,67.032,66.826,66.943,1303.057,2025-12-19 16:00:00+00:00
vntl:MAG7,1766163600000,66.943,67.165,66.932,67.092,1262.881,2025-12-19 17:00:00+00:00
vntl:MAG7,1766167200000,67.091,67.091,66.999,67.0,1869.543,2025-12-19 18:00:00+00:00
vntl:MAG7,1766170800000,67.023,67.086,66.982,66.996,2719.335,2025-12-19 19:00:00+00:00
vntl:MAG7,1766174400000,67.021,67.104,66.964,67.058,3187.676,2025-12-19 20:00:00+00:00
vntl:MAG7,1766178000000,67.058,67.086,67.058,67.062,884.548,2025-12-19 21:00:00+00:00
vntl:MAG7,1766181600000,67.063,67.092,67.063,67.092,740.948,2025-12-19 22:00:00+00:00
vntl:MAG7,1766185200000,67.106,67.122,67.106,67.122,59.817,2025-12-19 23:00:00+00:00
vntl:MAG7,1766188800000,67.14,67.14,67.139,67.14,9.432,2025-12-20 00:00:00+00:00
vntl:MAG7,1766192400000,67.163,67.213,67.163,67.213,38.736,2025-12-20 01:00:00+00:00
vntl:MAG7,1766196000000,67.212,67.247,67.212,67.214,427.231,2025-12-20 02:00:00+00:00
vntl:MAG7,1766199600000,67.214,67.237,67.214,67.236,431.853,2025-12-20 03:00:00+00:00
vntl:MAG7,1766203200000,67.236,67.236,67.236,67.236,22.267,2025-12-20 04:00:00+00:00
vntl:MAG7,1766206800000,67.236,67.237,67.236,67.237,71.171,2025-12-20 05:00:00+00:00
vntl:MAG7,1766210400000,67.237,67.237,67.236,67.236,215.641,2025-12-20 06:00:00+00:00
vntl:MAG7,1766214000000,67.235,67.236,67.234,67.236,66.0,2025-12-20 07:00:00+00:00
vntl:MAG7,1766217600000,67.236,67.236,67.235,67.235,22.295,2025-12-20 08:00:00+00:00
vntl:MAG7,1766221200000,67.236,67.236,67.207,67.207,232.257,2025-12-20 09:00:00+00:00
vntl:MAG7,1766224800000,67.207,67.207,67.207,67.207,8.013,2025-12-20 10:00:00+00:00
vntl:MAG7,1766228400000,67.207,67.207,67.207,67.207,0.0,2025-12-20 11:00:00+00:00
vntl:MAG7,1766232000000,67.207,67.208,67.207,67.208,119.601,2025-12-20 12:00:00+00:00
vntl:MAG7,1766235600000,67.207,67.213,67.207,67.213,71.775,2025-12-20 13:00:00+00:00
vntl:MAG7,1766239200000,67.213,67.213,67.211,67.212,75.394,2025-12-20 14:00:00+00:00
vntl:MAG7,1766242800000,67.212,67.224,67.211,67.224,41.026,2025-12-20 15:00:00+00:00
vntl:MAG7,1766246400000,67.231,67.231,67.231,67.231,2.228,2025-12-20 16:00:00+00:00
vntl:MAG7,1766250000000,67.217,67.217,67.217,67.217,0.001,2025-12-20 17:00:00+00:00
vntl:MAG7,1766253600000,67.216,67.216,67.216,67.216,1.508,2025-12-20 18:00:00+00:00
vntl:MAG7,1766257200000,67.216,67.216,67.206,67.207,52.846,2025-12-20 19:00:00+00:00
vntl:MAG7,1766260800000,67.22,67.237,67.22,67.237,350.684,2025-12-20 20:00:00+00:00
vntl:MAG7,1766264400000,67.234,67.234,67.234,67.234,49.814,2025-12-20 21:00:00+00:00
vntl:MAG7,1766268000000,67.235,67.237,67.234,67.234,25.639,2025-12-20 22:00:00+00:00
vntl:MAG7,1766271600000,67.234,67.297,67.234,67.266,422.765,2025-12-20 23:00:00+00:00
vntl:MAG7,1766275200000,67.245,67.248,67.245,67.248,5.985,2025-12-21 00:00:00+00:00
vntl:MAG7,1766278800000,67.246,67.257,67.234,67.235,138.06,2025-12-21 01:00:00+00:00
