coin,time_ms,open,high,low,close,volume,time
xyz:CRCL,1765969200000,82.883,83.318,82.733,83.292,495.469,2025-12-17 11:00:00+00:00
xyz:CRCL,1765972800000,83.243,83.724,83.201,83.688,217.14,2025-12-17 12:00:00+00:00
xyz:CRCL,1765976400000,83.672,83.834,83.04,83.523,254.951,2025-12-17 13:00:00+00:00
xyz:CRCL,1765980000000,83.778,85.738,82.18,85.518,4933.141,2025-12-17 14:00:00+00:00
xyz:CRCL,1765983600000,85.68,85.68,80.696,80.994,5170.331,2025-12-17 15:00:00+00:00
xyz:CRCL,1765987200000,81.345,81.924,80.07,80.669,1077.386,2025-12-17 16:00:00+00:00
xyz:CRCL,1765990800000,80.81,80.96,79.94,80.256,596.964,2025-12-17 17:00:00+00:00
xyz:CRCL,1765994400000,80.272,81.393,80.272,81.33,1718.648,2025-12-17 18:00:00+00:00
xyz:CRCL,1765998000000,81.38,81.66,81.08,81.66,118.801,2025-12-17 19:00:00+00:00
xyz:CRCL,1766001600000,81.612,81.612,79.128,79.18,844.279,2025-12-17 20:00:00+00:00
xyz:CRCL,1766005200000,79.128,79.699,78.79,79.168,1936.321,2025-12-17 21:00:00+00:00
xyz:CRCL,1766008800000,78.898,79.419,78.807,79.35,82.729,2025-12-17 22:00:00+00:00
xyz:CRCL,1766012400000,79.36,79.467,79.194,79.194,674.957,2025-12-17 23:00:00+00:00
xyz:CRCL,1766016000000,79.194,79.801,79.072,79.569,1177.965,2025-12-18 00:00:00+00:00
xyz:CRCL,1766019600000,79.61,79.929,79.207,79.784,252.218,2025-12-18 01:00:00+00:00
xyz:CRCL,1766023200000,79.824,80.327,79.824,80.082,580.708,2025-12-18 02:00:00+00:00
xyz:CRCL,1766026800000,79.914,80.162,79.648,80.162,183.66,2025-12-18 03:00:00+00:00
xyz:CRCL,1766030400000,80.137,80.254,80.019,80.235,1247.035,2025-12-18 04:00:00+00:00
xyz:CRCL,1766034000000,80.16,80.16,79.99,80.031,10.907,2025-12-18 05:00:00+00:00
xyz:CRCL,1766037600000,79.893,79.893,79.867,79.867,0.103,2025-12-18 06:00:00+00:00
xyz:CRCL,1766041200000,79.917,80.159,79.865,80.021,105.182,2025-12-18 07:00:00+00:00
xyz:CRCL,1766044800000,80.063,80.188,79.918,80.04,567.71,2025-12-18 08:00:00+00:00
xyz:CRCL,1766048400000,79.924,80.231,79.924,80.231,48.214,2025-12-18 09:00:00+00:00
