address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,FARTCOIN,B,Close Short,0.18659,2447.8,456.73500200000007,1040.094698,0.095914,1770370557403,False,True,2026-02-06 09:35:57.403000+00:00,False,True,False,True
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,@162,A,Sell,0.18631,2447.8,456.04961800000007,-1042.34980837,0.12769389,1770370558162,False,True,2026-02-06 09:35:58.162000+00:00,False,False,False,False
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,FARTCOIN,B,Close Short,0.18643,1283.2,239.22697600000004,545.449824,0.006698,1770370577112,False,False,2026-02-06 09:36:17.112000+00:00,False,True,False,True
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,@162,A,Sell,0.18606,1283.2,238.752192,-546.74749912,0.01671265,1770370581151,False,False,2026-02-06 09:36:21.151000+00:00,False,False,False,False
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,FARTCOIN,B,Close Short,0.18624,5344.2,995.3038079999999,2272.674492,0.209013,1770370586062,False,True,2026-02-06 09:36:26.062000+00:00,False,True,False,True
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,@162,A,Sell,0.18587,4290.0,797.3823,-1828.70379328,0.05581676,1770370591283,False,False,2026-02-06 09:36:31.283000+00:00,False,False,False,False
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,@162,A,Sell,0.18587,1054.2,195.94415400000003,-449.37518388,0.01371609,1770370600592,False,False,2026-02-06 09:36:40.592000+00:00,False,False,False,False
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,FARTCOIN,B,Close Short,0.18585,2718.8,505.28898,1157.25722,0.014148,1770370612175,False,False,2026-02-06 09:36:52.175000+00:00,False,True,False,True
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,FARTCOIN,B,Close Short,0.18585,2658.7,494.11939499999994,1131.675655,0.013835,1770370612258,False,False,2026-02-06 09:36:52.258000+00:00,False,True,False,True
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,@162,A,Sell,0.18558,2718.8,504.554904,-1159.73480938,0.14127537,1770370613881,False,True,2026-02-06 09:36:53.881000+00:00,False,False,False,False
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,@162,A,Sell,0.18558,2658.7,493.40154599999994,-1134.09847642,0.13815243,1770370613881,False,True,2026-02-06 09:36:53.881000+00:00,False,False,False,False
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,@162,A,Sell,0.18558,1490.9,276.681222,-635.96021307,0.07747074,1770370614011,False,True,2026-02-06 09:36:54.011000+00:00,False,False,False,False
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,@162,A,Sell,0.18553,1227.9,227.81228700000003,-523.8359913,0.06378744,1770370614011,False,True,2026-02-06 09:36:54.011000+00:00,False,False,False,False
