address,n_scored_trades,smart_money_score,grade,ic_1h,ic_4h,ic_8h,ic_24h,ic_recent_8h,icir_8h,ic_trend,ic_trend_direction,rolling_ic_values,display_name,pnl_alltime,pnl_month,rank,smart_money_rank
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,897,1.4544,TIER_1,4.2852,2.8456,44.1743,42.0485,105.2093,1.3079,-0.003276,DETERIORATING,"[44.06645807979395, 44.0741770258174, 44.0803342420644, 44.09373082071877, 44.10713428310592, 44.120544570407276, 44.13396162420816, 44.14738538649456, 44.16081579964999, 44.174252806452294]",,121451437.339834,1494263.7055239999,8,1
0x7fdafde5cfb5465924316eced2d3715494c517d1,1038,1.1654,TIER_1,0.6134,0.3339,1.3085,1.7338,1.4509,5.4634,-0.000748,DETERIORATING,"[1.3142088954001994, 1.3132635980860945, 1.3123413604502587, 1.3114417337493565, 1.3105642806204039, 1.3098481667412445, 1.309133864815766, 1.3084383226472114, 1.307761197457725, 1.3070799553047638]",BobbyBigSize,156701811.12808302,-4135541.390978,3,2
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,499,0.9621,TIER_1,0.3962,0.8933,1.0031,0.0,1.1343,6.0924,0.000742,IMPROVING,"[1.0083125629334577, 1.0100700363161976, 1.0118302881982149, 1.013593175554534, 1.0152877307316492, 1.0162840722721826, 1.0165151931217664, 1.0118572486580821, 1.007260912656462, 1.0027249902989954]",,198160103.532972,1974738.638745,1,3
0x010461c14e146ac35fe42271bdc1134ee31c703a,253,0.1481,MARGINAL,-0.1566,-0.0189,-0.0193,0.0,0.2346,1.1205,-0.001464,DETERIORATING,"[0.0036350695395753105, 0.0014195229951453245, -0.00030760613287498845, -0.00661368085243091, -0.008101461202075937, -0.01357836774071979, -0.01899329405411244, -0.02000094915885931, -0.022053887412471922, -0.027299772050327364]",,47146798.121373,503397.527599,34,4
0x5d2f4460ac3514ada79f5d9838916e508ab39bb7,494,0.0561,MARGINAL,0.1307,-0.1434,0.1168,0.1072,0.1168,-0.3575,-0.000183,DETERIORATING,"[0.27758633936668403, 0.2774332930531092, 0.27728147523201846, 0.2771308751919783, 0.2769814823461632, 0.2768332862305229, 0.2766862765019832, 0.27654044293667907, 0.2763957754282181, 0.2762522639859751]",,61479405.503599,-16191.525844,21,5
0x023a3d058020fb76cca98f01b3c48c8938a22355,933,0.0352,NO_EDGE,-0.5853,-0.2677,-0.0489,-0.1805,0.1194,0.021,6.8e-05,IMPROVING,"[-0.05365817700093872, -0.05384711142395464, -0.05312909507920575, -0.05328159531592435, -0.052359164316462585, -0.051693245707873675, -0.05103234810226972, -0.05035521515903171, -0.049631428378449055, -0.049983464136229]",Auros,66098110.504749,5540105.232914,19,6
0xa464abbf049fb75585484addcbc00169062e813a,264,0.0271,NO_EDGE,-0.1413,-0.018,-0.4548,-0.2187,0.7084,-0.2971,-0.017352,DETERIORATING,"[0.7424166633233039, 0.7319982244888457, 0.7219091359180752, 0.7121315102017213, 0.7026488020369985, 0.6934456811168255, 0.6845079194475356, 0.6758222911974655, 0.667376483461162, 0.7083861437357278]",fuck jeff gib S3,31666548.211811,302.929688,50,7
0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,0,0.0,UNKNOWN,,,,,,,,,,jefe,71805687.119586,77644.633977,18,8
0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,,144134956.266497,91.643188,5,9
0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,0,0.0,INSUFFICIENT_DATA,,,,,,,,,,thank you jefef,150862936.793348,0.0,4,10
