address,address_short,rank,account_value,pnl_alltime,pnl_month,pnl_week,roi_alltime,roi_month,volume_month,n_open_positions,open_assets,max_leverage,sufficient_data,total_trades,n_assets_traded,total_closed_pnl,total_fees_paid,net_pnl,win_rate,n_wins,n_losses,avg_win,avg_loss,profit_factor,n_liquidations,liquidation_rate,top_asset_1,top_asset_2,top_asset_3,asset_hhi,is_concentrated,long_pct,short_pct,bias,avg_trade_value,median_trade_value,max_trade_value,avg_hold_hours,hold_style,trades_per_day,days_active,sharpe,max_drawdown,peak_hour_utc,total_funding_pnl,funding_pnl_pct
0x14b25601e369b40f5bcd1de0f9a53174e3c59d34,0x14b2…9d34,1,2653.326422,4453252.016422,2508.971846,901.202651,17.5915716942,17.3806187204,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x4583f9b7a06ab8b5b7b4a7dd27e774356015d406,0x4583…d406,2,7.421112,2806947.061112,1348.69219,0.28943,5.0473989483,2.6694298596,2892.44,0,,0.0,True,2000.0,13.0,11402.210983,1160.9995849999998,10241.211398000001,0.5922330097087378,549.0,378.0,85.55686041347906,-94.09657508994708,1.3205704276831698,9.0,0.009708737864077669,xyz:SILVER,MON,FOGO,0.308392,False,0.72,0.2795,LONG,2556.266334006354,662.04,274499.5,25.09210486111111,SWING,100.0,20.0,2.227986711413653,-0.5764706905832214,13.0,937.051295,0.09149809124953676
0x052c405b0291dbac72c6a106db8c65580c53241f,0x052c…241f,3,4552.430491,1643265.570491,4539.092043,1365.226169,155.9398607578,22.695460215,0.0,0,,0.0,True,173.0,7.0,2825.1752345699997,63.23465262090001,2761.9405819491,1.0,65.0,0.0,43.49035567692307,,,9.0,0.13846153846153847,HYPE,,,0.4701460122289418,False,0.5838150289017341,0.0,NEUTRAL,6642.732939192959,2214.2848,150031.48636,14.67463972222222,SWING,8.238095238095237,21.0,0.0,0.0,14.0,-41.91863700000001,-0.015177240695894352
0x45d3730a8f811519f3cc310d54ffc4d2142b3773,0x45d3…3773,4,6.270363,1591386.130363,1014.77649,0.067272,6.4474000943,5.07388245,2031.32,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,0xc3cd…efcf,5,72.681172,1583662.461172,2592.249296,11.579629,24.2605349573,12.1132082786,5315.76,0,,0.0,True,47.0,8.0,-1785.9681179999995,142.84038137950003,-1928.8084993794996,0.0,0.0,21.0,,-207.88048352380952,,0.0,0.0,BTC,,,0.4549569941149841,False,0.0,0.6595744680851063,SHORT,4530.529129573399,277.938,29999.6112,71.10847833333334,SWING,0.5949367088607594,79.0,0.0,0.0,5.0,58.58532399999999,0.03037384168456691
0x7ee8fd43698a51053cd9729b29cbd90ab68fbc6c,0x7ee8…bc6c,6,4250.431871,1275349.741871,4203.232363,1491.989658,30.5635490461,42.03232363,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x81710fb3ee7b37d93660fa29986d0c6efb53957f,0x8171…957f,7,19205.42783,1263723.28783,273999.552381,0.02632,13.8713898535,4.0565713575,189967482.49,0,,0.0,True,2000.0,2.0,-46155.32083777998,1917.7822378800001,-48073.10307565998,0.0,0.0,1853.0,,-24.85611585429033,,0.0,0.0,BTC,,,0.9772645,True,0.9885,0.0,LONG,2413.718410317853,11.255999999999998,1095342.88796,35.359808055555554,SWING,1000.0,2.0,0.0,0.0,16.0,-1279.6012969999997,-0.026617821923958097
0x003a85c562730b196f7cba202a2515f2ff855736,0x003a…5736,8,513911.92318,1106215.50318,408007.20619,264139.100925,6.8476069995,3.7123721107,12422907.05,3,"BTC,ETH,HYPE",40.0,True,2000.0,6.0,-63919.434485,4260.958396,-68180.39288099999,0.3818443804034582,265.0,429.0,250.5439094377358,-303.7218853053613,0.5095611915737205,156.0,0.22478386167146974,ETH,HYPE,ZEC,0.2956004999999999,False,0.795,0.2055,LONG,7142.09274412,1265.87461,333269.189,68.86866527777778,SWING,62.5,32.0,-3.3818721587544776,-0.0,20.0,2093.9426530000005,0.03071180092280643
0xf3297d354b7a8c594a54154c7dc03d924b6c87c9,0xf329…87c9,9,0.381965,829359.711965,323.78735,0.055794,20.9108673708,3.2378735,647.69,0,,0.0,True,132.0,9.0,-9713.18347126,83.36090255999999,-9796.54437382,0.028985507246376812,2.0,67.0,0.07529999999999999,-150.44081101492537,1.4941166421968093e-05,0.0,0.0,hyna:BTC,LIT,,0.44857667584940314,False,0.6439393939393939,0.030303030303030304,LONG,1363.4319025130103,376.815,45188.1,21.660353055555557,SWING,1.7837837837837838,74.0,-9.303847750151752,-0.0,13.0,-32.13267799999999,-0.0032800012712513637
0xda183a6d3ccb5d9e76b1b9067dce81940f22021c,0xda18…021c,10,1.522241,583532.582241,1314.874676,0.0,23.3818648712,2.0006687983,1971.99,0,,0.0,True,93.0,5.0,-45323.30961223,71.92690860999998,-45395.23652084,0.0,,,,,0.0,0.0,0.0,,,,0.35506995028326976,False,0.0,0.0,NEUTRAL,2174.325645868326,512.98,42000.0,0.0,SCALPER,1.0333333333333334,90.0,0.0,0.0,17.0,0.0,0.0
0x7a2dec2cf9247964f22afae48fc7d6ad5b71e137,0x7a2d…e137,11,376.800551,547833.860551,366.611926,102.227797,5478.33860551,3.66611926,11262.48,0,,0.0,True,151.0,3.0,-8187.965226170001,389.137124679,-8577.102350849002,0.0,0.0,56.0,,-146.19883003571428,,56.0,1.0,ETH,,,0.6663304241042058,True,0.7947019867549668,0.0,LONG,5257.197430535761,999.8086979999999,76102.41318999999,51.05668111111111,SWING,2.0972222222222223,72.0,0.0,0.0,14.0,-223.818554,-0.02609489135661829
0x922197fd26290e3af3da0c35e7f4f299d95e8741,0x9221…8741,12,80184.300999,540507.930999,66385.199289,32659.595835,120.5989071168,3.5358728383,22070026.28,2,"ETH,LIT",25.0,True,2000.0,16.0,23852.852200010002,2034.5783371500002,21818.273862860002,0.6920565832426551,636.0,283.0,130.9150215833333,-223.6395756567164,1.315562550865562,13.0,0.014145810663764961,xyz:CL,xyz:XYZ100,xyz:EWY,0.13487,False,0.312,0.6885,SHORT,8542.503237838971,770.311602,302441.62336,3.9279605555555555,INTRADAY,50.0,40.0,2.6352137513970675,0.0,13.0,973.90959,0.044637334562833156
0xc9690323e15cc4668c776224f90340a85ee14a10,0xc969…4a10,13,199.19192,660672.17192,196.74848,52.942173,35.5409203091,1.9674848,0.0,0,,0.0,True,567.0,7.0,-8222.890422,386.450406,-8609.340828,0.277602523659306,88.0,229.0,60.45478851136363,-58.60669589956331,0.3963972732671107,0.0,0.0,xyz:GOLD,xyz:ORCL,xyz:TSLA,0.2741586803903088,False,0.6649029982363316,0.3368606701940035,LONG,5675.488460758378,478.30960000000005,112638.92429999998,6.019501666666667,INTRADAY,47.25,12.0,-6.416115816234854,-0.0,16.0,-34.96084200000002,-0.004060803573520695
0x2f7288f375edf1d2215b3f2ffcd8bc2ec499aed4,0x2f72…aed4,14,20.215025,534961.595025,19305.366694,-136.128332,79.5552904386,2.0173970498,1926945.29,0,,0.0,True,1852.0,10.0,-370.2473239300043,2237.58951231,-2607.8368362400042,0.41346153846153844,344.0,488.0,148.5283146860465,-105.31020945491804,0.9942083293117009,0.0,0.0,HYPE,BTC,SOL,0.24089362267865222,False,0.9357451403887689,0.05669546436285097,LONG,2724.1462352029157,768.082185,77617.94039999999,48.475118611111114,SWING,21.28735632183908,87.0,-0.022182218384464582,-39.51321242835906,14.0,-361.2790150000001,-0.13853589687033274
0x5b28335f6d5cd5a1ac3b66eb2edd2b917e7aa4a4,0x5b28…a4a4,15,534729.736845,483104.106845,478261.656232,129345.373677,5.390245032,5.0626799352,21381443.27,1,BTC,40.0,True,1654.0,2.0,417539.794536,2224.658328,415315.136208,1.0,1138.0,0.0,352.0606404534271,,,47.0,0.04130052724077329,BTC,xyz:XYZ100,,0.5870156112695908,True,0.2714631197097944,0.7291414752116082,SHORT,13228.984765792018,409.4496,703210.0,63.36721472222222,SWING,45.94444444444444,36.0,7.451705187653298,0.0,7.0,-3950.4604669999994,-0.00951195880571401
0x9cd0a696c7cbb9d44de99268194cb08e5684e5fe,0x9cd0…e5fe,16,2832133.058191,2945157.038191,1849652.206259,486281.728045,29451.57038191,1.688386275,0.0,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x6b33716d771cf8e1a7b80e05a5ed25b75d863e3e,0x6b33…3e3e,17,1403.67595,290634.08595,1362.209085,1362.190931,5.4651529712,13.62209085,0.0,0,,0.0,True,1345.0,5.0,28693.130826570003,3346.49812685,25346.63269972,0.9263959390862944,365.0,29.0,78.68543948767123,-2.919972230769231,339.1646025609754,0.0,0.0,PUMP,ETH,HYPE,0.4221152278160888,False,0.5970260223048327,0.40148698884758366,NEUTRAL,7088.432748674208,1672.041664,527189.535,20.433060555555556,SWING,112.08333333333333,12.0,8.419678403940916,0.0,2.0,-736.1811399999999,-0.029044534188090883
0x6635159add6b4c53fddf64002c2db7905ff52e7c,0x6635…2e7c,18,5310.77421,265644.42421,5291.558749,3.234871,2656.4442421,52.91558749,5288.37,0,,0.0,True,27.0,3.0,4799.91012998,3.5868922100000002,4796.323237770001,0.0,,,,,0.0,0.0,0.0,,,,0.7393689986282579,True,0.0,0.0,NEUTRAL,414.328098274045,110.7859607,5695.990344000001,0.0,SCALPER,0.4576271186440678,59.0,0.0,0.0,14.0,0.0,0.0
0xef4a52d5483049b37cb883539d1b380eed80a598,0xef4a…a598,19,5.055877,1862347.365877,1146.80038,0.01185,4.6806021839,5.7340019,1147.36,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xfc02736679379ff15917cafd25b863fffb8ba5b5,0xfc02…a5b5,20,0.235981,242411.695981,1125.635258,0.032169,6.8286908358,11.25635258,2252.05,0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,0x6f9b…8a1d,21,58.939705,193275.219705,8932.065453,7.488472,9.6583680959,89.32065453,3107.47,0,,0.0,True,21.0,4.0,21.842363360000004,2.09643637,19.745926990000005,0.0,0.0,1.0,,-0.00682,,0.0,0.0,hyna:BTC,,,0.310657596371882,False,0.09523809523809523,0.0,NEUTRAL,289.98978504394944,79.7784044,1596.39792,0.008206666666666666,SCALPER,0.3442622950819672,61.0,0.0,0.0,5.0,0.0,0.0
0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,0xe1a6…9fb9,22,209011.807175,189159.017175,189159.017175,63296.980622,9.5280823086,9.5280823086,150994608.58,1,BTC,40.0,True,2000.0,7.0,15060.740708000003,9801.370195,5259.3705130000035,0.2706630336058129,298.0,803.0,298.1448904530201,-92.00303821321695,1.2026130726848954,21.0,0.01907356948228883,ETH,BTC,PUMP,0.631044,True,0.7515,0.2485,LONG,14985.1748021875,3375.6375,595426.48902,0.9372466666666667,SCALPER,142.85714285714286,14.0,1.8760834366245591,-0.8883873130059691,10.0,342.80944099999977,0.06518069798517721
