coin,time_ms,open,high,low,close,volume,time
0G,1766923200000,0.97598,0.97704,0.9587,0.96107,76346.0,2025-12-28 12:00:00+00:00
0G,1766926800000,0.96065,0.97255,0.95909,0.96702,41826.0,2025-12-28 13:00:00+00:00
0G,1766930400000,0.96702,0.97475,0.96412,0.97164,19119.0,2025-12-28 14:00:00+00:00
0G,1766934000000,0.9721,0.98189,0.9721,0.97837,30880.0,2025-12-28 15:00:00+00:00
0G,1766937600000,0.97787,0.97787,0.96454,0.97082,22088.0,2025-12-28 16:00:00+00:00
0G,1766941200000,0.96874,0.97043,0.96483,0.9672,27312.0,2025-12-28 17:00:00+00:00
0G,1766944800000,0.96756,0.97049,0.94261,0.94925,34705.0,2025-12-28 18:00:00+00:00
0G,1766948400000,0.94905,0.95188,0.94094,0.94188,19248.0,2025-12-28 19:00:00+00:00
0G,1766952000000,0.94098,0.94197,0.93382,0.93382,10543.0,2025-12-28 20:00:00+00:00
0G,1766955600000,0.93451,0.93754,0.92534,0.9317,17093.0,2025-12-28 21:00:00+00:00
0G,1766959200000,0.93187,0.93448,0.92722,0.93435,30763.0,2025-12-28 22:00:00+00:00
0G,1766962800000,0.93419,0.94526,0.93039,0.94267,89977.0,2025-12-28 23:00:00+00:00
0G,1766966400000,0.94186,0.94587,0.93399,0.94432,60717.0,2025-12-29 00:00:00+00:00
0G,1766970000000,0.94435,0.96777,0.9396,0.96301,59036.0,2025-12-29 01:00:00+00:00
0G,1766973600000,0.96321,1.0067,0.96052,0.99372,75029.0,2025-12-29 02:00:00+00:00
0G,1766977200000,0.99634,1.0641,0.99465,1.0415,283467.0,2025-12-29 03:00:00+00:00
0G,1766980800000,1.0419,1.09,1.0402,1.0562,200072.0,2025-12-29 04:00:00+00:00
0G,1766984400000,1.0559,1.1029,1.0519,1.0936,184753.0,2025-12-29 05:00:00+00:00
0G,1766988000000,1.0953,1.0953,1.0607,1.0796,100740.0,2025-12-29 06:00:00+00:00
0G,1766991600000,1.0796,1.0796,1.0296,1.0398,160312.0,2025-12-29 07:00:00+00:00
0G,1766995200000,1.0405,1.0611,1.033,1.0497,103800.0,2025-12-29 08:00:00+00:00
0G,1766998800000,1.0487,1.101,1.0487,1.0637,183216.0,2025-12-29 09:00:00+00:00
0G,1767002400000,1.0604,1.0664,1.0508,1.0643,109301.0,2025-12-29 10:00:00+00:00
0G,1767006000000,1.063,1.0802,1.0593,1.0686,102405.0,2025-12-29 11:00:00+00:00
0G,1767009600000,1.0671,1.0714,1.0375,1.0448,70216.0,2025-12-29 12:00:00+00:00
0G,1767013200000,1.0435,1.0477,1.0383,1.0415,27656.0,2025-12-29 13:00:00+00:00
