coin,time_ms,open,high,low,close,volume,time
@142,1765969200000,86608.0,87116.0,86538.0,86971.0,21.6743,2025-12-17 11:00:00+00:00
@142,1765972800000,86972.0,87207.0,86813.0,87010.0,42.81214,2025-12-17 12:00:00+00:00
@142,1765976400000,87010.0,87811.0,86798.0,87612.0,43.92514,2025-12-17 13:00:00+00:00
@142,1765980000000,87628.0,89650.0,87166.0,89650.0,24.85578,2025-12-17 14:00:00+00:00
@142,1765983600000,89654.0,90344.0,87095.0,87202.0,106.49519,2025-12-17 15:00:00+00:00
@142,1765987200000,87195.0,87738.0,86148.0,86961.0,53.74429,2025-12-17 16:00:00+00:00
@142,1765990800000,86943.0,87062.0,86275.0,86409.0,23.78285,2025-12-17 17:00:00+00:00
@142,1765994400000,86398.0,86814.0,85679.0,85790.0,31.58215,2025-12-17 18:00:00+00:00
@142,1765998000000,85814.0,86145.0,85325.0,85996.0,31.17419,2025-12-17 19:00:00+00:00
@142,1766001600000,85996.0,86221.0,85641.0,85865.0,12.48311,2025-12-17 20:00:00+00:00
@142,1766005200000,85877.0,86014.0,85695.0,85959.0,12.89898,2025-12-17 21:00:00+00:00
@142,1766008800000,85949.0,86389.0,85886.0,86312.0,5.92019,2025-12-17 22:00:00+00:00
@142,1766012400000,86318.0,86318.0,85934.0,86192.0,19.76909,2025-12-17 23:00:00+00:00
@142,1766016000000,86229.0,86276.0,86057.0,86203.0,10.17768,2025-12-18 00:00:00+00:00
@142,1766019600000,86204.0,86220.0,85838.0,86090.0,6.89882,2025-12-18 01:00:00+00:00
@142,1766023200000,86090.0,86814.0,85987.0,86670.0,69.41095,2025-12-18 02:00:00+00:00
@142,1766026800000,86650.0,86669.0,86251.0,86600.0,33.0178,2025-12-18 03:00:00+00:00
@142,1766030400000,86600.0,86879.0,86585.0,86731.0,38.79801,2025-12-18 04:00:00+00:00
@142,1766034000000,86732.0,86738.0,86346.0,86408.0,37.5116,2025-12-18 05:00:00+00:00
@142,1766037600000,86409.0,86640.0,86369.0,86621.0,32.45978,2025-12-18 06:00:00+00:00
@142,1766041200000,86621.0,86842.0,86586.0,86805.0,40.77449,2025-12-18 07:00:00+00:00
@142,1766044800000,86804.0,87114.0,86680.0,86945.0,34.37392,2025-12-18 08:00:00+00:00
@142,1766048400000,86937.0,87367.0,86771.0,87256.0,34.9187,2025-12-18 09:00:00+00:00
@142,1766052000000,87256.0,87425.0,87200.0,87298.0,39.65947,2025-12-18 10:00:00+00:00
