coin,time_ms,open,high,low,close,volume,time
AAVE,1766984400000,157.29,157.8,156.76,157.31,1084.51,2025-12-29 05:00:00+00:00
AAVE,1766988000000,157.26,157.26,155.72,155.81,705.9,2025-12-29 06:00:00+00:00
AAVE,1766991600000,155.88,156.08,153.74,153.87,4235.23,2025-12-29 07:00:00+00:00
AAVE,1766995200000,154.05,154.12,152.0,152.52,21749.24,2025-12-29 08:00:00+00:00
AAVE,1766998800000,152.49,152.89,150.8,151.84,2427.34,2025-12-29 09:00:00+00:00
AAVE,1767002400000,151.79,152.74,151.72,152.43,1446.21,2025-12-29 10:00:00+00:00
AAVE,1767006000000,152.4,152.61,151.96,152.01,779.17,2025-12-29 11:00:00+00:00
AAVE,1767009600000,151.98,152.16,149.96,151.34,2008.35,2025-12-29 12:00:00+00:00
AAVE,1767013200000,151.34,151.64,150.18,150.23,915.13,2025-12-29 13:00:00+00:00
AAVE,1767016800000,150.23,152.25,149.83,150.78,1733.81,2025-12-29 14:00:00+00:00
AAVE,1767020400000,150.77,151.7,150.51,151.13,517.35,2025-12-29 15:00:00+00:00
AAVE,1767024000000,151.02,151.56,150.48,150.75,397.42,2025-12-29 16:00:00+00:00
AAVE,1767027600000,150.85,151.47,150.21,151.2,897.93,2025-12-29 17:00:00+00:00
AAVE,1767031200000,151.2,151.35,149.41,149.64,1552.71,2025-12-29 18:00:00+00:00
AAVE,1767034800000,149.65,150.58,149.35,149.63,505.49,2025-12-29 19:00:00+00:00
AAVE,1767038400000,149.61,149.76,148.7,148.77,687.96,2025-12-29 20:00:00+00:00
AAVE,1767042000000,148.8,149.76,148.68,149.76,844.6,2025-12-29 21:00:00+00:00
AAVE,1767045600000,149.66,150.08,149.44,149.7,238.4,2025-12-29 22:00:00+00:00
AAVE,1767049200000,149.65,150.07,149.18,149.49,495.8,2025-12-29 23:00:00+00:00
AAVE,1767052800000,149.47,150.11,149.33,149.97,600.8,2025-12-30 00:00:00+00:00
AAVE,1767056400000,149.85,150.58,149.71,150.47,564.93,2025-12-30 01:00:00+00:00
AAVE,1767060000000,150.46,150.74,149.65,149.8,439.46,2025-12-30 02:00:00+00:00
AAVE,1767063600000,149.77,151.28,149.32,151.05,481.85,2025-12-30 03:00:00+00:00
AAVE,1767067200000,151.23,151.98,151.01,151.01,484.57,2025-12-30 04:00:00+00:00
AAVE,1767070800000,151.05,151.21,150.08,150.33,187.55,2025-12-30 05:00:00+00:00
AAVE,1767074400000,150.35,150.94,150.13,150.64,1236.79,2025-12-30 06:00:00+00:00
AAVE,1767078000000,150.63,151.22,150.51,150.99,1446.56,2025-12-30 07:00:00+00:00
AAVE,1767081600000,150.98,152.51,150.94,150.98,1524.04,2025-12-30 08:00:00+00:00
AAVE,1767085200000,151.06,151.5,150.42,151.3,1205.33,2025-12-30 09:00:00+00:00
AAVE,1767088800000,151.4,151.4,150.33,150.4,311.76,2025-12-30 10:00:00+00:00
AAVE,1767092400000,150.34,150.73,149.27,149.94,15225.28,2025-12-30 11:00:00+00:00
AAVE,1767096000000,149.95,150.69,149.95,150.44,1096.98,2025-12-30 12:00:00+00:00
AAVE,1767099600000,150.44,150.94,150.29,150.72,694.18,2025-12-30 13:00:00+00:00
AAVE,1767103200000,150.71,151.77,149.59,151.39,2469.11,2025-12-30 14:00:00+00:00
AAVE,1767106800000,151.58,151.65,150.09,150.87,2340.03,2025-12-30 15:00:00+00:00
AAVE,1767110400000,150.92,151.64,150.08,150.75,682.45,2025-12-30 16:00:00+00:00
AAVE,1767114000000,150.71,151.12,150.09,150.58,415.54,2025-12-30 17:00:00+00:00
AAVE,1767117600000,150.58,150.71,149.87,150.18,833.77,2025-12-30 18:00:00+00:00
AAVE,1767121200000,150.17,150.45,149.16,150.11,895.82,2025-12-30 19:00:00+00:00
AAVE,1767124800000,150.01,150.27,149.62,149.69,445.57,2025-12-30 20:00:00+00:00
AAVE,1767128400000,149.66,149.87,149.11,149.34,1787.68,2025-12-30 21:00:00+00:00
AAVE,1767132000000,149.38,150.0,148.92,149.2,1418.55,2025-12-30 22:00:00+00:00
AAVE,1767135600000,149.19,149.6,149.1,149.45,1097.01,2025-12-30 23:00:00+00:00
AAVE,1767139200000,149.44,149.45,148.73,148.8,569.92,2025-12-31 00:00:00+00:00
AAVE,1767142800000,148.8,149.84,148.75,149.66,698.19,2025-12-31 01:00:00+00:00
AAVE,1767146400000,149.62,150.17,149.49,149.97,335.89,2025-12-31 02:00:00+00:00
AAVE,1767150000000,149.93,150.11,149.07,149.44,239.83,2025-12-31 03:00:00+00:00
AAVE,1767153600000,149.49,149.9,149.22,149.5,1396.36,2025-12-31 04:00:00+00:00
AAVE,1767157200000,149.53,150.15,149.53,150.12,290.52,2025-12-31 05:00:00+00:00
AAVE,1767160800000,150.12,151.13,149.97,150.49,10501.35,2025-12-31 06:00:00+00:00
AAVE,1767164400000,150.48,150.91,150.15,150.15,502.92,2025-12-31 07:00:00+00:00
AAVE,1767168000000,150.17,150.65,149.22,149.47,2829.03,2025-12-31 08:00:00+00:00
AAVE,1767171600000,149.46,149.83,149.35,149.72,323.06,2025-12-31 09:00:00+00:00
AAVE,1767175200000,149.64,149.77,149.13,149.3,523.72,2025-12-31 10:00:00+00:00
AAVE,1767178800000,149.26,149.89,149.18,149.7,228.82,2025-12-31 11:00:00+00:00
AAVE,1767182400000,149.62,149.63,148.58,148.78,910.31,2025-12-31 12:00:00+00:00
AAVE,1767186000000,148.74,149.67,148.53,149.5,2004.64,2025-12-31 13:00:00+00:00
AAVE,1767189600000,149.45,150.28,147.36,148.92,3154.68,2025-12-31 14:00:00+00:00
AAVE,1767193200000,148.85,148.89,146.91,147.4,2322.25,2025-12-31 15:00:00+00:00
AAVE,1767196800000,147.42,147.98,144.21,145.99,6199.23,2025-12-31 16:00:00+00:00
AAVE,1767200400000,145.98,145.99,144.69,144.97,1895.36,2025-12-31 17:00:00+00:00
AAVE,1767204000000,144.95,145.66,144.62,144.76,754.61,2025-12-31 18:00:00+00:00
AAVE,1767207600000,144.76,144.95,144.29,144.31,879.58,2025-12-31 19:00:00+00:00
AAVE,1767211200000,144.33,145.69,143.68,145.61,6427.33,2025-12-31 20:00:00+00:00
AAVE,1767214800000,145.51,147.26,145.51,147.06,4571.33,2025-12-31 21:00:00+00:00
AAVE,1767218400000,147.07,147.07,145.96,146.14,2942.38,2025-12-31 22:00:00+00:00
AAVE,1767222000000,146.08,146.74,145.77,146.01,6491.75,2025-12-31 23:00:00+00:00
AAVE,1767225600000,146.0,146.51,146.0,146.51,2793.48,2026-01-01 00:00:00+00:00
AAVE,1767229200000,146.46,146.51,145.94,146.11,641.2,2026-01-01 01:00:00+00:00
AAVE,1767232800000,145.98,146.22,145.86,145.87,225.38,2026-01-01 02:00:00+00:00
AAVE,1767236400000,145.87,146.36,145.69,146.09,279.38,2026-01-01 03:00:00+00:00
AAVE,1767240000000,146.15,146.23,145.47,145.8,759.08,2026-01-01 04:00:00+00:00
AAVE,1767243600000,145.79,146.62,145.79,146.01,376.51,2026-01-01 05:00:00+00:00
AAVE,1767247200000,146.1,146.6,146.08,146.39,301.11,2026-01-01 06:00:00+00:00
AAVE,1767250800000,146.41,146.64,145.96,146.02,698.15,2026-01-01 07:00:00+00:00
AAVE,1767254400000,146.01,146.45,145.78,146.12,368.77,2026-01-01 08:00:00+00:00
AAVE,1767258000000,146.12,146.29,145.91,146.03,292.52,2026-01-01 09:00:00+00:00
