coin,time_ms,open,high,low,close,volume,time
AXS,1766505600000,0.822,0.84,0.82,0.837,0.0,2025-12-23 16:00:00+00:00
AXS,1766509200000,0.838,0.847,0.829,0.83,0.0,2025-12-23 17:00:00+00:00
AXS,1766512800000,0.83,0.854,0.829,0.851,0.0,2025-12-23 18:00:00+00:00
AXS,1766516400000,0.852,0.854,0.847,0.853,0.0,2025-12-23 19:00:00+00:00
AXS,1766520000000,0.853,0.864,0.852,0.857,0.0,2025-12-23 20:00:00+00:00
AXS,1766523600000,0.858,0.877,0.854,0.865,0.0,2025-12-23 21:00:00+00:00
AXS,1766527200000,0.866,0.866,0.851,0.856,0.0,2025-12-23 22:00:00+00:00
AXS,1766530800000,0.855,0.859,0.853,0.856,0.0,2025-12-23 23:00:00+00:00
AXS,1766534400000,0.857,0.859,0.85,0.856,0.0,2025-12-24 00:00:00+00:00
AXS,1766538000000,0.855,0.859,0.844,0.846,0.0,2025-12-24 01:00:00+00:00
AXS,1766541600000,0.845,0.846,0.835,0.837,0.0,2025-12-24 02:00:00+00:00
AXS,1766545200000,0.836,0.839,0.83,0.838,0.0,2025-12-24 03:00:00+00:00
AXS,1766548800000,0.838,0.842,0.833,0.833,0.0,2025-12-24 04:00:00+00:00
AXS,1766552400000,0.834,0.835,0.825,0.827,0.0,2025-12-24 05:00:00+00:00
AXS,1766556000000,0.826,0.834,0.824,0.832,0.0,2025-12-24 06:00:00+00:00
AXS,1766559600000,0.832,0.837,0.829,0.831,0.0,2025-12-24 07:00:00+00:00
AXS,1766563200000,0.83,0.833,0.822,0.823,0.0,2025-12-24 08:00:00+00:00
AXS,1766566800000,0.824,0.829,0.823,0.825,0.0,2025-12-24 09:00:00+00:00
AXS,1766570400000,0.824,0.834,0.824,0.828,0.0,2025-12-24 10:00:00+00:00
AXS,1766574000000,0.828,0.835,0.827,0.831,0.0,2025-12-24 11:00:00+00:00
AXS,1766577600000,0.832,0.838,0.829,0.837,0.0,2025-12-24 12:00:00+00:00
AXS,1766581200000,0.837,0.837,0.83,0.834,0.0,2025-12-24 13:00:00+00:00
AXS,1766584800000,0.834,0.838,0.822,0.83,0.0,2025-12-24 14:00:00+00:00
AXS,1766588400000,0.829,0.837,0.826,0.832,0.0,2025-12-24 15:00:00+00:00
AXS,1766592000000,0.832,0.835,0.823,0.828,0.0,2025-12-24 16:00:00+00:00
AXS,1766595600000,0.829,0.834,0.825,0.826,0.0,2025-12-24 17:00:00+00:00
AXS,1766599200000,0.826,0.83,0.823,0.827,0.0,2025-12-24 18:00:00+00:00
AXS,1766602800000,0.826,0.83,0.824,0.83,0.0,2025-12-24 19:00:00+00:00
AXS,1766606400000,0.83,0.833,0.829,0.83,0.0,2025-12-24 20:00:00+00:00
AXS,1766610000000,0.831,0.836,0.831,0.836,0.0,2025-12-24 21:00:00+00:00
AXS,1766613600000,0.835,0.844,0.835,0.843,0.0,2025-12-24 22:00:00+00:00
AXS,1766617200000,0.843,0.844,0.836,0.841,0.0,2025-12-24 23:00:00+00:00
AXS,1766620800000,0.841,0.842,0.833,0.833,0.0,2025-12-25 00:00:00+00:00
AXS,1766624400000,0.834,0.839,0.834,0.838,0.0,2025-12-25 01:00:00+00:00
AXS,1766628000000,0.839,0.847,0.836,0.847,0.0,2025-12-25 02:00:00+00:00
AXS,1766631600000,0.846,0.848,0.842,0.845,0.0,2025-12-25 03:00:00+00:00
AXS,1766635200000,0.845,0.847,0.843,0.845,0.0,2025-12-25 04:00:00+00:00
AXS,1766638800000,0.845,0.846,0.841,0.841,0.0,2025-12-25 05:00:00+00:00
AXS,1766642400000,0.841,0.845,0.84,0.843,0.0,2025-12-25 06:00:00+00:00
AXS,1766646000000,0.843,0.851,0.841,0.85,0.0,2025-12-25 07:00:00+00:00
AXS,1766649600000,0.851,0.855,0.846,0.851,0.0,2025-12-25 08:00:00+00:00
AXS,1766653200000,0.85,0.852,0.847,0.847,0.0,2025-12-25 09:00:00+00:00
AXS,1766656800000,0.848,0.85,0.838,0.842,0.0,2025-12-25 10:00:00+00:00
AXS,1766660400000,0.842,0.845,0.839,0.84,0.0,2025-12-25 11:00:00+00:00
