coin,time_ms,open,high,low,close,volume,time
AZTEC,1770883200000,0.020201,0.021165,0.019629,0.020415,20576908.0,2026-02-12 08:00:00+00:00
AZTEC,1770886800000,0.020402,0.022,0.019385,0.021757,21409341.0,2026-02-12 09:00:00+00:00
AZTEC,1770890400000,0.021828,0.024338,0.021657,0.023097,34615227.0,2026-02-12 10:00:00+00:00
AZTEC,1770894000000,0.02315,0.023224,0.020072,0.021176,24028731.0,2026-02-12 11:00:00+00:00
AZTEC,1770897600000,0.021136,0.021403,0.019752,0.02005,12927731.0,2026-02-12 12:00:00+00:00
AZTEC,1770901200000,0.020056,0.020689,0.018498,0.019916,19893291.0,2026-02-12 13:00:00+00:00
AZTEC,1770904800000,0.019917,0.020426,0.019416,0.020028,17316926.0,2026-02-12 14:00:00+00:00
AZTEC,1770908400000,0.020016,0.021894,0.02001,0.021355,20403811.0,2026-02-12 15:00:00+00:00
AZTEC,1770912000000,0.021438,0.021536,0.019669,0.020122,16894201.0,2026-02-12 16:00:00+00:00
AZTEC,1770915600000,0.020239,0.020309,0.019578,0.019816,8153649.0,2026-02-12 17:00:00+00:00
AZTEC,1770919200000,0.019812,0.020019,0.018829,0.019803,8346665.0,2026-02-12 18:00:00+00:00
AZTEC,1770922800000,0.019737,0.021166,0.019486,0.020882,12031343.0,2026-02-12 19:00:00+00:00
AZTEC,1770926400000,0.020942,0.021554,0.020238,0.021448,6122914.0,2026-02-12 20:00:00+00:00
AZTEC,1770930000000,0.021595,0.022281,0.020995,0.021893,7721340.0,2026-02-12 21:00:00+00:00
AZTEC,1770933600000,0.02193,0.022732,0.020405,0.020672,18572143.0,2026-02-12 22:00:00+00:00
AZTEC,1770937200000,0.020633,0.021327,0.020381,0.020491,5399394.0,2026-02-12 23:00:00+00:00
AZTEC,1770940800000,0.020526,0.021795,0.020507,0.020776,4776981.0,2026-02-13 00:00:00+00:00
AZTEC,1770944400000,0.020773,0.021442,0.019952,0.021161,7518202.0,2026-02-13 01:00:00+00:00
