coin,time_ms,open,high,low,close,volume,time
BRETT,1765969200000,0.014601,0.014811,0.014601,0.014783,11085128.0,2025-12-17 11:00:00+00:00
BRETT,1765972800000,0.014792,0.014839,0.014685,0.014716,1999721.0,2025-12-17 12:00:00+00:00
BRETT,1765976400000,0.014725,0.014956,0.014646,0.014902,650952.0,2025-12-17 13:00:00+00:00
BRETT,1765980000000,0.014959,0.0154,0.014486,0.0154,2622244.0,2025-12-17 14:00:00+00:00
BRETT,1765983600000,0.015523,0.015776,0.014767,0.014814,9077879.0,2025-12-17 15:00:00+00:00
BRETT,1765987200000,0.014798,0.014989,0.014295,0.014479,13596793.0,2025-12-17 16:00:00+00:00
BRETT,1765990800000,0.01448,0.014572,0.014115,0.014214,4587603.0,2025-12-17 17:00:00+00:00
BRETT,1765994400000,0.014214,0.01445,0.014038,0.014084,5092664.0,2025-12-17 18:00:00+00:00
BRETT,1765998000000,0.014069,0.014214,0.01387,0.014214,14346476.0,2025-12-17 19:00:00+00:00
BRETT,1766001600000,0.014214,0.014454,0.014123,0.014232,11948667.0,2025-12-17 20:00:00+00:00
BRETT,1766005200000,0.014256,0.014305,0.014018,0.014039,5809964.0,2025-12-17 21:00:00+00:00
BRETT,1766008800000,0.014039,0.014303,0.013999,0.014276,3617428.0,2025-12-17 22:00:00+00:00
BRETT,1766012400000,0.014302,0.014306,0.014111,0.014185,4318545.0,2025-12-17 23:00:00+00:00
BRETT,1766016000000,0.014177,0.014202,0.014114,0.014153,1352244.0,2025-12-18 00:00:00+00:00
BRETT,1766019600000,0.014144,0.014144,0.013898,0.013994,8905877.0,2025-12-18 01:00:00+00:00
BRETT,1766023200000,0.013972,0.014167,0.013934,0.014104,4820601.0,2025-12-18 02:00:00+00:00
BRETT,1766026800000,0.014102,0.014124,0.013896,0.013975,4945971.0,2025-12-18 03:00:00+00:00
BRETT,1766030400000,0.013975,0.014072,0.013975,0.014045,1698110.0,2025-12-18 04:00:00+00:00
BRETT,1766034000000,0.014024,0.01404,0.01371,0.01373,10129702.0,2025-12-18 05:00:00+00:00
BRETT,1766037600000,0.013715,0.01383,0.013665,0.013787,5228952.0,2025-12-18 06:00:00+00:00
BRETT,1766041200000,0.013802,0.013879,0.013767,0.01383,2538174.0,2025-12-18 07:00:00+00:00
BRETT,1766044800000,0.013837,0.014002,0.013825,0.013889,3438939.0,2025-12-18 08:00:00+00:00
BRETT,1766048400000,0.013896,0.014038,0.013858,0.014001,4880360.0,2025-12-18 09:00:00+00:00
BRETT,1766052000000,0.013985,0.014161,0.013985,0.014112,1482809.0,2025-12-18 10:00:00+00:00
BRETT,1766055600000,0.01415,0.014161,0.01404,0.014084,7079520.0,2025-12-18 11:00:00+00:00
BRETT,1766059200000,0.014089,0.014112,0.013951,0.014006,8954146.0,2025-12-18 12:00:00+00:00
BRETT,1766062800000,0.014006,0.015022,0.014006,0.014838,7961856.0,2025-12-18 13:00:00+00:00
BRETT,1766066400000,0.014859,0.014937,0.014368,0.014537,7506423.0,2025-12-18 14:00:00+00:00
BRETT,1766070000000,0.014523,0.015215,0.014396,0.014828,2881783.0,2025-12-18 15:00:00+00:00
BRETT,1766073600000,0.014849,0.014863,0.014548,0.014596,2341118.0,2025-12-18 16:00:00+00:00
BRETT,1766077200000,0.014613,0.014613,0.013539,0.013811,23369197.0,2025-12-18 17:00:00+00:00
BRETT,1766080800000,0.013786,0.013967,0.013476,0.013555,6386587.0,2025-12-18 18:00:00+00:00
BRETT,1766084400000,0.013571,0.013677,0.013158,0.013205,6944005.0,2025-12-18 19:00:00+00:00
BRETT,1766088000000,0.013195,0.013446,0.013159,0.01322,6266472.0,2025-12-18 20:00:00+00:00
BRETT,1766091600000,0.01323,0.013629,0.01323,0.013591,11187333.0,2025-12-18 21:00:00+00:00
BRETT,1766095200000,0.013589,0.013679,0.013488,0.013508,1434350.0,2025-12-18 22:00:00+00:00
BRETT,1766098800000,0.0135,0.0135,0.013277,0.013349,8420065.0,2025-12-18 23:00:00+00:00
BRETT,1766102400000,0.013361,0.013428,0.013269,0.01336,11554132.0,2025-12-19 00:00:00+00:00
BRETT,1766106000000,0.01336,0.01336,0.013126,0.013201,4902196.0,2025-12-19 01:00:00+00:00
BRETT,1766109600000,0.013193,0.013346,0.013024,0.013303,6178852.0,2025-12-19 02:00:00+00:00
BRETT,1766113200000,0.01332,0.014038,0.01332,0.013925,10164536.0,2025-12-19 03:00:00+00:00
BRETT,1766116800000,0.013929,0.01413,0.013918,0.014081,3274021.0,2025-12-19 04:00:00+00:00
BRETT,1766120400000,0.014075,0.014078,0.013947,0.013999,5473282.0,2025-12-19 05:00:00+00:00
BRETT,1766124000000,0.014003,0.014174,0.01394,0.014154,1168233.0,2025-12-19 06:00:00+00:00
BRETT,1766127600000,0.014154,0.014536,0.014154,0.014359,9827205.0,2025-12-19 07:00:00+00:00
BRETT,1766131200000,0.014364,0.014504,0.01433,0.014396,5210435.0,2025-12-19 08:00:00+00:00
BRETT,1766134800000,0.014386,0.014402,0.014215,0.014229,1155543.0,2025-12-19 09:00:00+00:00
BRETT,1766138400000,0.014236,0.014264,0.014031,0.014079,7860945.0,2025-12-19 10:00:00+00:00
BRETT,1766142000000,0.01408,0.014238,0.014063,0.014208,5350791.0,2025-12-19 11:00:00+00:00
BRETT,1766145600000,0.014206,0.014258,0.014124,0.014156,691659.0,2025-12-19 12:00:00+00:00
BRETT,1766149200000,0.014149,0.014234,0.014052,0.014226,3314649.0,2025-12-19 13:00:00+00:00
BRETT,1766152800000,0.014216,0.014541,0.014081,0.01433,6486042.0,2025-12-19 14:00:00+00:00
BRETT,1766156400000,0.014355,0.014829,0.014265,0.014287,11892659.0,2025-12-19 15:00:00+00:00
BRETT,1766160000000,0.014296,0.014638,0.014267,0.014421,7440420.0,2025-12-19 16:00:00+00:00
BRETT,1766163600000,0.014423,0.014586,0.014099,0.014117,3742518.0,2025-12-19 17:00:00+00:00
BRETT,1766167200000,0.014107,0.014332,0.014107,0.014282,809440.0,2025-12-19 18:00:00+00:00
BRETT,1766170800000,0.014272,0.014677,0.014272,0.014569,2553278.0,2025-12-19 19:00:00+00:00
BRETT,1766174400000,0.014581,0.014648,0.014505,0.014582,1013581.0,2025-12-19 20:00:00+00:00
BRETT,1766178000000,0.014572,0.014581,0.01442,0.01442,2348617.0,2025-12-19 21:00:00+00:00
BRETT,1766181600000,0.014459,0.014589,0.014445,0.014494,2414035.0,2025-12-19 22:00:00+00:00
BRETT,1766185200000,0.014496,0.014496,0.014388,0.014412,9323562.0,2025-12-19 23:00:00+00:00
BRETT,1766188800000,0.014406,0.014481,0.014293,0.014323,5789449.0,2025-12-20 00:00:00+00:00
BRETT,1766192400000,0.014307,0.014314,0.014228,0.014258,2580386.0,2025-12-20 01:00:00+00:00
BRETT,1766196000000,0.014252,0.014288,0.014146,0.014193,5198693.0,2025-12-20 02:00:00+00:00
BRETT,1766199600000,0.014203,0.014231,0.01411,0.014202,8866571.0,2025-12-20 03:00:00+00:00
BRETT,1766203200000,0.014197,0.014214,0.014082,0.014098,2991951.0,2025-12-20 04:00:00+00:00
BRETT,1766206800000,0.014085,0.014192,0.014085,0.014139,4950183.0,2025-12-20 05:00:00+00:00
BRETT,1766210400000,0.014134,0.014175,0.014098,0.014121,2702333.0,2025-12-20 06:00:00+00:00
BRETT,1766214000000,0.014149,0.01426,0.014102,0.01426,2650485.0,2025-12-20 07:00:00+00:00
BRETT,1766217600000,0.014279,0.014432,0.014241,0.014308,1458272.0,2025-12-20 08:00:00+00:00
BRETT,1766221200000,0.0143,0.01435,0.014261,0.014284,2461747.0,2025-12-20 09:00:00+00:00
BRETT,1766224800000,0.014287,0.014306,0.01413,0.014171,2359179.0,2025-12-20 10:00:00+00:00
BRETT,1766228400000,0.014165,0.014319,0.014151,0.014314,2184096.0,2025-12-20 11:00:00+00:00
BRETT,1766232000000,0.014319,0.014319,0.014217,0.014264,299831.0,2025-12-20 12:00:00+00:00
BRETT,1766235600000,0.014271,0.014308,0.014117,0.014279,3683041.0,2025-12-20 13:00:00+00:00
BRETT,1766239200000,0.014278,0.014326,0.014147,0.014306,1378159.0,2025-12-20 14:00:00+00:00
BRETT,1766242800000,0.014316,0.014332,0.01418,0.014241,6021020.0,2025-12-20 15:00:00+00:00
BRETT,1766246400000,0.014242,0.014301,0.014194,0.0143,1469662.0,2025-12-20 16:00:00+00:00
BRETT,1766250000000,0.014293,0.014461,0.014293,0.014404,3856685.0,2025-12-20 17:00:00+00:00
BRETT,1766253600000,0.014416,0.014496,0.01438,0.014445,291412.0,2025-12-20 18:00:00+00:00
BRETT,1766257200000,0.014448,0.014507,0.014389,0.014415,1387373.0,2025-12-20 19:00:00+00:00
BRETT,1766260800000,0.014411,0.014417,0.014345,0.014391,172989.0,2025-12-20 20:00:00+00:00
BRETT,1766264400000,0.014391,0.014445,0.014337,0.014358,3233467.0,2025-12-20 21:00:00+00:00
BRETT,1766268000000,0.014354,0.014436,0.014301,0.014424,396669.0,2025-12-20 22:00:00+00:00
BRETT,1766271600000,0.014411,0.014422,0.014303,0.014319,2099335.0,2025-12-20 23:00:00+00:00
BRETT,1766275200000,0.014321,0.014352,0.014259,0.014316,2111084.0,2025-12-21 00:00:00+00:00
BRETT,1766278800000,0.014321,0.014321,0.014108,0.014121,1794761.0,2025-12-21 01:00:00+00:00
BRETT,1766282400000,0.014104,0.014156,0.013953,0.014053,3427524.0,2025-12-21 02:00:00+00:00
BRETT,1766286000000,0.014053,0.014154,0.014044,0.014124,1672161.0,2025-12-21 03:00:00+00:00
BRETT,1766289600000,0.014118,0.014172,0.014076,0.01409,3461954.0,2025-12-21 04:00:00+00:00
BRETT,1766293200000,0.0141,0.014191,0.014096,0.014144,5137973.0,2025-12-21 05:00:00+00:00
BRETT,1766296800000,0.014136,0.014164,0.014111,0.014153,1276563.0,2025-12-21 06:00:00+00:00
BRETT,1766300400000,0.014155,0.014187,0.014123,0.014135,2928725.0,2025-12-21 07:00:00+00:00
BRETT,1766304000000,0.014166,0.014331,0.014099,0.014272,2739085.0,2025-12-21 08:00:00+00:00
BRETT,1766307600000,0.014275,0.014366,0.01421,0.014302,1394459.0,2025-12-21 09:00:00+00:00
BRETT,1766311200000,0.014336,0.014337,0.014075,0.014105,1809433.0,2025-12-21 10:00:00+00:00
BRETT,1766314800000,0.014087,0.014115,0.014007,0.014017,2713722.0,2025-12-21 11:00:00+00:00
BRETT,1766318400000,0.014025,0.014119,0.013833,0.013913,1847114.0,2025-12-21 12:00:00+00:00
BRETT,1766322000000,0.013919,0.01392,0.013403,0.013447,8354275.0,2025-12-21 13:00:00+00:00
BRETT,1766325600000,0.013428,0.013679,0.013428,0.013552,1812168.0,2025-12-21 14:00:00+00:00
BRETT,1766329200000,0.013556,0.013709,0.013504,0.013658,4342115.0,2025-12-21 15:00:00+00:00
BRETT,1766332800000,0.013636,0.013748,0.013572,0.013748,3032763.0,2025-12-21 16:00:00+00:00
BRETT,1766336400000,0.01375,0.013904,0.013706,0.013733,7716427.0,2025-12-21 17:00:00+00:00
BRETT,1766340000000,0.013734,0.013734,0.013592,0.013715,4561558.0,2025-12-21 18:00:00+00:00
