coin,time_ms,open,high,low,close,volume,time
DOGE,1766246400000,0.13204,0.13225,0.13161,0.13184,1109381.0,2025-12-20 16:00:00+00:00
DOGE,1766250000000,0.13187,0.1321,0.13153,0.13165,340354.0,2025-12-20 17:00:00+00:00
DOGE,1766253600000,0.13165,0.13222,0.13157,0.13207,410303.0,2025-12-20 18:00:00+00:00
DOGE,1766257200000,0.13211,0.13228,0.1319,0.13211,460352.0,2025-12-20 19:00:00+00:00
DOGE,1766260800000,0.13211,0.13224,0.13196,0.13219,475867.0,2025-12-20 20:00:00+00:00
DOGE,1766264400000,0.13227,0.13239,0.13202,0.13209,324688.0,2025-12-20 21:00:00+00:00
DOGE,1766268000000,0.13205,0.13229,0.13147,0.13224,199335.0,2025-12-20 22:00:00+00:00
DOGE,1766271600000,0.13212,0.1323,0.13186,0.13186,205982.0,2025-12-20 23:00:00+00:00
DOGE,1766275200000,0.13187,0.13212,0.13169,0.13189,1080356.0,2025-12-21 00:00:00+00:00
DOGE,1766278800000,0.13187,0.13187,0.13109,0.13112,431168.0,2025-12-21 01:00:00+00:00
DOGE,1766282400000,0.13108,0.13132,0.13045,0.13078,670113.0,2025-12-21 02:00:00+00:00
DOGE,1766286000000,0.1308,0.13153,0.13074,0.13106,441495.0,2025-12-21 03:00:00+00:00
DOGE,1766289600000,0.13106,0.13124,0.13091,0.13109,319747.0,2025-12-21 04:00:00+00:00
DOGE,1766293200000,0.13107,0.13167,0.13107,0.13144,285639.0,2025-12-21 05:00:00+00:00
DOGE,1766296800000,0.13144,0.13157,0.13132,0.13145,682155.0,2025-12-21 06:00:00+00:00
DOGE,1766300400000,0.13145,0.13145,0.13116,0.1313,237936.0,2025-12-21 07:00:00+00:00
DOGE,1766304000000,0.1313,0.13299,0.13118,0.13277,731252.0,2025-12-21 08:00:00+00:00
DOGE,1766307600000,0.13283,0.13341,0.13235,0.13268,1309849.0,2025-12-21 09:00:00+00:00
DOGE,1766311200000,0.13271,0.13289,0.13169,0.13186,771821.0,2025-12-21 10:00:00+00:00
DOGE,1766314800000,0.13187,0.13193,0.13135,0.13167,697328.0,2025-12-21 11:00:00+00:00
DOGE,1766318400000,0.1317,0.13223,0.13118,0.13157,704356.0,2025-12-21 12:00:00+00:00
DOGE,1766322000000,0.13164,0.13164,0.12867,0.1289,6083957.0,2025-12-21 13:00:00+00:00
DOGE,1766325600000,0.12887,0.12996,0.1288,0.12961,15727888.0,2025-12-21 14:00:00+00:00
DOGE,1766329200000,0.12959,0.12978,0.1289,0.12945,15126834.0,2025-12-21 15:00:00+00:00
DOGE,1766332800000,0.12943,0.13016,0.12907,0.13006,3840801.0,2025-12-21 16:00:00+00:00
DOGE,1766336400000,0.13007,0.13037,0.12969,0.12994,11996417.0,2025-12-21 17:00:00+00:00
DOGE,1766340000000,0.12991,0.12992,0.12906,0.12962,1797531.0,2025-12-21 18:00:00+00:00
DOGE,1766343600000,0.12967,0.13047,0.12944,0.1303,3540997.0,2025-12-21 19:00:00+00:00
DOGE,1766347200000,0.13027,0.13029,0.12971,0.12984,458085.0,2025-12-21 20:00:00+00:00
DOGE,1766350800000,0.12985,0.13001,0.12931,0.12945,474954.0,2025-12-21 21:00:00+00:00
