coin,time_ms,open,high,low,close,volume,time
IP,1766764800000,1.4457,1.4477,1.4294,1.4302,9716.6,2025-12-26 16:00:00+00:00
IP,1766768400000,1.4312,1.4486,1.4305,1.442,6304.5,2025-12-26 17:00:00+00:00
IP,1766772000000,1.4428,1.4457,1.4368,1.4427,6367.6,2025-12-26 18:00:00+00:00
IP,1766775600000,1.4435,1.4519,1.4408,1.4467,3791.0,2025-12-26 19:00:00+00:00
IP,1766779200000,1.4472,1.4491,1.4396,1.4421,15279.6,2025-12-26 20:00:00+00:00
IP,1766782800000,1.4438,1.4472,1.4409,1.4437,1981.5,2025-12-26 21:00:00+00:00
IP,1766786400000,1.4412,1.4483,1.4399,1.4481,10180.3,2025-12-26 22:00:00+00:00
IP,1766790000000,1.4484,1.4523,1.4455,1.4511,10160.2,2025-12-26 23:00:00+00:00
IP,1766793600000,1.4505,1.5214,1.4496,1.488,51384.8,2025-12-27 00:00:00+00:00
IP,1766797200000,1.4876,1.518,1.4771,1.4856,38961.4,2025-12-27 01:00:00+00:00
IP,1766800800000,1.4819,1.4936,1.4754,1.4848,6497.0,2025-12-27 02:00:00+00:00
IP,1766804400000,1.4853,1.5221,1.485,1.5087,13878.3,2025-12-27 03:00:00+00:00
IP,1766808000000,1.5083,1.5339,1.5002,1.5062,79269.5,2025-12-27 04:00:00+00:00
IP,1766811600000,1.5077,1.5077,1.4888,1.4954,12984.6,2025-12-27 05:00:00+00:00
IP,1766815200000,1.4962,1.5167,1.4962,1.5064,12543.8,2025-12-27 06:00:00+00:00
IP,1766818800000,1.5057,1.5179,1.5041,1.5165,7680.7,2025-12-27 07:00:00+00:00
IP,1766822400000,1.5139,1.52,1.5066,1.5153,13915.4,2025-12-27 08:00:00+00:00
IP,1766826000000,1.5139,1.5369,1.5108,1.5258,43800.3,2025-12-27 09:00:00+00:00
IP,1766829600000,1.5254,1.5378,1.4923,1.5133,26395.3,2025-12-27 10:00:00+00:00
IP,1766833200000,1.514,1.5215,1.5046,1.5193,3263.9,2025-12-27 11:00:00+00:00
IP,1766836800000,1.5199,1.5199,1.5018,1.5132,11375.6,2025-12-27 12:00:00+00:00
IP,1766840400000,1.5129,1.5129,1.4991,1.5028,8829.3,2025-12-27 13:00:00+00:00
IP,1766844000000,1.5022,1.5121,1.5012,1.51,1472.6,2025-12-27 14:00:00+00:00
IP,1766847600000,1.511,1.5163,1.5079,1.5083,20431.1,2025-12-27 15:00:00+00:00
IP,1766851200000,1.509,1.5113,1.4914,1.4927,13170.2,2025-12-27 16:00:00+00:00
IP,1766854800000,1.4919,1.5012,1.4919,1.4991,14291.8,2025-12-27 17:00:00+00:00
IP,1766858400000,1.4996,1.5063,1.4989,1.5027,15156.6,2025-12-27 18:00:00+00:00
IP,1766862000000,1.5029,1.503,1.498,1.503,4207.8,2025-12-27 19:00:00+00:00
IP,1766865600000,1.5031,1.5156,1.5031,1.5126,21742.5,2025-12-27 20:00:00+00:00
IP,1766869200000,1.5115,1.5237,1.5092,1.523,11089.2,2025-12-27 21:00:00+00:00
IP,1766872800000,1.5239,1.5321,1.5188,1.5248,19359.8,2025-12-27 22:00:00+00:00
IP,1766876400000,1.5235,1.5766,1.5235,1.5693,736744.4,2025-12-27 23:00:00+00:00
IP,1766880000000,1.5693,1.5726,1.5269,1.5379,85726.2,2025-12-28 00:00:00+00:00
IP,1766883600000,1.5384,1.56,1.5376,1.554,42617.1,2025-12-28 01:00:00+00:00
IP,1766887200000,1.5517,1.5706,1.5479,1.5549,35295.5,2025-12-28 02:00:00+00:00
IP,1766890800000,1.5528,1.5579,1.548,1.5512,18121.9,2025-12-28 03:00:00+00:00
IP,1766894400000,1.5493,1.5568,1.5419,1.5533,13025.8,2025-12-28 04:00:00+00:00
IP,1766898000000,1.5531,1.5682,1.55,1.5631,18572.8,2025-12-28 05:00:00+00:00
IP,1766901600000,1.5618,1.5783,1.556,1.5783,28227.2,2025-12-28 06:00:00+00:00
IP,1766905200000,1.5773,1.584,1.5713,1.575,13955.7,2025-12-28 07:00:00+00:00
IP,1766908800000,1.5761,1.5926,1.5685,1.5822,31305.9,2025-12-28 08:00:00+00:00
IP,1766912400000,1.5823,1.6257,1.5823,1.6102,111554.7,2025-12-28 09:00:00+00:00
IP,1766916000000,1.6116,1.6929,1.6104,1.6772,44450.4,2025-12-28 10:00:00+00:00
IP,1766919600000,1.6761,1.6844,1.5806,1.5905,91309.6,2025-12-28 11:00:00+00:00
IP,1766923200000,1.5918,1.6033,1.5619,1.5733,41677.3,2025-12-28 12:00:00+00:00
IP,1766926800000,1.571,1.5749,1.5524,1.5749,21558.2,2025-12-28 13:00:00+00:00
IP,1766930400000,1.5735,1.5751,1.563,1.566,15622.3,2025-12-28 14:00:00+00:00
IP,1766934000000,1.5657,1.57,1.5541,1.5603,23917.5,2025-12-28 15:00:00+00:00
