coin,time_ms,open,high,low,close,volume,time
LIT,1766415600000,3.9955,3.9976,2.8,3.642,419414.0,2025-12-22 15:00:00+00:00
LIT,1766419200000,3.6448,4.4364,3.3921,4.3356,2033635.0,2025-12-22 16:00:00+00:00
LIT,1766422800000,4.3312,4.3939,4.0301,4.1797,562675.0,2025-12-22 17:00:00+00:00
LIT,1766426400000,4.1797,4.23,3.9319,3.9648,288779.0,2025-12-22 18:00:00+00:00
LIT,1766430000000,3.9714,4.24,3.923,3.9607,400312.0,2025-12-22 19:00:00+00:00
LIT,1766433600000,3.9451,4.17,3.9032,3.9201,343945.0,2025-12-22 20:00:00+00:00
LIT,1766437200000,3.9201,3.966,3.88,3.9125,155903.0,2025-12-22 21:00:00+00:00
LIT,1766440800000,3.9021,3.9555,3.8863,3.8999,53493.0,2025-12-22 22:00:00+00:00
LIT,1766444400000,3.8999,3.9359,3.89,3.8902,58153.0,2025-12-22 23:00:00+00:00
LIT,1766448000000,3.8902,3.9682,3.89,3.9619,34423.0,2025-12-23 00:00:00+00:00
LIT,1766451600000,3.9624,4.0728,3.9613,4.0559,64020.0,2025-12-23 01:00:00+00:00
LIT,1766455200000,4.0559,4.5354,4.05,4.3618,412132.0,2025-12-23 02:00:00+00:00
LIT,1766458800000,4.3385,4.39,4.04,4.3103,357352.0,2025-12-23 03:00:00+00:00
LIT,1766462400000,4.3154,4.3479,4.0,4.145,244848.0,2025-12-23 04:00:00+00:00
LIT,1766466000000,4.1446,4.3899,3.995,4.0025,246142.0,2025-12-23 05:00:00+00:00
LIT,1766469600000,4.0304,4.1615,3.9077,4.0388,118011.0,2025-12-23 06:00:00+00:00
LIT,1766473200000,4.0388,4.1,3.9558,4.0419,23891.0,2025-12-23 07:00:00+00:00
LIT,1766476800000,4.062,4.1061,3.9493,4.0266,30366.0,2025-12-23 08:00:00+00:00
LIT,1766480400000,3.999,4.1873,3.9016,4.0996,73201.0,2025-12-23 09:00:00+00:00
LIT,1766484000000,4.0996,4.1229,3.9563,4.001,29885.0,2025-12-23 10:00:00+00:00
LIT,1766487600000,4.0092,4.1,3.99,4.0983,70750.0,2025-12-23 11:00:00+00:00
LIT,1766491200000,4.0901,4.1686,4.074,4.154,124367.0,2025-12-23 12:00:00+00:00
LIT,1766494800000,4.1383,4.206,3.972,4.092,170554.0,2025-12-23 13:00:00+00:00
LIT,1766498400000,4.0917,4.2,4.0864,4.0988,136398.0,2025-12-23 14:00:00+00:00
LIT,1766502000000,4.0988,4.1745,3.8071,4.0279,619731.0,2025-12-23 15:00:00+00:00
LIT,1766505600000,4.0279,4.0397,3.8037,3.9504,268822.0,2025-12-23 16:00:00+00:00
LIT,1766509200000,3.9504,4.092,3.83,3.83,461942.0,2025-12-23 17:00:00+00:00
LIT,1766512800000,3.83,3.8785,3.6525,3.8275,1007872.0,2025-12-23 18:00:00+00:00
