coin,time_ms,open,high,low,close,volume,time
LTC,1766466000000,76.768,76.934,76.275,76.934,613.87,2025-12-23 05:00:00+00:00
LTC,1766469600000,76.934,76.934,76.402,76.599,731.74,2025-12-23 06:00:00+00:00
LTC,1766473200000,76.644,76.944,76.548,76.752,2857.99,2025-12-23 07:00:00+00:00
LTC,1766476800000,76.752,76.982,76.471,76.496,300.95,2025-12-23 08:00:00+00:00
LTC,1766480400000,76.491,76.632,76.322,76.552,1034.92,2025-12-23 09:00:00+00:00
LTC,1766484000000,76.576,76.706,76.411,76.562,230.05,2025-12-23 10:00:00+00:00
LTC,1766487600000,76.558,76.947,76.488,76.885,1411.38,2025-12-23 11:00:00+00:00
LTC,1766491200000,76.865,77.071,76.63,76.917,862.36,2025-12-23 12:00:00+00:00
LTC,1766494800000,76.873,76.897,76.104,76.398,4388.25,2025-12-23 13:00:00+00:00
LTC,1766498400000,76.332,76.605,75.525,75.931,5433.89,2025-12-23 14:00:00+00:00
LTC,1766502000000,75.927,76.68,75.807,76.68,1990.01,2025-12-23 15:00:00+00:00
LTC,1766505600000,76.592,77.48,76.5,77.223,2596.67,2025-12-23 16:00:00+00:00
LTC,1766509200000,77.214,77.664,76.459,76.492,1485.24,2025-12-23 17:00:00+00:00
LTC,1766512800000,76.472,77.38,76.393,77.208,1341.97,2025-12-23 18:00:00+00:00
LTC,1766516400000,77.206,77.309,76.965,77.165,2831.23,2025-12-23 19:00:00+00:00
LTC,1766520000000,77.165,77.89,77.041,77.365,1857.62,2025-12-23 20:00:00+00:00
LTC,1766523600000,77.44,77.532,77.033,77.041,1713.94,2025-12-23 21:00:00+00:00
LTC,1766527200000,77.031,77.102,76.649,76.788,1590.91,2025-12-23 22:00:00+00:00
LTC,1766530800000,76.669,76.986,76.579,76.947,388.33,2025-12-23 23:00:00+00:00
LTC,1766534400000,76.961,77.24,76.796,77.127,754.42,2025-12-24 00:00:00+00:00
LTC,1766538000000,77.147,77.359,76.872,77.073,164.46,2025-12-24 01:00:00+00:00
LTC,1766541600000,77.034,77.034,76.18,76.254,1755.36,2025-12-24 02:00:00+00:00
LTC,1766545200000,76.208,76.564,75.982,76.564,515.63,2025-12-24 03:00:00+00:00
LTC,1766548800000,76.578,76.832,75.987,76.132,592.0,2025-12-24 04:00:00+00:00
LTC,1766552400000,76.103,76.25,75.675,75.77,411.84,2025-12-24 05:00:00+00:00
LTC,1766556000000,75.787,75.901,75.546,75.842,430.99,2025-12-24 06:00:00+00:00
LTC,1766559600000,75.889,76.03,75.688,75.688,508.18,2025-12-24 07:00:00+00:00
LTC,1766563200000,75.61,75.744,75.276,75.276,1491.6,2025-12-24 08:00:00+00:00
LTC,1766566800000,75.365,75.792,75.365,75.733,110.22,2025-12-24 09:00:00+00:00
LTC,1766570400000,75.724,76.25,75.71,76.071,4511.15,2025-12-24 10:00:00+00:00
LTC,1766574000000,76.216,76.392,76.101,76.103,905.19,2025-12-24 11:00:00+00:00
LTC,1766577600000,76.082,76.425,76.0,76.398,335.42,2025-12-24 12:00:00+00:00
LTC,1766581200000,76.422,76.606,76.26,76.486,1559.05,2025-12-24 13:00:00+00:00
LTC,1766584800000,76.607,76.753,75.215,75.278,2894.96,2025-12-24 14:00:00+00:00
LTC,1766588400000,75.275,76.131,75.24,75.963,2357.76,2025-12-24 15:00:00+00:00
LTC,1766592000000,75.858,76.105,75.404,75.779,1807.16,2025-12-24 16:00:00+00:00
LTC,1766595600000,75.847,75.884,75.475,75.529,97.08,2025-12-24 17:00:00+00:00
LTC,1766599200000,75.552,75.7,75.372,75.501,365.11,2025-12-24 18:00:00+00:00
LTC,1766602800000,75.497,75.74,75.414,75.74,409.9,2025-12-24 19:00:00+00:00
LTC,1766606400000,75.804,75.885,75.54,75.548,836.06,2025-12-24 20:00:00+00:00
LTC,1766610000000,75.561,75.631,75.381,75.53,200.01,2025-12-24 21:00:00+00:00
LTC,1766613600000,75.496,76.094,75.496,76.052,439.48,2025-12-24 22:00:00+00:00
LTC,1766617200000,76.089,76.089,75.692,75.758,170.81,2025-12-24 23:00:00+00:00
LTC,1766620800000,75.762,75.864,75.511,75.534,569.49,2025-12-25 00:00:00+00:00
LTC,1766624400000,75.554,76.009,75.534,75.935,868.54,2025-12-25 01:00:00+00:00
LTC,1766628000000,75.882,76.245,75.784,76.137,223.89,2025-12-25 02:00:00+00:00
LTC,1766631600000,76.14,76.449,76.096,76.213,178.21,2025-12-25 03:00:00+00:00
LTC,1766635200000,76.239,76.342,76.147,76.342,940.57,2025-12-25 04:00:00+00:00
LTC,1766638800000,76.358,76.358,76.068,76.252,176.26,2025-12-25 05:00:00+00:00
LTC,1766642400000,76.255,76.66,76.21,76.459,463.21,2025-12-25 06:00:00+00:00
LTC,1766646000000,76.458,76.984,76.306,76.931,652.13,2025-12-25 07:00:00+00:00
LTC,1766649600000,76.872,77.262,76.474,76.714,2225.94,2025-12-25 08:00:00+00:00
LTC,1766653200000,76.722,76.831,76.599,76.816,367.05,2025-12-25 09:00:00+00:00
LTC,1766656800000,76.808,76.815,75.93,76.118,1377.79,2025-12-25 10:00:00+00:00
LTC,1766660400000,76.125,76.417,76.102,76.102,124.84,2025-12-25 11:00:00+00:00
LTC,1766664000000,76.144,76.429,76.116,76.217,147.12,2025-12-25 12:00:00+00:00
LTC,1766667600000,76.177,76.408,76.02,76.218,423.57,2025-12-25 13:00:00+00:00
LTC,1766671200000,76.233,76.383,75.99,76.228,73.45,2025-12-25 14:00:00+00:00
LTC,1766674800000,76.279,77.227,76.194,76.952,2173.61,2025-12-25 15:00:00+00:00
LTC,1766678400000,76.965,77.359,76.846,76.977,3085.85,2025-12-25 16:00:00+00:00
LTC,1766682000000,76.929,77.142,76.7,77.127,502.87,2025-12-25 17:00:00+00:00
LTC,1766685600000,77.122,77.543,77.081,77.314,472.29,2025-12-25 18:00:00+00:00
LTC,1766689200000,77.324,77.508,77.223,77.372,270.21,2025-12-25 19:00:00+00:00
