coin,time_ms,open,high,low,close,volume,time
ORDI,1765969200000,4.3104,4.3365,4.2734,4.3247,2559.14,2025-12-17 11:00:00+00:00
ORDI,1765972800000,4.3231,4.3383,4.2818,4.306,923.33,2025-12-17 12:00:00+00:00
ORDI,1765976400000,4.3039,4.347,4.2895,4.336,1283.14,2025-12-17 13:00:00+00:00
ORDI,1765980000000,4.3396,4.4342,4.2885,4.4293,4620.78,2025-12-17 14:00:00+00:00
ORDI,1765983600000,4.4363,4.4728,4.2417,4.2627,4747.44,2025-12-17 15:00:00+00:00
ORDI,1765987200000,4.2599,4.3187,4.1149,4.1519,5659.52,2025-12-17 16:00:00+00:00
ORDI,1765990800000,4.1508,4.1716,4.0725,4.0936,2222.04,2025-12-17 17:00:00+00:00
ORDI,1765994400000,4.0903,4.1128,4.0348,4.0369,3682.5,2025-12-17 18:00:00+00:00
ORDI,1765998000000,4.0383,4.0383,3.9816,4.0029,2275.42,2025-12-17 19:00:00+00:00
ORDI,1766001600000,4.0029,4.0222,3.969,3.978,2429.6,2025-12-17 20:00:00+00:00
ORDI,1766005200000,3.9749,3.9918,3.919,3.9212,1259.51,2025-12-17 21:00:00+00:00
ORDI,1766008800000,3.9187,3.965,3.8931,3.9599,1991.4,2025-12-17 22:00:00+00:00
ORDI,1766012400000,3.9609,3.9609,3.8871,3.9091,1074.54,2025-12-17 23:00:00+00:00
ORDI,1766016000000,3.9046,3.9918,3.9046,3.9873,7197.73,2025-12-18 00:00:00+00:00
ORDI,1766019600000,3.9919,4.0005,3.9422,3.9909,1775.9,2025-12-18 01:00:00+00:00
ORDI,1766023200000,3.9911,4.0294,3.9733,3.9927,927.66,2025-12-18 02:00:00+00:00
ORDI,1766026800000,3.9933,4.0113,3.9698,3.9916,584.81,2025-12-18 03:00:00+00:00
ORDI,1766030400000,3.9887,4.0205,3.9669,3.9678,847.67,2025-12-18 04:00:00+00:00
ORDI,1766034000000,3.9656,3.9706,3.8769,3.8826,600.79,2025-12-18 05:00:00+00:00
ORDI,1766037600000,3.883,3.8845,3.8091,3.8389,1534.13,2025-12-18 06:00:00+00:00
ORDI,1766041200000,3.8574,3.8854,3.849,3.867,495.29,2025-12-18 07:00:00+00:00
ORDI,1766044800000,3.8699,3.9379,3.8685,3.9211,1346.1,2025-12-18 08:00:00+00:00
ORDI,1766048400000,3.9224,3.9504,3.9038,3.9412,670.56,2025-12-18 09:00:00+00:00
ORDI,1766052000000,3.9416,3.9472,3.9134,3.9207,371.82,2025-12-18 10:00:00+00:00
ORDI,1766055600000,3.9175,3.9303,3.8988,3.9176,464.67,2025-12-18 11:00:00+00:00
ORDI,1766059200000,3.9212,3.9464,3.9159,3.9373,735.64,2025-12-18 12:00:00+00:00
ORDI,1766062800000,3.9477,4.0242,3.926,4.0051,4155.81,2025-12-18 13:00:00+00:00
ORDI,1766066400000,4.0213,4.0259,3.9226,3.9235,1763.03,2025-12-18 14:00:00+00:00
ORDI,1766070000000,3.9283,4.0097,3.9283,3.9664,660.21,2025-12-18 15:00:00+00:00
ORDI,1766073600000,3.9701,3.9721,3.9247,3.9312,936.89,2025-12-18 16:00:00+00:00
ORDI,1766077200000,3.9222,3.9222,3.6237,3.7146,3942.06,2025-12-18 17:00:00+00:00
ORDI,1766080800000,3.7207,3.7575,3.6746,3.6806,1361.12,2025-12-18 18:00:00+00:00
ORDI,1766084400000,3.686,3.7213,3.5849,3.6043,1324.74,2025-12-18 19:00:00+00:00
ORDI,1766088000000,3.6068,3.6594,3.6027,3.6385,2442.44,2025-12-18 20:00:00+00:00
ORDI,1766091600000,3.6374,3.6952,3.6374,3.6675,1000.2,2025-12-18 21:00:00+00:00
ORDI,1766095200000,3.6695,3.6821,3.6667,3.6706,476.87,2025-12-18 22:00:00+00:00
ORDI,1766098800000,3.6659,3.6659,3.6384,3.6462,1710.0,2025-12-18 23:00:00+00:00
ORDI,1766102400000,3.6432,3.6831,3.6432,3.6799,7438.03,2025-12-19 00:00:00+00:00
ORDI,1766106000000,3.6794,3.7038,3.6431,3.6927,2056.81,2025-12-19 01:00:00+00:00
ORDI,1766109600000,3.6881,3.7529,3.6772,3.7316,853.09,2025-12-19 02:00:00+00:00
ORDI,1766113200000,3.7321,3.8334,3.7299,3.7986,9696.35,2025-12-19 03:00:00+00:00
ORDI,1766116800000,3.7986,3.8278,3.795,3.8148,4204.44,2025-12-19 04:00:00+00:00
ORDI,1766120400000,3.8189,3.8793,3.8013,3.8569,1973.06,2025-12-19 05:00:00+00:00
ORDI,1766124000000,3.8523,3.8552,3.8047,3.8497,1687.18,2025-12-19 06:00:00+00:00
ORDI,1766127600000,3.8621,3.901,3.8511,3.8588,1404.84,2025-12-19 07:00:00+00:00
ORDI,1766131200000,3.8621,3.9683,3.8621,3.9213,4145.25,2025-12-19 08:00:00+00:00
ORDI,1766134800000,3.9246,3.9288,3.896,3.8994,690.4,2025-12-19 09:00:00+00:00
ORDI,1766138400000,3.8833,3.9057,3.8652,3.8994,407.76,2025-12-19 10:00:00+00:00
ORDI,1766142000000,3.8991,3.9615,3.8922,3.9615,1083.22,2025-12-19 11:00:00+00:00
ORDI,1766145600000,3.9607,4.0471,3.9607,4.0312,1407.99,2025-12-19 12:00:00+00:00
ORDI,1766149200000,4.0516,4.2204,4.0471,4.1561,14735.93,2025-12-19 13:00:00+00:00
ORDI,1766152800000,4.1457,4.1571,4.0577,4.0773,4888.26,2025-12-19 14:00:00+00:00
ORDI,1766156400000,4.0628,4.1034,4.0169,4.0443,2920.33,2025-12-19 15:00:00+00:00
ORDI,1766160000000,4.0331,4.0685,4.0001,4.0001,849.46,2025-12-19 16:00:00+00:00
ORDI,1766163600000,3.9982,4.0276,3.9539,3.9554,4558.75,2025-12-19 17:00:00+00:00
ORDI,1766167200000,3.9664,4.0105,3.9616,4.0014,1220.75,2025-12-19 18:00:00+00:00
ORDI,1766170800000,4.0209,4.1437,4.0179,4.1225,798.5,2025-12-19 19:00:00+00:00
ORDI,1766174400000,4.1185,4.1359,4.0629,4.0752,1990.16,2025-12-19 20:00:00+00:00
