coin,time_ms,open,high,low,close,volume,time
PAXG,1766192400000,4350.8,4353.1,4350.3,4353.1,9.017,2025-12-20 01:00:00+00:00
PAXG,1766196000000,4353.1,4353.1,4350.8,4352.5,15.994,2025-12-20 02:00:00+00:00
PAXG,1766199600000,4352.5,4353.4,4352.4,4353.2,6.908,2025-12-20 03:00:00+00:00
PAXG,1766203200000,4353.4,4355.0,4353.3,4354.6,2.093,2025-12-20 04:00:00+00:00
PAXG,1766206800000,4354.7,4355.5,4354.6,4355.1,9.026,2025-12-20 05:00:00+00:00
PAXG,1766210400000,4355.1,4356.1,4354.9,4356.0,5.47,2025-12-20 06:00:00+00:00
PAXG,1766214000000,4356.1,4356.1,4355.0,4355.0,2.313,2025-12-20 07:00:00+00:00
PAXG,1766217600000,4355.0,4355.0,4353.4,4353.9,8.297,2025-12-20 08:00:00+00:00
PAXG,1766221200000,4353.9,4353.9,4353.2,4353.6,4.755,2025-12-20 09:00:00+00:00
PAXG,1766224800000,4353.6,4353.6,4351.6,4351.7,1.209,2025-12-20 10:00:00+00:00
PAXG,1766228400000,4351.6,4352.2,4351.3,4351.3,1.089,2025-12-20 11:00:00+00:00
PAXG,1766232000000,4351.4,4351.4,4350.1,4350.2,1.568,2025-12-20 12:00:00+00:00
PAXG,1766235600000,4350.1,4350.2,4349.0,4349.3,2.647,2025-12-20 13:00:00+00:00
PAXG,1766239200000,4349.1,4351.8,4349.1,4351.8,15.86,2025-12-20 14:00:00+00:00
PAXG,1766242800000,4351.7,4352.2,4351.0,4351.1,1.364,2025-12-20 15:00:00+00:00
PAXG,1766246400000,4351.1,4352.4,4351.1,4352.1,1.729,2025-12-20 16:00:00+00:00
PAXG,1766250000000,4352.1,4352.1,4352.0,4352.0,0.476,2025-12-20 17:00:00+00:00
PAXG,1766253600000,4352.1,4352.6,4352.0,4352.1,0.547,2025-12-20 18:00:00+00:00
PAXG,1766257200000,4352.1,4352.1,4351.0,4351.1,4.034,2025-12-20 19:00:00+00:00
PAXG,1766260800000,4351.1,4351.1,4350.3,4350.4,2.095,2025-12-20 20:00:00+00:00
PAXG,1766264400000,4350.4,4350.5,4350.1,4350.2,3.661,2025-12-20 21:00:00+00:00
PAXG,1766268000000,4350.3,4350.7,4349.9,4350.6,8.935,2025-12-20 22:00:00+00:00
PAXG,1766271600000,4350.3,4350.7,4349.2,4349.8,9.246,2025-12-20 23:00:00+00:00
PAXG,1766275200000,4349.9,4349.9,4348.6,4348.9,11.861,2025-12-21 00:00:00+00:00
PAXG,1766278800000,4348.9,4351.3,4348.8,4351.1,2.799,2025-12-21 01:00:00+00:00
PAXG,1766282400000,4351.2,4353.4,4351.1,4353.4,2.342,2025-12-21 02:00:00+00:00
PAXG,1766286000000,4353.4,4356.5,4353.4,4354.0,22.635,2025-12-21 03:00:00+00:00
PAXG,1766289600000,4354.1,4354.1,4351.6,4352.0,2.974,2025-12-21 04:00:00+00:00
PAXG,1766293200000,4352.1,4352.4,4350.8,4351.3,3.369,2025-12-21 05:00:00+00:00
PAXG,1766296800000,4351.4,4353.9,4351.3,4353.6,0.884,2025-12-21 06:00:00+00:00
PAXG,1766300400000,4353.7,4355.9,4353.0,4354.9,11.725,2025-12-21 07:00:00+00:00
PAXG,1766304000000,4354.9,4355.2,4350.2,4353.9,10.477,2025-12-21 08:00:00+00:00
PAXG,1766307600000,4354.0,4354.0,4353.8,4353.8,7.152,2025-12-21 09:00:00+00:00
PAXG,1766311200000,4353.9,4357.6,4353.9,4357.0,31.645,2025-12-21 10:00:00+00:00
PAXG,1766314800000,4356.8,4357.2,4356.5,4356.6,1.848,2025-12-21 11:00:00+00:00
PAXG,1766318400000,4356.6,4358.3,4356.5,4358.3,2.127,2025-12-21 12:00:00+00:00
PAXG,1766322000000,4358.3,4360.4,4358.3,4359.7,13.858,2025-12-21 13:00:00+00:00
PAXG,1766325600000,4359.7,4360.6,4357.9,4360.6,28.022,2025-12-21 14:00:00+00:00
PAXG,1766329200000,4360.6,4360.9,4359.6,4360.9,24.584,2025-12-21 15:00:00+00:00
PAXG,1766332800000,4360.9,4361.1,4360.1,4360.8,9.573,2025-12-21 16:00:00+00:00
PAXG,1766336400000,4360.9,4361.4,4360.8,4361.2,2.726,2025-12-21 17:00:00+00:00
PAXG,1766340000000,4361.4,4361.4,4361.0,4361.3,4.993,2025-12-21 18:00:00+00:00
PAXG,1766343600000,4361.2,4362.3,4361.2,4361.6,13.911,2025-12-21 19:00:00+00:00
PAXG,1766347200000,4361.7,4362.1,4361.2,4361.2,7.081,2025-12-21 20:00:00+00:00
PAXG,1766350800000,4361.2,4363.5,4361.2,4361.5,20.122,2025-12-21 21:00:00+00:00
PAXG,1766354400000,4361.5,4364.8,4361.5,4363.1,24.82,2025-12-21 22:00:00+00:00
PAXG,1766358000000,4363.0,4367.0,4354.7,4366.6,43.272,2025-12-21 23:00:00+00:00
PAXG,1766361600000,4366.6,4377.4,4366.6,4376.2,45.336,2025-12-22 00:00:00+00:00
PAXG,1766365200000,4377.1,4396.0,4374.8,4393.6,296.731,2025-12-22 01:00:00+00:00
PAXG,1766368800000,4392.9,4400.0,4390.4,4398.5,143.252,2025-12-22 02:00:00+00:00
PAXG,1766372400000,4398.0,4407.0,4397.5,4406.3,139.452,2025-12-22 03:00:00+00:00
PAXG,1766376000000,4406.3,4412.2,4406.2,4411.9,81.642,2025-12-22 04:00:00+00:00
PAXG,1766379600000,4411.7,4423.9,4410.6,4414.4,99.155,2025-12-22 05:00:00+00:00
PAXG,1766383200000,4414.5,4431.8,4412.9,4431.8,60.184,2025-12-22 06:00:00+00:00
PAXG,1766386800000,4431.8,4433.4,4425.3,4429.5,75.142,2025-12-22 07:00:00+00:00
PAXG,1766390400000,4429.4,4431.2,4424.4,4425.3,107.782,2025-12-22 08:00:00+00:00
PAXG,1766394000000,4425.2,4429.9,4422.6,4428.2,114.563,2025-12-22 09:00:00+00:00
PAXG,1766397600000,4428.2,4432.3,4427.6,4427.6,45.303,2025-12-22 10:00:00+00:00
PAXG,1766401200000,4426.5,4429.0,4423.9,4426.6,81.352,2025-12-22 11:00:00+00:00
PAXG,1766404800000,4426.6,4432.0,4425.0,4432.0,86.997,2025-12-22 12:00:00+00:00
PAXG,1766408400000,4432.5,4444.1,4429.9,4438.9,284.411,2025-12-22 13:00:00+00:00
PAXG,1766412000000,4439.9,4445.7,4431.0,4436.2,198.183,2025-12-22 14:00:00+00:00
PAXG,1766415600000,4438.3,4451.8,4429.5,4449.3,214.586,2025-12-22 15:00:00+00:00
PAXG,1766419200000,4448.7,4458.6,4445.8,4455.0,292.371,2025-12-22 16:00:00+00:00
PAXG,1766422800000,4454.9,4458.0,4449.3,4454.8,93.754,2025-12-22 17:00:00+00:00
PAXG,1766426400000,4454.8,4454.8,4446.1,4451.4,386.853,2025-12-22 18:00:00+00:00
PAXG,1766430000000,4451.6,4451.8,4441.7,4447.5,320.511,2025-12-22 19:00:00+00:00
PAXG,1766433600000,4447.6,4455.2,4446.7,4455.2,95.284,2025-12-22 20:00:00+00:00
PAXG,1766437200000,4455.2,4468.9,4455.2,4466.2,53.864,2025-12-22 21:00:00+00:00
PAXG,1766440800000,4466.0,4467.9,4462.3,4465.5,44.734,2025-12-22 22:00:00+00:00
PAXG,1766444400000,4465.8,4485.3,4465.4,4482.9,108.984,2025-12-22 23:00:00+00:00
PAXG,1766448000000,4482.8,4494.0,4481.7,4493.9,85.497,2025-12-23 00:00:00+00:00
PAXG,1766451600000,4494.2,4521.2,4492.6,4511.9,715.781,2025-12-23 01:00:00+00:00
PAXG,1766455200000,4511.7,4517.2,4506.7,4512.5,60.687,2025-12-23 02:00:00+00:00
PAXG,1766458800000,4512.6,4515.5,4501.8,4503.0,125.541,2025-12-23 03:00:00+00:00
PAXG,1766462400000,4504.0,4505.1,4495.8,4498.1,74.555,2025-12-23 04:00:00+00:00
PAXG,1766466000000,4498.0,4500.2,4489.8,4491.5,71.054,2025-12-23 05:00:00+00:00
PAXG,1766469600000,4491.4,4498.1,4485.5,4498.1,39.821,2025-12-23 06:00:00+00:00
PAXG,1766473200000,4497.2,4505.3,4497.1,4504.4,106.486,2025-12-23 07:00:00+00:00
PAXG,1766476800000,4504.4,4522.2,4503.0,4513.6,88.627,2025-12-23 08:00:00+00:00
PAXG,1766480400000,4514.9,4514.9,4502.1,4503.7,60.714,2025-12-23 09:00:00+00:00
PAXG,1766484000000,4503.6,4506.5,4500.0,4503.1,93.382,2025-12-23 10:00:00+00:00
PAXG,1766487600000,4502.2,4512.1,4501.2,4512.1,64.688,2025-12-23 11:00:00+00:00
PAXG,1766491200000,4511.8,4511.8,4501.9,4504.7,99.272,2025-12-23 12:00:00+00:00
PAXG,1766494800000,4504.3,4513.6,4490.9,4495.8,164.118,2025-12-23 13:00:00+00:00
PAXG,1766498400000,4495.4,4496.5,4453.9,4463.4,521.668,2025-12-23 14:00:00+00:00
PAXG,1766502000000,4463.3,4473.0,4427.2,4473.0,533.005,2025-12-23 15:00:00+00:00
PAXG,1766505600000,4473.3,4493.7,4471.5,4490.9,496.611,2025-12-23 16:00:00+00:00
PAXG,1766509200000,4491.1,4497.5,4486.8,4488.8,140.429,2025-12-23 17:00:00+00:00
PAXG,1766512800000,4490.5,4503.1,4490.5,4500.7,30.16,2025-12-23 18:00:00+00:00
PAXG,1766516400000,4501.4,4511.6,4501.0,4507.3,91.564,2025-12-23 19:00:00+00:00
PAXG,1766520000000,4507.3,4515.9,4505.4,4514.9,74.529,2025-12-23 20:00:00+00:00
PAXG,1766523600000,4514.6,4515.4,4502.6,4503.9,76.463,2025-12-23 21:00:00+00:00
PAXG,1766527200000,4504.2,4510.6,4504.2,4509.3,58.524,2025-12-23 22:00:00+00:00
PAXG,1766530800000,4509.4,4536.5,4509.4,4530.6,187.513,2025-12-23 23:00:00+00:00
PAXG,1766534400000,4531.7,4543.9,4528.1,4535.2,196.351,2025-12-24 00:00:00+00:00
PAXG,1766538000000,4536.0,4546.2,4530.8,4540.0,77.538,2025-12-24 01:00:00+00:00
PAXG,1766541600000,4538.9,4538.9,4497.3,4498.1,188.61,2025-12-24 02:00:00+00:00
PAXG,1766545200000,4497.9,4521.7,4490.9,4512.9,238.741,2025-12-24 03:00:00+00:00
PAXG,1766548800000,4512.7,4521.1,4511.1,4518.3,31.392,2025-12-24 04:00:00+00:00
PAXG,1766552400000,4518.3,4520.0,4502.4,4506.6,212.209,2025-12-24 05:00:00+00:00
PAXG,1766556000000,4506.6,4515.1,4503.3,4511.7,154.291,2025-12-24 06:00:00+00:00
PAXG,1766559600000,4511.7,4512.3,4500.2,4500.7,105.892,2025-12-24 07:00:00+00:00
PAXG,1766563200000,4500.5,4508.7,4497.8,4498.6,88.454,2025-12-24 08:00:00+00:00
PAXG,1766566800000,4498.3,4513.1,4498.3,4512.7,178.984,2025-12-24 09:00:00+00:00
PAXG,1766570400000,4512.9,4516.9,4501.7,4508.2,46.449,2025-12-24 10:00:00+00:00
PAXG,1766574000000,4508.2,4510.6,4503.4,4510.1,44.331,2025-12-24 11:00:00+00:00
PAXG,1766577600000,4510.1,4543.0,4510.0,4511.2,262.47,2025-12-24 12:00:00+00:00
PAXG,1766581200000,4511.2,4512.8,4494.7,4504.6,296.954,2025-12-24 13:00:00+00:00
PAXG,1766584800000,4504.6,4506.2,4478.4,4481.4,326.127,2025-12-24 14:00:00+00:00
PAXG,1766588400000,4480.5,4490.0,4463.2,4471.6,519.462,2025-12-24 15:00:00+00:00
PAXG,1766592000000,4472.3,4494.1,4471.1,4492.5,68.781,2025-12-24 16:00:00+00:00
PAXG,1766595600000,4493.2,4500.9,4489.3,4495.2,35.433,2025-12-24 17:00:00+00:00
PAXG,1766599200000,4495.2,4498.4,4492.8,4494.9,89.886,2025-12-24 18:00:00+00:00
PAXG,1766602800000,4495.0,4495.7,4493.7,4494.9,26.22,2025-12-24 19:00:00+00:00
PAXG,1766606400000,4495.3,4496.5,4493.3,4493.5,35.256,2025-12-24 20:00:00+00:00
PAXG,1766610000000,4493.5,4493.8,4492.1,4492.2,8.733,2025-12-24 21:00:00+00:00
PAXG,1766613600000,4492.2,4496.3,4492.1,4492.2,22.556,2025-12-24 22:00:00+00:00
PAXG,1766617200000,4492.1,4495.6,4489.3,4494.8,28.021,2025-12-24 23:00:00+00:00
PAXG,1766620800000,4494.9,4498.4,4492.1,4495.8,54.394,2025-12-25 00:00:00+00:00
PAXG,1766624400000,4495.8,4495.8,4488.1,4492.0,36.167,2025-12-25 01:00:00+00:00
PAXG,1766628000000,4493.3,4493.4,4488.8,4490.2,7.226,2025-12-25 02:00:00+00:00
PAXG,1766631600000,4490.5,4492.5,4489.3,4492.5,3.742,2025-12-25 03:00:00+00:00
PAXG,1766635200000,4492.5,4495.8,4492.5,4495.0,13.332,2025-12-25 04:00:00+00:00
PAXG,1766638800000,4495.0,4495.0,4493.9,4494.8,2.841,2025-12-25 05:00:00+00:00
PAXG,1766642400000,4494.8,4495.2,4494.4,4494.8,4.622,2025-12-25 06:00:00+00:00
PAXG,1766646000000,4494.8,4497.0,4490.2,4496.3,7.047,2025-12-25 07:00:00+00:00
PAXG,1766649600000,4495.9,4496.2,4489.1,4492.9,13.217,2025-12-25 08:00:00+00:00
PAXG,1766653200000,4493.0,4496.1,4492.8,4496.1,19.972,2025-12-25 09:00:00+00:00
PAXG,1766656800000,4496.1,4498.5,4495.0,4496.6,38.989,2025-12-25 10:00:00+00:00
PAXG,1766660400000,4496.6,4497.0,4496.0,4496.0,6.928,2025-12-25 11:00:00+00:00
PAXG,1766664000000,4496.0,4496.9,4492.8,4496.9,7.942,2025-12-25 12:00:00+00:00
PAXG,1766667600000,4497.1,4500.2,4496.4,4498.7,28.275,2025-12-25 13:00:00+00:00
PAXG,1766671200000,4498.7,4501.0,4495.9,4501.0,28.706,2025-12-25 14:00:00+00:00
PAXG,1766674800000,4501.0,4504.0,4500.2,4503.7,24.746,2025-12-25 15:00:00+00:00
PAXG,1766678400000,4503.7,4503.7,4499.3,4500.6,9.529,2025-12-25 16:00:00+00:00
PAXG,1766682000000,4500.5,4505.5,4500.5,4504.4,17.759,2025-12-25 17:00:00+00:00
PAXG,1766685600000,4504.4,4506.4,4503.2,4505.9,11.176,2025-12-25 18:00:00+00:00
PAXG,1766689200000,4505.8,4505.9,4504.8,4505.7,0.481,2025-12-25 19:00:00+00:00
PAXG,1766692800000,4505.8,4510.7,4505.7,4510.4,38.705,2025-12-25 20:00:00+00:00
PAXG,1766696400000,4510.4,4511.5,4510.2,4510.9,73.649,2025-12-25 21:00:00+00:00
PAXG,1766700000000,4511.0,4514.7,4503.0,4506.7,114.54,2025-12-25 22:00:00+00:00
