coin,time_ms,open,high,low,close,volume,time
PUMP,1766995200000,0.001897,0.00191,0.001893,0.001901,111312366.0,2025-12-29 08:00:00+00:00
PUMP,1766998800000,0.0019,0.001902,0.001854,0.001874,311094501.0,2025-12-29 09:00:00+00:00
PUMP,1767002400000,0.001874,0.001885,0.001868,0.001873,129419538.0,2025-12-29 10:00:00+00:00
PUMP,1767006000000,0.001871,0.001881,0.001866,0.001869,86803483.0,2025-12-29 11:00:00+00:00
PUMP,1767009600000,0.001868,0.00187,0.001806,0.001828,2595988233.0,2025-12-29 12:00:00+00:00
PUMP,1767013200000,0.001827,0.00183,0.001769,0.001775,2858444563.0,2025-12-29 13:00:00+00:00
PUMP,1767016800000,0.001775,0.001794,0.001754,0.001776,1654299486.0,2025-12-29 14:00:00+00:00
PUMP,1767020400000,0.001775,0.001799,0.001774,0.001787,131198046.0,2025-12-29 15:00:00+00:00
PUMP,1767024000000,0.001787,0.001792,0.001773,0.001783,70990968.0,2025-12-29 16:00:00+00:00
PUMP,1767027600000,0.001783,0.001808,0.001783,0.001808,141092083.0,2025-12-29 17:00:00+00:00
PUMP,1767031200000,0.001808,0.001809,0.001789,0.001792,165155454.0,2025-12-29 18:00:00+00:00
PUMP,1767034800000,0.00179,0.001805,0.001786,0.001792,109830651.0,2025-12-29 19:00:00+00:00
PUMP,1767038400000,0.001791,0.0018,0.001772,0.001787,97496610.0,2025-12-29 20:00:00+00:00
PUMP,1767042000000,0.001787,0.001802,0.001782,0.001794,53177618.0,2025-12-29 21:00:00+00:00
PUMP,1767045600000,0.001793,0.001812,0.001789,0.001807,103183930.0,2025-12-29 22:00:00+00:00
PUMP,1767049200000,0.001807,0.00182,0.001804,0.001808,137374198.0,2025-12-29 23:00:00+00:00
PUMP,1767052800000,0.001808,0.001816,0.001795,0.001797,238411105.0,2025-12-30 00:00:00+00:00
PUMP,1767056400000,0.001797,0.0018,0.001782,0.001783,64132317.0,2025-12-30 01:00:00+00:00
PUMP,1767060000000,0.001784,0.001792,0.001774,0.001785,55758077.0,2025-12-30 02:00:00+00:00
PUMP,1767063600000,0.001787,0.001797,0.001775,0.001793,20794666.0,2025-12-30 03:00:00+00:00
PUMP,1767067200000,0.001792,0.001801,0.001786,0.001795,188412476.0,2025-12-30 04:00:00+00:00
PUMP,1767070800000,0.001795,0.001799,0.001779,0.001797,149163531.0,2025-12-30 05:00:00+00:00
PUMP,1767074400000,0.001797,0.001806,0.001796,0.001796,33046500.0,2025-12-30 06:00:00+00:00
PUMP,1767078000000,0.001794,0.001805,0.001789,0.0018,111301891.0,2025-12-30 07:00:00+00:00
PUMP,1767081600000,0.0018,0.001828,0.001797,0.001812,283028758.0,2025-12-30 08:00:00+00:00
PUMP,1767085200000,0.001814,0.001819,0.001804,0.001816,183744786.0,2025-12-30 09:00:00+00:00
PUMP,1767088800000,0.001815,0.001818,0.001806,0.001807,65020374.0,2025-12-30 10:00:00+00:00
PUMP,1767092400000,0.001807,0.001816,0.001806,0.001812,130206576.0,2025-12-30 11:00:00+00:00
PUMP,1767096000000,0.001812,0.001818,0.001807,0.001813,39249599.0,2025-12-30 12:00:00+00:00
PUMP,1767099600000,0.001813,0.001813,0.0018,0.001809,79662273.0,2025-12-30 13:00:00+00:00
PUMP,1767103200000,0.001808,0.001808,0.001772,0.001797,1322257610.0,2025-12-30 14:00:00+00:00
PUMP,1767106800000,0.001796,0.001805,0.001777,0.001805,157206768.0,2025-12-30 15:00:00+00:00
PUMP,1767110400000,0.001805,0.00182,0.001797,0.001814,332060846.0,2025-12-30 16:00:00+00:00
PUMP,1767114000000,0.001813,0.001818,0.001788,0.001796,72325382.0,2025-12-30 17:00:00+00:00
PUMP,1767117600000,0.001797,0.0018,0.001786,0.001791,29861193.0,2025-12-30 18:00:00+00:00
PUMP,1767121200000,0.001789,0.001796,0.001775,0.001796,28802348.0,2025-12-30 19:00:00+00:00
PUMP,1767124800000,0.001796,0.001809,0.00179,0.0018,56471594.0,2025-12-30 20:00:00+00:00
PUMP,1767128400000,0.0018,0.001831,0.0018,0.001823,166850599.0,2025-12-30 21:00:00+00:00
PUMP,1767132000000,0.001823,0.001838,0.001821,0.001832,373643260.0,2025-12-30 22:00:00+00:00
PUMP,1767135600000,0.001832,0.001847,0.001829,0.001843,31858463.0,2025-12-30 23:00:00+00:00
PUMP,1767139200000,0.001843,0.001859,0.001825,0.001858,225962488.0,2025-12-31 00:00:00+00:00
PUMP,1767142800000,0.001856,0.0019,0.001852,0.001884,465215186.0,2025-12-31 01:00:00+00:00
PUMP,1767146400000,0.001884,0.001918,0.00188,0.00189,447011548.0,2025-12-31 02:00:00+00:00
PUMP,1767150000000,0.00189,0.001906,0.001885,0.001906,120321111.0,2025-12-31 03:00:00+00:00
PUMP,1767153600000,0.001906,0.001927,0.001886,0.001906,105927194.0,2025-12-31 04:00:00+00:00
PUMP,1767157200000,0.001907,0.001908,0.001876,0.001891,49519105.0,2025-12-31 05:00:00+00:00
PUMP,1767160800000,0.00189,0.001912,0.001889,0.001905,347637203.0,2025-12-31 06:00:00+00:00
PUMP,1767164400000,0.001905,0.001918,0.001899,0.001914,141637169.0,2025-12-31 07:00:00+00:00
PUMP,1767168000000,0.001913,0.001918,0.001887,0.001893,302393943.0,2025-12-31 08:00:00+00:00
PUMP,1767171600000,0.001893,0.001913,0.001886,0.001912,73933761.0,2025-12-31 09:00:00+00:00
PUMP,1767175200000,0.001911,0.001913,0.001899,0.001903,24771091.0,2025-12-31 10:00:00+00:00
PUMP,1767178800000,0.001903,0.001942,0.001903,0.00194,170620223.0,2025-12-31 11:00:00+00:00
PUMP,1767182400000,0.001941,0.001945,0.001916,0.001925,197971137.0,2025-12-31 12:00:00+00:00
PUMP,1767186000000,0.001924,0.001947,0.00192,0.00193,361653409.0,2025-12-31 13:00:00+00:00
PUMP,1767189600000,0.00193,0.001934,0.001897,0.001907,521777273.0,2025-12-31 14:00:00+00:00
PUMP,1767193200000,0.001908,0.001917,0.0019,0.001904,131492236.0,2025-12-31 15:00:00+00:00
PUMP,1767196800000,0.001904,0.001915,0.001874,0.001901,613162141.0,2025-12-31 16:00:00+00:00
PUMP,1767200400000,0.001898,0.001942,0.001896,0.001917,404951361.0,2025-12-31 17:00:00+00:00
PUMP,1767204000000,0.001916,0.00194,0.0019,0.001918,232104682.0,2025-12-31 18:00:00+00:00
PUMP,1767207600000,0.001916,0.001969,0.001915,0.001935,404392257.0,2025-12-31 19:00:00+00:00
PUMP,1767211200000,0.001934,0.001939,0.001908,0.001932,334758268.0,2025-12-31 20:00:00+00:00
PUMP,1767214800000,0.001931,0.001936,0.00191,0.001914,84078390.0,2025-12-31 21:00:00+00:00
PUMP,1767218400000,0.001913,0.001916,0.001904,0.001907,57970414.0,2025-12-31 22:00:00+00:00
PUMP,1767222000000,0.001906,0.001928,0.001899,0.001914,64302376.0,2025-12-31 23:00:00+00:00
PUMP,1767225600000,0.001915,0.001964,0.001914,0.001933,545890095.0,2026-01-01 00:00:00+00:00
PUMP,1767229200000,0.001931,0.001971,0.001928,0.001957,187730873.0,2026-01-01 01:00:00+00:00
PUMP,1767232800000,0.001956,0.001966,0.001943,0.001945,231514145.0,2026-01-01 02:00:00+00:00
PUMP,1767236400000,0.001945,0.001953,0.001927,0.001927,1764833987.0,2026-01-01 03:00:00+00:00
PUMP,1767240000000,0.001927,0.001927,0.001908,0.001926,159309506.0,2026-01-01 04:00:00+00:00
PUMP,1767243600000,0.001926,0.00196,0.001926,0.001952,331216236.0,2026-01-01 05:00:00+00:00
PUMP,1767247200000,0.001953,0.001963,0.001942,0.001944,16382109.0,2026-01-01 06:00:00+00:00
PUMP,1767250800000,0.001945,0.001958,0.001943,0.001952,26189042.0,2026-01-01 07:00:00+00:00
PUMP,1767254400000,0.001952,0.001962,0.001935,0.001943,60910872.0,2026-01-01 08:00:00+00:00
PUMP,1767258000000,0.001944,0.001959,0.001934,0.00195,216616282.0,2026-01-01 09:00:00+00:00
PUMP,1767261600000,0.001949,0.001969,0.001947,0.001967,48587418.0,2026-01-01 10:00:00+00:00
PUMP,1767265200000,0.001967,0.001981,0.001961,0.001981,221694548.0,2026-01-01 11:00:00+00:00
PUMP,1767268800000,0.001981,0.002022,0.001971,0.002001,256426287.0,2026-01-01 12:00:00+00:00
PUMP,1767272400000,0.002,0.002054,0.001996,0.002032,968787885.0,2026-01-01 13:00:00+00:00
PUMP,1767276000000,0.002035,0.002057,0.001993,0.002005,306271712.0,2026-01-01 14:00:00+00:00
PUMP,1767279600000,0.002009,0.002023,0.002,0.002013,136321729.0,2026-01-01 15:00:00+00:00
PUMP,1767283200000,0.002016,0.002061,0.002015,0.002035,1086113187.0,2026-01-01 16:00:00+00:00
PUMP,1767286800000,0.002036,0.00206,0.002029,0.002055,493811065.0,2026-01-01 17:00:00+00:00
PUMP,1767290400000,0.002053,0.002064,0.002049,0.002052,417068198.0,2026-01-01 18:00:00+00:00
PUMP,1767294000000,0.002053,0.00209,0.002045,0.002089,698110228.0,2026-01-01 19:00:00+00:00
PUMP,1767297600000,0.002089,0.002089,0.002062,0.002068,183912643.0,2026-01-01 20:00:00+00:00
PUMP,1767301200000,0.002069,0.002071,0.00206,0.002069,99039651.0,2026-01-01 21:00:00+00:00
PUMP,1767304800000,0.002069,0.0021,0.002066,0.002091,212832548.0,2026-01-01 22:00:00+00:00
PUMP,1767308400000,0.002091,0.002148,0.002078,0.002111,708483235.0,2026-01-01 23:00:00+00:00
PUMP,1767312000000,0.002112,0.002117,0.002083,0.002102,327151328.0,2026-01-02 00:00:00+00:00
PUMP,1767315600000,0.002103,0.002152,0.002103,0.002141,239912823.0,2026-01-02 01:00:00+00:00
PUMP,1767319200000,0.002141,0.002175,0.002127,0.002173,831777339.0,2026-01-02 02:00:00+00:00
PUMP,1767322800000,0.002171,0.002203,0.002126,0.002177,1408438545.0,2026-01-02 03:00:00+00:00
PUMP,1767326400000,0.002177,0.002204,0.002159,0.002197,230384203.0,2026-01-02 04:00:00+00:00
PUMP,1767330000000,0.002195,0.0022,0.002169,0.002176,351458538.0,2026-01-02 05:00:00+00:00
PUMP,1767333600000,0.002175,0.002238,0.002173,0.002197,622674140.0,2026-01-02 06:00:00+00:00
PUMP,1767337200000,0.002197,0.002207,0.002128,0.002143,672405281.0,2026-01-02 07:00:00+00:00
PUMP,1767340800000,0.002145,0.00219,0.002142,0.002173,153156337.0,2026-01-02 08:00:00+00:00
PUMP,1767344400000,0.002172,0.002196,0.00216,0.002185,201683740.0,2026-01-02 09:00:00+00:00
PUMP,1767348000000,0.002187,0.002211,0.002182,0.002204,242130882.0,2026-01-02 10:00:00+00:00
PUMP,1767351600000,0.002204,0.002206,0.002161,0.002162,240391250.0,2026-01-02 11:00:00+00:00
PUMP,1767355200000,0.002162,0.002211,0.002156,0.002193,617011595.0,2026-01-02 12:00:00+00:00
PUMP,1767358800000,0.002191,0.002199,0.00218,0.002186,732226788.0,2026-01-02 13:00:00+00:00
PUMP,1767362400000,0.002186,0.002202,0.002145,0.002174,1250404622.0,2026-01-02 14:00:00+00:00
PUMP,1767366000000,0.002175,0.00218,0.002143,0.002163,252060851.0,2026-01-02 15:00:00+00:00
PUMP,1767369600000,0.002166,0.002243,0.002163,0.002218,503904103.0,2026-01-02 16:00:00+00:00
PUMP,1767373200000,0.002216,0.002242,0.002194,0.002199,489289592.0,2026-01-02 17:00:00+00:00
PUMP,1767376800000,0.002196,0.002209,0.002179,0.002193,296536603.0,2026-01-02 18:00:00+00:00
PUMP,1767380400000,0.002194,0.002269,0.002194,0.002241,387006800.0,2026-01-02 19:00:00+00:00
PUMP,1767384000000,0.002241,0.00225,0.002208,0.002209,100370416.0,2026-01-02 20:00:00+00:00
PUMP,1767387600000,0.002209,0.002266,0.002209,0.002255,596703452.0,2026-01-02 21:00:00+00:00
PUMP,1767391200000,0.002256,0.002346,0.002251,0.002307,683609344.0,2026-01-02 22:00:00+00:00
PUMP,1767394800000,0.002307,0.002309,0.002267,0.002277,206261335.0,2026-01-02 23:00:00+00:00
PUMP,1767398400000,0.002274,0.002314,0.002266,0.002271,430873246.0,2026-01-03 00:00:00+00:00
PUMP,1767402000000,0.002269,0.002298,0.00225,0.002283,480225320.0,2026-01-03 01:00:00+00:00
PUMP,1767405600000,0.002282,0.002332,0.002269,0.002317,402666105.0,2026-01-03 02:00:00+00:00
PUMP,1767409200000,0.002317,0.002324,0.002296,0.002304,239598231.0,2026-01-03 03:00:00+00:00
PUMP,1767412800000,0.002304,0.002311,0.002292,0.002306,152340295.0,2026-01-03 04:00:00+00:00
PUMP,1767416400000,0.002306,0.002357,0.0023,0.002348,986122103.0,2026-01-03 05:00:00+00:00
PUMP,1767420000000,0.002347,0.002352,0.002241,0.002314,1984633616.0,2026-01-03 06:00:00+00:00
PUMP,1767423600000,0.002314,0.002316,0.002196,0.002199,1350095412.0,2026-01-03 07:00:00+00:00
PUMP,1767427200000,0.002199,0.002239,0.002178,0.002209,1055593956.0,2026-01-03 08:00:00+00:00
PUMP,1767430800000,0.002209,0.002255,0.002195,0.002219,1178487081.0,2026-01-03 09:00:00+00:00
PUMP,1767434400000,0.002219,0.002229,0.002208,0.002216,109584510.0,2026-01-03 10:00:00+00:00
PUMP,1767438000000,0.002216,0.002219,0.002196,0.002216,338186947.0,2026-01-03 11:00:00+00:00
PUMP,1767441600000,0.002215,0.002218,0.00218,0.00221,507962575.0,2026-01-03 12:00:00+00:00
PUMP,1767445200000,0.002208,0.002241,0.002207,0.002209,840773329.0,2026-01-03 13:00:00+00:00
PUMP,1767448800000,0.002209,0.00229,0.002204,0.002262,519248192.0,2026-01-03 14:00:00+00:00
PUMP,1767452400000,0.002263,0.002273,0.002242,0.002248,261897501.0,2026-01-03 15:00:00+00:00
PUMP,1767456000000,0.002249,0.002317,0.002242,0.002294,673618144.0,2026-01-03 16:00:00+00:00
PUMP,1767459600000,0.002294,0.002311,0.002275,0.002277,376091758.0,2026-01-03 17:00:00+00:00
PUMP,1767463200000,0.002278,0.002358,0.002263,0.002324,1738799508.0,2026-01-03 18:00:00+00:00
PUMP,1767466800000,0.002323,0.002323,0.00229,0.002293,134023090.0,2026-01-03 19:00:00+00:00
PUMP,1767470400000,0.002292,0.002292,0.002255,0.002278,700336613.0,2026-01-03 20:00:00+00:00
PUMP,1767474000000,0.002279,0.00232,0.00227,0.002312,227325599.0,2026-01-03 21:00:00+00:00
PUMP,1767477600000,0.002311,0.002383,0.002305,0.002363,1583878741.0,2026-01-03 22:00:00+00:00
PUMP,1767481200000,0.002365,0.002384,0.002327,0.002331,709723191.0,2026-01-03 23:00:00+00:00
PUMP,1767484800000,0.002331,0.002388,0.00232,0.002382,2148083409.0,2026-01-04 00:00:00+00:00
PUMP,1767488400000,0.002383,0.002386,0.002294,0.002311,512117332.0,2026-01-04 01:00:00+00:00
PUMP,1767492000000,0.002312,0.002328,0.002294,0.002305,226411385.0,2026-01-04 02:00:00+00:00
PUMP,1767495600000,0.002306,0.00236,0.0023,0.002344,149914310.0,2026-01-04 03:00:00+00:00
PUMP,1767499200000,0.002345,0.002351,0.002307,0.002307,302116365.0,2026-01-04 04:00:00+00:00
PUMP,1767502800000,0.002307,0.002323,0.002296,0.00232,164435926.0,2026-01-04 05:00:00+00:00
PUMP,1767506400000,0.002321,0.002336,0.002262,0.002278,444760185.0,2026-01-04 06:00:00+00:00
PUMP,1767510000000,0.002278,0.002298,0.002271,0.002288,204417967.0,2026-01-04 07:00:00+00:00
PUMP,1767513600000,0.002288,0.002316,0.002256,0.002314,857074594.0,2026-01-04 08:00:00+00:00
PUMP,1767517200000,0.002316,0.002322,0.002279,0.00231,600196316.0,2026-01-04 09:00:00+00:00
PUMP,1767520800000,0.00231,0.002351,0.002308,0.002319,617577498.0,2026-01-04 10:00:00+00:00
PUMP,1767524400000,0.00232,0.00232,0.002295,0.002308,79444135.0,2026-01-04 11:00:00+00:00
PUMP,1767528000000,0.002307,0.002336,0.002307,0.002315,272325772.0,2026-01-04 12:00:00+00:00
PUMP,1767531600000,0.002313,0.002342,0.002286,0.002337,536706249.0,2026-01-04 13:00:00+00:00
PUMP,1767535200000,0.002334,0.002369,0.002322,0.002354,241362158.0,2026-01-04 14:00:00+00:00
PUMP,1767538800000,0.002354,0.002375,0.002333,0.002367,295154982.0,2026-01-04 15:00:00+00:00
