coin,time_ms,open,high,low,close,volume,time
SYRUP,1766664000000,0.32216,0.32573,0.32015,0.32372,48632.0,2025-12-25 12:00:00+00:00
SYRUP,1766667600000,0.32343,0.32572,0.32287,0.32417,24218.0,2025-12-25 13:00:00+00:00
SYRUP,1766671200000,0.32404,0.32761,0.32404,0.32633,16242.0,2025-12-25 14:00:00+00:00
SYRUP,1766674800000,0.32783,0.33495,0.32604,0.33335,65540.0,2025-12-25 15:00:00+00:00
SYRUP,1766678400000,0.33328,0.34185,0.33209,0.33717,55687.0,2025-12-25 16:00:00+00:00
SYRUP,1766682000000,0.33742,0.33967,0.33503,0.33775,95527.0,2025-12-25 17:00:00+00:00
SYRUP,1766685600000,0.33803,0.34497,0.33637,0.34351,118819.0,2025-12-25 18:00:00+00:00
SYRUP,1766689200000,0.34436,0.351,0.34381,0.34464,343658.0,2025-12-25 19:00:00+00:00
SYRUP,1766692800000,0.34467,0.34604,0.34084,0.34225,127380.0,2025-12-25 20:00:00+00:00
SYRUP,1766696400000,0.34254,0.351,0.3425,0.34524,78608.0,2025-12-25 21:00:00+00:00
SYRUP,1766700000000,0.3448,0.3448,0.33605,0.33877,77065.0,2025-12-25 22:00:00+00:00
SYRUP,1766703600000,0.33901,0.34138,0.33339,0.33411,165782.0,2025-12-25 23:00:00+00:00
SYRUP,1766707200000,0.33411,0.33538,0.32822,0.3289,135754.0,2025-12-26 00:00:00+00:00
SYRUP,1766710800000,0.32969,0.33889,0.32969,0.33854,99452.0,2025-12-26 01:00:00+00:00
SYRUP,1766714400000,0.33829,0.34564,0.33627,0.3437,98703.0,2025-12-26 02:00:00+00:00
SYRUP,1766718000000,0.34538,0.34541,0.341,0.34199,51255.0,2025-12-26 03:00:00+00:00
SYRUP,1766721600000,0.34204,0.34242,0.33881,0.34004,145651.0,2025-12-26 04:00:00+00:00
SYRUP,1766725200000,0.34002,0.34188,0.33798,0.34145,32200.0,2025-12-26 05:00:00+00:00
SYRUP,1766728800000,0.34153,0.34153,0.33792,0.33951,51534.0,2025-12-26 06:00:00+00:00
SYRUP,1766732400000,0.33931,0.33988,0.33127,0.33132,22048.0,2025-12-26 07:00:00+00:00
SYRUP,1766736000000,0.3315,0.33503,0.33146,0.3325,26610.0,2025-12-26 08:00:00+00:00
SYRUP,1766739600000,0.33257,0.33669,0.33257,0.33368,23045.0,2025-12-26 09:00:00+00:00
SYRUP,1766743200000,0.33384,0.33793,0.33365,0.33716,18111.0,2025-12-26 10:00:00+00:00
SYRUP,1766746800000,0.33696,0.33734,0.33362,0.33636,37888.0,2025-12-26 11:00:00+00:00
SYRUP,1766750400000,0.33643,0.33695,0.33365,0.33408,49351.0,2025-12-26 12:00:00+00:00
SYRUP,1766754000000,0.33423,0.33449,0.33118,0.33442,39576.0,2025-12-26 13:00:00+00:00
SYRUP,1766757600000,0.33454,0.33552,0.32864,0.33021,17217.0,2025-12-26 14:00:00+00:00
SYRUP,1766761200000,0.32977,0.32997,0.326,0.3263,35157.0,2025-12-26 15:00:00+00:00
SYRUP,1766764800000,0.32651,0.32793,0.32459,0.32499,52496.0,2025-12-26 16:00:00+00:00
SYRUP,1766768400000,0.32539,0.33281,0.32363,0.33273,96035.0,2025-12-26 17:00:00+00:00
SYRUP,1766772000000,0.33206,0.33626,0.33151,0.33554,20137.0,2025-12-26 18:00:00+00:00
SYRUP,1766775600000,0.33499,0.33877,0.33441,0.33607,10249.0,2025-12-26 19:00:00+00:00
SYRUP,1766779200000,0.33618,0.33947,0.33573,0.33891,22104.0,2025-12-26 20:00:00+00:00
SYRUP,1766782800000,0.33905,0.33947,0.33653,0.33765,33282.0,2025-12-26 21:00:00+00:00
SYRUP,1766786400000,0.33785,0.33979,0.33784,0.33902,16240.0,2025-12-26 22:00:00+00:00
SYRUP,1766790000000,0.33901,0.33954,0.33852,0.33938,9207.0,2025-12-26 23:00:00+00:00
SYRUP,1766793600000,0.33938,0.34374,0.33882,0.34344,61827.0,2025-12-27 00:00:00+00:00
SYRUP,1766797200000,0.34336,0.34504,0.33846,0.34051,20207.0,2025-12-27 01:00:00+00:00
SYRUP,1766800800000,0.34076,0.34076,0.33717,0.33826,14659.0,2025-12-27 02:00:00+00:00
SYRUP,1766804400000,0.33847,0.33972,0.33579,0.33615,7184.0,2025-12-27 03:00:00+00:00
SYRUP,1766808000000,0.33613,0.33868,0.33525,0.33821,48383.0,2025-12-27 04:00:00+00:00
SYRUP,1766811600000,0.33769,0.3408,0.33769,0.34031,16578.0,2025-12-27 05:00:00+00:00
SYRUP,1766815200000,0.34031,0.34114,0.33912,0.33941,12408.0,2025-12-27 06:00:00+00:00
SYRUP,1766818800000,0.33951,0.34225,0.33816,0.33884,19190.0,2025-12-27 07:00:00+00:00
SYRUP,1766822400000,0.33895,0.34013,0.33761,0.33884,15737.0,2025-12-27 08:00:00+00:00
SYRUP,1766826000000,0.33893,0.34039,0.33585,0.34039,34635.0,2025-12-27 09:00:00+00:00
SYRUP,1766829600000,0.33992,0.34347,0.33918,0.34154,16440.0,2025-12-27 10:00:00+00:00
SYRUP,1766833200000,0.34163,0.34225,0.33937,0.34026,7774.0,2025-12-27 11:00:00+00:00
SYRUP,1766836800000,0.34009,0.34189,0.33923,0.34012,12817.0,2025-12-27 12:00:00+00:00
SYRUP,1766840400000,0.34034,0.34079,0.3391,0.3391,12714.0,2025-12-27 13:00:00+00:00
SYRUP,1766844000000,0.33909,0.33964,0.33804,0.33852,19062.0,2025-12-27 14:00:00+00:00
SYRUP,1766847600000,0.33866,0.33883,0.33757,0.33815,8668.0,2025-12-27 15:00:00+00:00
SYRUP,1766851200000,0.33838,0.34297,0.33837,0.33997,19236.0,2025-12-27 16:00:00+00:00
SYRUP,1766854800000,0.3402,0.34084,0.33776,0.33861,49085.0,2025-12-27 17:00:00+00:00
SYRUP,1766858400000,0.33874,0.3393,0.33784,0.33785,53575.0,2025-12-27 18:00:00+00:00
SYRUP,1766862000000,0.33761,0.33793,0.33657,0.3377,8405.0,2025-12-27 19:00:00+00:00
SYRUP,1766865600000,0.33802,0.33802,0.33589,0.33672,11263.0,2025-12-27 20:00:00+00:00
SYRUP,1766869200000,0.33675,0.33825,0.33567,0.33567,11288.0,2025-12-27 21:00:00+00:00
SYRUP,1766872800000,0.33584,0.33667,0.33244,0.33272,37562.0,2025-12-27 22:00:00+00:00
SYRUP,1766876400000,0.33282,0.33808,0.33244,0.33675,41505.0,2025-12-27 23:00:00+00:00
SYRUP,1766880000000,0.33673,0.33725,0.33451,0.33453,26871.0,2025-12-28 00:00:00+00:00
SYRUP,1766883600000,0.33453,0.33553,0.33363,0.33452,8908.0,2025-12-28 01:00:00+00:00
SYRUP,1766887200000,0.33433,0.33543,0.33263,0.33364,15145.0,2025-12-28 02:00:00+00:00
SYRUP,1766890800000,0.33314,0.33592,0.33146,0.33369,92223.0,2025-12-28 03:00:00+00:00
SYRUP,1766894400000,0.33361,0.33606,0.33361,0.33437,17331.0,2025-12-28 04:00:00+00:00
SYRUP,1766898000000,0.33429,0.33435,0.33174,0.33198,10897.0,2025-12-28 05:00:00+00:00
SYRUP,1766901600000,0.33198,0.3332,0.33108,0.33108,19120.0,2025-12-28 06:00:00+00:00
SYRUP,1766905200000,0.33106,0.33126,0.32815,0.32837,10398.0,2025-12-28 07:00:00+00:00
SYRUP,1766908800000,0.32848,0.32909,0.3272,0.3272,19739.0,2025-12-28 08:00:00+00:00
SYRUP,1766912400000,0.32741,0.33047,0.32727,0.32948,11287.0,2025-12-28 09:00:00+00:00
SYRUP,1766916000000,0.32942,0.33131,0.32884,0.33014,21424.0,2025-12-28 10:00:00+00:00
SYRUP,1766919600000,0.32986,0.33062,0.32899,0.32966,22759.0,2025-12-28 11:00:00+00:00
SYRUP,1766923200000,0.32977,0.3301,0.32839,0.3287,18897.0,2025-12-28 12:00:00+00:00
SYRUP,1766926800000,0.32866,0.33092,0.32866,0.32962,12335.0,2025-12-28 13:00:00+00:00
SYRUP,1766930400000,0.32949,0.32967,0.32752,0.32794,14853.0,2025-12-28 14:00:00+00:00
SYRUP,1766934000000,0.3279,0.32945,0.32785,0.3287,86245.0,2025-12-28 15:00:00+00:00
SYRUP,1766937600000,0.32879,0.3294,0.32679,0.32747,33284.0,2025-12-28 16:00:00+00:00
SYRUP,1766941200000,0.32753,0.32804,0.32597,0.32612,14991.0,2025-12-28 17:00:00+00:00
SYRUP,1766944800000,0.32592,0.3263,0.32281,0.32456,46300.0,2025-12-28 18:00:00+00:00
SYRUP,1766948400000,0.324,0.3243,0.32094,0.32396,32094.0,2025-12-28 19:00:00+00:00
SYRUP,1766952000000,0.32491,0.32901,0.32324,0.32829,35002.0,2025-12-28 20:00:00+00:00
SYRUP,1766955600000,0.32799,0.32943,0.32464,0.32875,40855.0,2025-12-28 21:00:00+00:00
SYRUP,1766959200000,0.32782,0.3313,0.32651,0.33092,15087.0,2025-12-28 22:00:00+00:00
