coin,time_ms,open,high,low,close,volume,time
TAO,1766304000000,223.57,225.2,223.52,224.36,256.009,2025-12-21 08:00:00+00:00
TAO,1766307600000,224.35,226.62,223.42,225.95,727.714,2025-12-21 09:00:00+00:00
TAO,1766311200000,226.24,226.65,223.15,223.68,420.21,2025-12-21 10:00:00+00:00
TAO,1766314800000,223.55,223.92,221.24,221.79,168.197,2025-12-21 11:00:00+00:00
TAO,1766318400000,221.76,222.85,219.12,220.41,2483.03,2025-12-21 12:00:00+00:00
TAO,1766322000000,220.34,220.38,216.07,216.73,3597.799,2025-12-21 13:00:00+00:00
TAO,1766325600000,216.69,219.2,216.52,219.03,2887.874,2025-12-21 14:00:00+00:00
TAO,1766329200000,219.12,220.27,218.38,219.62,169.579,2025-12-21 15:00:00+00:00
TAO,1766332800000,219.62,220.66,218.99,220.07,219.798,2025-12-21 16:00:00+00:00
TAO,1766336400000,220.13,221.56,220.02,221.12,605.686,2025-12-21 17:00:00+00:00
TAO,1766340000000,220.97,221.05,218.82,219.84,496.82,2025-12-21 18:00:00+00:00
TAO,1766343600000,219.94,221.29,219.55,220.78,1146.856,2025-12-21 19:00:00+00:00
TAO,1766347200000,220.78,221.09,219.52,219.89,690.697,2025-12-21 20:00:00+00:00
TAO,1766350800000,219.92,220.2,218.26,218.77,669.498,2025-12-21 21:00:00+00:00
TAO,1766354400000,218.7,221.42,218.61,221.19,303.348,2025-12-21 22:00:00+00:00
TAO,1766358000000,221.21,223.18,220.68,221.11,151.686,2025-12-21 23:00:00+00:00
TAO,1766361600000,221.04,225.81,221.04,223.14,447.04,2025-12-22 00:00:00+00:00
TAO,1766365200000,222.86,225.89,222.83,223.97,1027.912,2025-12-22 01:00:00+00:00
TAO,1766368800000,224.1,224.1,221.05,222.44,210.897,2025-12-22 02:00:00+00:00
TAO,1766372400000,222.58,224.52,222.01,223.53,262.927,2025-12-22 03:00:00+00:00
TAO,1766376000000,223.51,224.65,223.41,224.15,215.835,2025-12-22 04:00:00+00:00
TAO,1766379600000,224.15,225.54,223.94,224.8,92.925,2025-12-22 05:00:00+00:00
TAO,1766383200000,224.79,225.62,224.3,225.29,178.816,2025-12-22 06:00:00+00:00
TAO,1766386800000,225.01,225.76,222.85,223.19,101.552,2025-12-22 07:00:00+00:00
TAO,1766390400000,223.15,225.47,222.28,223.91,238.339,2025-12-22 08:00:00+00:00
TAO,1766394000000,223.97,225.58,223.55,225.21,407.276,2025-12-22 09:00:00+00:00
TAO,1766397600000,225.17,225.17,223.9,224.1,45.157,2025-12-22 10:00:00+00:00
TAO,1766401200000,224.05,227.27,223.65,226.84,204.953,2025-12-22 11:00:00+00:00
TAO,1766404800000,226.85,230.51,226.8,229.08,728.229,2025-12-22 12:00:00+00:00
TAO,1766408400000,229.17,231.2,228.14,228.3,396.555,2025-12-22 13:00:00+00:00
TAO,1766412000000,228.25,229.59,226.18,228.63,300.768,2025-12-22 14:00:00+00:00
TAO,1766415600000,228.73,230.71,226.13,227.98,520.745,2025-12-22 15:00:00+00:00
TAO,1766419200000,227.94,229.4,226.35,226.96,781.11,2025-12-22 16:00:00+00:00
TAO,1766422800000,227.02,228.29,226.45,227.75,141.78,2025-12-22 17:00:00+00:00
TAO,1766426400000,227.69,229.47,227.18,227.6,902.62,2025-12-22 18:00:00+00:00
TAO,1766430000000,227.6,227.6,220.83,221.18,313.586,2025-12-22 19:00:00+00:00
TAO,1766433600000,221.1,223.53,221.06,223.43,215.913,2025-12-22 20:00:00+00:00
TAO,1766437200000,223.45,224.82,222.61,223.16,352.07,2025-12-22 21:00:00+00:00
TAO,1766440800000,223.15,223.71,221.84,223.33,154.523,2025-12-22 22:00:00+00:00
TAO,1766444400000,223.66,223.78,221.58,222.02,72.307,2025-12-22 23:00:00+00:00
TAO,1766448000000,222.16,225.69,221.98,224.86,290.251,2025-12-23 00:00:00+00:00
TAO,1766451600000,224.85,225.49,223.25,223.93,99.314,2025-12-23 01:00:00+00:00
TAO,1766455200000,223.85,224.67,219.78,219.82,454.575,2025-12-23 02:00:00+00:00
TAO,1766458800000,219.85,221.84,218.73,221.29,376.51,2025-12-23 03:00:00+00:00
TAO,1766462400000,221.12,221.19,219.06,219.47,203.322,2025-12-23 04:00:00+00:00
TAO,1766466000000,219.48,219.66,217.68,219.15,474.022,2025-12-23 05:00:00+00:00
TAO,1766469600000,219.03,219.1,217.5,218.24,768.814,2025-12-23 06:00:00+00:00
TAO,1766473200000,218.41,218.51,217.55,218.0,146.522,2025-12-23 07:00:00+00:00
TAO,1766476800000,217.93,218.92,217.9,218.22,76.191,2025-12-23 08:00:00+00:00
TAO,1766480400000,218.05,219.13,218.0,218.84,559.66,2025-12-23 09:00:00+00:00
TAO,1766484000000,218.8,219.38,217.95,218.25,48.398,2025-12-23 10:00:00+00:00
TAO,1766487600000,218.12,218.49,216.61,217.13,323.981,2025-12-23 11:00:00+00:00
TAO,1766491200000,217.06,219.41,215.16,218.95,931.286,2025-12-23 12:00:00+00:00
TAO,1766494800000,218.88,219.74,216.96,217.58,375.0,2025-12-23 13:00:00+00:00
TAO,1766498400000,217.48,218.59,211.76,213.7,5899.205,2025-12-23 14:00:00+00:00
TAO,1766502000000,213.62,216.69,212.95,214.54,1095.243,2025-12-23 15:00:00+00:00
TAO,1766505600000,214.33,216.79,214.12,214.16,600.876,2025-12-23 16:00:00+00:00
TAO,1766509200000,214.16,216.58,213.94,213.94,1419.928,2025-12-23 17:00:00+00:00
TAO,1766512800000,214.24,216.8,214.03,216.24,239.343,2025-12-23 18:00:00+00:00
TAO,1766516400000,216.31,217.41,214.48,214.82,289.28,2025-12-23 19:00:00+00:00
TAO,1766520000000,214.91,218.41,214.31,216.35,855.163,2025-12-23 20:00:00+00:00
TAO,1766523600000,216.57,216.73,215.35,216.16,120.545,2025-12-23 21:00:00+00:00
TAO,1766527200000,216.23,216.38,211.29,212.65,1085.893,2025-12-23 22:00:00+00:00
TAO,1766530800000,212.66,214.35,211.99,214.28,91.871,2025-12-23 23:00:00+00:00
TAO,1766534400000,214.22,214.5,211.55,212.44,760.462,2025-12-24 00:00:00+00:00
TAO,1766538000000,212.55,213.41,211.6,211.63,216.184,2025-12-24 01:00:00+00:00
TAO,1766541600000,211.63,211.65,206.98,208.86,2436.616,2025-12-24 02:00:00+00:00
TAO,1766545200000,208.75,210.54,207.81,210.01,796.44,2025-12-24 03:00:00+00:00
TAO,1766548800000,210.16,211.84,209.28,209.43,276.647,2025-12-24 04:00:00+00:00
TAO,1766552400000,209.72,210.41,207.29,207.55,236.227,2025-12-24 05:00:00+00:00
TAO,1766556000000,207.53,208.5,206.95,208.29,234.386,2025-12-24 06:00:00+00:00
TAO,1766559600000,208.33,208.79,206.22,207.69,617.064,2025-12-24 07:00:00+00:00
TAO,1766563200000,207.72,208.21,206.62,206.84,424.782,2025-12-24 08:00:00+00:00
TAO,1766566800000,207.25,207.72,206.7,207.1,88.818,2025-12-24 09:00:00+00:00
TAO,1766570400000,207.12,208.02,206.82,206.98,242.498,2025-12-24 10:00:00+00:00
TAO,1766574000000,206.77,209.36,206.77,209.33,544.234,2025-12-24 11:00:00+00:00
TAO,1766577600000,209.3,211.49,208.75,211.29,166.058,2025-12-24 12:00:00+00:00
TAO,1766581200000,211.27,211.38,209.0,210.13,275.019,2025-12-24 13:00:00+00:00
TAO,1766584800000,210.5,213.13,209.17,211.47,457.845,2025-12-24 14:00:00+00:00
TAO,1766588400000,211.59,215.0,211.51,214.74,231.768,2025-12-24 15:00:00+00:00
TAO,1766592000000,214.64,216.85,213.27,216.21,551.368,2025-12-24 16:00:00+00:00
TAO,1766595600000,216.29,219.43,215.98,216.91,897.98,2025-12-24 17:00:00+00:00
TAO,1766599200000,216.87,219.13,216.5,219.0,446.102,2025-12-24 18:00:00+00:00
TAO,1766602800000,218.88,218.9,216.02,218.1,498.49,2025-12-24 19:00:00+00:00
TAO,1766606400000,218.22,218.53,216.63,216.85,413.648,2025-12-24 20:00:00+00:00
TAO,1766610000000,216.91,217.43,214.96,215.99,869.366,2025-12-24 21:00:00+00:00
