coin,time_ms,open,high,low,close,volume,time
TRUMP,1765969200000,5.2223,5.2505,5.2208,5.2468,12550.5,2025-12-17 11:00:00+00:00
TRUMP,1765972800000,5.2499,5.2547,5.2183,5.2304,6453.6,2025-12-17 12:00:00+00:00
TRUMP,1765976400000,5.2256,5.2548,5.2238,5.2485,4221.0,2025-12-17 13:00:00+00:00
TRUMP,1765980000000,5.2508,5.322,5.2065,5.313,32713.8,2025-12-17 14:00:00+00:00
TRUMP,1765983600000,5.3199,5.3439,5.2217,5.2424,98918.9,2025-12-17 15:00:00+00:00
TRUMP,1765987200000,5.238,5.2624,5.1698,5.2088,55816.1,2025-12-17 16:00:00+00:00
TRUMP,1765990800000,5.2104,5.2116,5.1737,5.1751,15176.6,2025-12-17 17:00:00+00:00
TRUMP,1765994400000,5.1751,5.1913,5.1296,5.1319,30606.1,2025-12-17 18:00:00+00:00
TRUMP,1765998000000,5.1329,5.1536,5.1179,5.1506,22276.3,2025-12-17 19:00:00+00:00
TRUMP,1766001600000,5.1512,5.1662,5.126,5.1265,4439.3,2025-12-17 20:00:00+00:00
TRUMP,1766005200000,5.1303,5.1364,5.0869,5.0917,11265.6,2025-12-17 21:00:00+00:00
TRUMP,1766008800000,5.0946,5.132,5.0843,5.1318,55719.8,2025-12-17 22:00:00+00:00
TRUMP,1766012400000,5.1271,5.1394,5.1064,5.126,13612.5,2025-12-17 23:00:00+00:00
TRUMP,1766016000000,5.1281,5.1562,5.1281,5.1431,30415.2,2025-12-18 00:00:00+00:00
TRUMP,1766019600000,5.142,5.142,5.1215,5.1288,39510.8,2025-12-18 01:00:00+00:00
TRUMP,1766023200000,5.1311,5.1505,5.1238,5.1394,27531.1,2025-12-18 02:00:00+00:00
TRUMP,1766026800000,5.1408,5.1412,5.0945,5.1003,84771.6,2025-12-18 03:00:00+00:00
TRUMP,1766030400000,5.1016,5.1105,5.0969,5.0996,10694.0,2025-12-18 04:00:00+00:00
TRUMP,1766034000000,5.0982,5.1,5.0326,5.0415,33731.6,2025-12-18 05:00:00+00:00
TRUMP,1766037600000,5.0413,5.0593,5.0136,5.0289,9388.3,2025-12-18 06:00:00+00:00
TRUMP,1766041200000,5.0316,5.0491,5.0309,5.0386,38687.7,2025-12-18 07:00:00+00:00
TRUMP,1766044800000,5.0386,5.0803,5.0386,5.0696,11826.2,2025-12-18 08:00:00+00:00
TRUMP,1766048400000,5.0688,5.0864,5.062,5.0757,4367.4,2025-12-18 09:00:00+00:00
TRUMP,1766052000000,5.072,5.1038,5.0693,5.0928,20845.2,2025-12-18 10:00:00+00:00
TRUMP,1766055600000,5.0928,5.0942,5.063,5.0942,7037.5,2025-12-18 11:00:00+00:00
TRUMP,1766059200000,5.0948,5.1118,5.0866,5.1027,3214.1,2025-12-18 12:00:00+00:00
TRUMP,1766062800000,5.1,5.1647,5.1,5.1589,70678.0,2025-12-18 13:00:00+00:00
TRUMP,1766066400000,5.159,5.1883,5.1161,5.1485,40563.2,2025-12-18 14:00:00+00:00
TRUMP,1766070000000,5.1516,5.1908,5.1335,5.1729,18792.7,2025-12-18 15:00:00+00:00
TRUMP,1766073600000,5.1738,5.1908,5.157,5.1647,12246.5,2025-12-18 16:00:00+00:00
TRUMP,1766077200000,5.1693,5.1695,5.0281,5.0794,156066.5,2025-12-18 17:00:00+00:00
TRUMP,1766080800000,5.0787,5.092,5.0338,5.0429,32527.1,2025-12-18 18:00:00+00:00
TRUMP,1766084400000,5.0436,5.052,4.9562,4.9666,125850.2,2025-12-18 19:00:00+00:00
TRUMP,1766088000000,4.9693,5.0054,4.968,4.977,43172.1,2025-12-18 20:00:00+00:00
TRUMP,1766091600000,4.9725,5.0374,4.9725,5.0353,20019.7,2025-12-18 21:00:00+00:00
TRUMP,1766095200000,5.0358,5.0512,5.0228,5.0312,2061.1,2025-12-18 22:00:00+00:00
TRUMP,1766098800000,5.0303,5.0305,4.9956,5.011,5757.6,2025-12-18 23:00:00+00:00
TRUMP,1766102400000,5.0117,5.0253,4.9989,5.0183,5040.1,2025-12-19 00:00:00+00:00
TRUMP,1766106000000,5.0192,5.0192,4.9873,5.0011,8766.1,2025-12-19 01:00:00+00:00
TRUMP,1766109600000,4.9972,5.037,4.9834,5.0286,7660.3,2025-12-19 02:00:00+00:00
TRUMP,1766113200000,5.0292,5.115,5.0292,5.0866,35534.2,2025-12-19 03:00:00+00:00
TRUMP,1766116800000,5.0899,5.101,5.0729,5.0909,11202.8,2025-12-19 04:00:00+00:00
TRUMP,1766120400000,5.0935,5.0935,5.0735,5.0832,7297.0,2025-12-19 05:00:00+00:00
TRUMP,1766124000000,5.0838,5.1137,5.0817,5.1137,6523.2,2025-12-19 06:00:00+00:00
TRUMP,1766127600000,5.1159,5.1593,5.1158,5.1412,23902.0,2025-12-19 07:00:00+00:00
TRUMP,1766131200000,5.1418,5.142,5.121,5.1388,7572.7,2025-12-19 08:00:00+00:00
TRUMP,1766134800000,5.1374,5.1374,5.1275,5.13,2131.4,2025-12-19 09:00:00+00:00
TRUMP,1766138400000,5.1341,5.136,5.0991,5.1212,5718.4,2025-12-19 10:00:00+00:00
TRUMP,1766142000000,5.117,5.1271,5.1137,5.1193,10308.5,2025-12-19 11:00:00+00:00
TRUMP,1766145600000,5.1201,5.1278,5.1112,5.1152,3258.0,2025-12-19 12:00:00+00:00
TRUMP,1766149200000,5.1153,5.1202,5.0884,5.0954,8375.8,2025-12-19 13:00:00+00:00
