coin,time_ms,open,high,low,close,volume,time
VIRTUAL,1766404800000,0.72932,0.73932,0.72896,0.73317,44972.1,2025-12-22 12:00:00+00:00
VIRTUAL,1766408400000,0.73336,0.73385,0.72018,0.72411,55305.5,2025-12-22 13:00:00+00:00
VIRTUAL,1766412000000,0.72351,0.72946,0.7159,0.72451,78747.4,2025-12-22 14:00:00+00:00
VIRTUAL,1766415600000,0.72502,0.72854,0.71245,0.72157,55506.8,2025-12-22 15:00:00+00:00
VIRTUAL,1766419200000,0.72213,0.72422,0.7163,0.71842,36917.4,2025-12-22 16:00:00+00:00
VIRTUAL,1766422800000,0.71847,0.72149,0.71218,0.71944,24686.1,2025-12-22 17:00:00+00:00
VIRTUAL,1766426400000,0.71872,0.72422,0.71618,0.71782,240848.7,2025-12-22 18:00:00+00:00
VIRTUAL,1766430000000,0.71744,0.71744,0.69607,0.69777,106845.7,2025-12-22 19:00:00+00:00
VIRTUAL,1766433600000,0.69736,0.70256,0.69264,0.70026,134669.3,2025-12-22 20:00:00+00:00
VIRTUAL,1766437200000,0.69972,0.70762,0.6996,0.70461,30857.1,2025-12-22 21:00:00+00:00
VIRTUAL,1766440800000,0.70454,0.71248,0.70192,0.71175,17671.1,2025-12-22 22:00:00+00:00
VIRTUAL,1766444400000,0.71199,0.71199,0.70581,0.70956,27987.4,2025-12-22 23:00:00+00:00
VIRTUAL,1766448000000,0.70951,0.71687,0.70765,0.71353,21812.1,2025-12-23 00:00:00+00:00
VIRTUAL,1766451600000,0.71362,0.71496,0.70805,0.71014,23225.8,2025-12-23 01:00:00+00:00
VIRTUAL,1766455200000,0.71013,0.71506,0.70298,0.70298,72933.9,2025-12-23 02:00:00+00:00
VIRTUAL,1766458800000,0.70336,0.70372,0.69884,0.70062,10520.5,2025-12-23 03:00:00+00:00
VIRTUAL,1766462400000,0.69981,0.70405,0.69665,0.69665,25534.7,2025-12-23 04:00:00+00:00
VIRTUAL,1766466000000,0.69651,0.70044,0.69439,0.69797,67541.8,2025-12-23 05:00:00+00:00
VIRTUAL,1766469600000,0.69806,0.70108,0.6935,0.69613,31279.8,2025-12-23 06:00:00+00:00
VIRTUAL,1766473200000,0.6973,0.69842,0.69328,0.69505,20258.6,2025-12-23 07:00:00+00:00
VIRTUAL,1766476800000,0.69494,0.69999,0.69403,0.69545,27084.8,2025-12-23 08:00:00+00:00
VIRTUAL,1766480400000,0.69524,0.69815,0.69311,0.69762,40015.2,2025-12-23 09:00:00+00:00
VIRTUAL,1766484000000,0.69743,0.70663,0.69743,0.70496,28464.1,2025-12-23 10:00:00+00:00
VIRTUAL,1766487600000,0.70495,0.70521,0.70078,0.7016,25118.6,2025-12-23 11:00:00+00:00
VIRTUAL,1766491200000,0.7017,0.7017,0.69404,0.69664,14601.0,2025-12-23 12:00:00+00:00
VIRTUAL,1766494800000,0.6953,0.69953,0.68915,0.69144,61662.7,2025-12-23 13:00:00+00:00
VIRTUAL,1766498400000,0.69038,0.6948,0.67669,0.68167,171715.8,2025-12-23 14:00:00+00:00
VIRTUAL,1766502000000,0.68179,0.69673,0.67875,0.696,616504.1,2025-12-23 15:00:00+00:00
VIRTUAL,1766505600000,0.69407,0.70804,0.69307,0.7055,72447.9,2025-12-23 16:00:00+00:00
VIRTUAL,1766509200000,0.70562,0.70988,0.69512,0.69573,105906.3,2025-12-23 17:00:00+00:00
VIRTUAL,1766512800000,0.69642,0.70919,0.69556,0.70674,51855.8,2025-12-23 18:00:00+00:00
VIRTUAL,1766516400000,0.7068,0.70858,0.69858,0.7029,603791.2,2025-12-23 19:00:00+00:00
VIRTUAL,1766520000000,0.70282,0.71576,0.70171,0.70855,141818.1,2025-12-23 20:00:00+00:00
VIRTUAL,1766523600000,0.70944,0.7108,0.70446,0.70535,357470.1,2025-12-23 21:00:00+00:00
VIRTUAL,1766527200000,0.70541,0.70741,0.69926,0.70038,285009.4,2025-12-23 22:00:00+00:00
VIRTUAL,1766530800000,0.70015,0.70347,0.69847,0.70097,13860.7,2025-12-23 23:00:00+00:00
VIRTUAL,1766534400000,0.70106,0.70278,0.69902,0.70179,61462.0,2025-12-24 00:00:00+00:00
VIRTUAL,1766538000000,0.7022,0.70458,0.69393,0.69684,35413.9,2025-12-24 01:00:00+00:00
VIRTUAL,1766541600000,0.69591,0.69597,0.66478,0.66656,136287.8,2025-12-24 02:00:00+00:00
VIRTUAL,1766545200000,0.66687,0.67234,0.65013,0.67234,216627.5,2025-12-24 03:00:00+00:00
VIRTUAL,1766548800000,0.67144,0.67591,0.66492,0.66631,72410.7,2025-12-24 04:00:00+00:00
VIRTUAL,1766552400000,0.66677,0.67232,0.66511,0.66695,115391.6,2025-12-24 05:00:00+00:00
VIRTUAL,1766556000000,0.66713,0.67052,0.66516,0.66962,18789.6,2025-12-24 06:00:00+00:00
VIRTUAL,1766559600000,0.67015,0.67117,0.66471,0.66822,12579.4,2025-12-24 07:00:00+00:00
VIRTUAL,1766563200000,0.66754,0.66877,0.6634,0.66569,66701.0,2025-12-24 08:00:00+00:00
VIRTUAL,1766566800000,0.66621,0.66956,0.66593,0.66724,32734.8,2025-12-24 09:00:00+00:00
