coin,time_ms,open,high,low,close,volume,time
ZEN,1765969200000,7.9572,7.9811,7.943,7.9811,952.33,2025-12-17 11:00:00+00:00
ZEN,1765972800000,7.9715,8.0012,7.9393,7.9551,1538.66,2025-12-17 12:00:00+00:00
ZEN,1765976400000,7.9551,7.9844,7.9138,7.9567,1666.95,2025-12-17 13:00:00+00:00
ZEN,1765980000000,7.9545,7.9866,7.6793,7.8928,8284.41,2025-12-17 14:00:00+00:00
ZEN,1765983600000,7.8916,7.9531,7.6892,7.7069,9280.41,2025-12-17 15:00:00+00:00
ZEN,1765987200000,7.7061,7.7577,7.5161,7.6502,10998.07,2025-12-17 16:00:00+00:00
ZEN,1765990800000,7.6545,7.6545,7.5162,7.5207,3316.49,2025-12-17 17:00:00+00:00
ZEN,1765994400000,7.5294,7.5588,7.3887,7.3947,1212.47,2025-12-17 18:00:00+00:00
ZEN,1765998000000,7.3995,7.4014,7.2835,7.3412,10261.84,2025-12-17 19:00:00+00:00
ZEN,1766001600000,7.3474,7.451,7.3471,7.3965,3527.16,2025-12-17 20:00:00+00:00
ZEN,1766005200000,7.4082,7.4176,7.3419,7.3444,326.01,2025-12-17 21:00:00+00:00
ZEN,1766008800000,7.3479,7.4409,7.3438,7.3831,1186.47,2025-12-17 22:00:00+00:00
ZEN,1766012400000,7.3812,7.4363,7.3812,7.3984,624.31,2025-12-17 23:00:00+00:00
ZEN,1766016000000,7.4009,7.4312,7.3701,7.3905,3373.68,2025-12-18 00:00:00+00:00
ZEN,1766019600000,7.396,7.3962,7.3328,7.368,2207.61,2025-12-18 01:00:00+00:00
ZEN,1766023200000,7.3735,7.4391,7.3537,7.3843,1659.25,2025-12-18 02:00:00+00:00
ZEN,1766026800000,7.3843,7.4079,7.3661,7.4012,469.97,2025-12-18 03:00:00+00:00
ZEN,1766030400000,7.4057,7.4694,7.4049,7.4226,743.1,2025-12-18 04:00:00+00:00
ZEN,1766034000000,7.4226,7.4467,7.375,7.4244,534.31,2025-12-18 05:00:00+00:00
ZEN,1766037600000,7.426,7.426,7.3473,7.3626,687.37,2025-12-18 06:00:00+00:00
ZEN,1766041200000,7.3649,7.4141,7.3649,7.3725,487.43,2025-12-18 07:00:00+00:00
ZEN,1766044800000,7.3822,7.4444,7.3679,7.386,1797.89,2025-12-18 08:00:00+00:00
ZEN,1766048400000,7.382,7.3825,7.307,7.3117,1064.6,2025-12-18 09:00:00+00:00
ZEN,1766052000000,7.3159,7.3899,7.3107,7.3847,1715.36,2025-12-18 10:00:00+00:00
ZEN,1766055600000,7.3913,7.3913,7.2734,7.3408,1082.18,2025-12-18 11:00:00+00:00
