coin,time_ms,open,high,low,close,volume,time
ZEREBRO,1765969200000,0.029801,0.029818,0.029502,0.029596,510559.0,2025-12-17 11:00:00+00:00
ZEREBRO,1765972800000,0.029608,0.029663,0.029257,0.029311,407396.0,2025-12-17 12:00:00+00:00
ZEREBRO,1765976400000,0.029303,0.029508,0.029186,0.029423,225443.0,2025-12-17 13:00:00+00:00
ZEREBRO,1765980000000,0.029432,0.0299,0.029005,0.029535,959550.0,2025-12-17 14:00:00+00:00
ZEREBRO,1765983600000,0.029664,0.02977,0.028455,0.028629,937872.0,2025-12-17 15:00:00+00:00
ZEREBRO,1765987200000,0.02859,0.029158,0.028535,0.029121,633476.0,2025-12-17 16:00:00+00:00
ZEREBRO,1765990800000,0.029118,0.029185,0.028551,0.028592,378644.0,2025-12-17 17:00:00+00:00
ZEREBRO,1765994400000,0.02856,0.02862,0.028183,0.028207,144076.0,2025-12-17 18:00:00+00:00
ZEREBRO,1765998000000,0.028195,0.028402,0.028155,0.028363,168248.0,2025-12-17 19:00:00+00:00
ZEREBRO,1766001600000,0.028363,0.028486,0.028287,0.028328,395768.0,2025-12-17 20:00:00+00:00
ZEREBRO,1766005200000,0.028337,0.028361,0.028162,0.028198,113401.0,2025-12-17 21:00:00+00:00
ZEREBRO,1766008800000,0.028191,0.02878,0.028125,0.02878,333419.0,2025-12-17 22:00:00+00:00
ZEREBRO,1766012400000,0.028739,0.028739,0.028459,0.028496,123709.0,2025-12-17 23:00:00+00:00
ZEREBRO,1766016000000,0.028502,0.028502,0.028276,0.028442,287205.0,2025-12-18 00:00:00+00:00
ZEREBRO,1766019600000,0.028394,0.028572,0.028308,0.028464,391806.0,2025-12-18 01:00:00+00:00
ZEREBRO,1766023200000,0.028401,0.028401,0.027808,0.027897,430470.0,2025-12-18 02:00:00+00:00
ZEREBRO,1766026800000,0.027853,0.028131,0.027724,0.028124,583821.0,2025-12-18 03:00:00+00:00
ZEREBRO,1766030400000,0.028056,0.028583,0.028025,0.028522,232037.0,2025-12-18 04:00:00+00:00
ZEREBRO,1766034000000,0.028507,0.028507,0.027755,0.027976,253572.0,2025-12-18 05:00:00+00:00
ZEREBRO,1766037600000,0.027856,0.028299,0.027856,0.028009,386006.0,2025-12-18 06:00:00+00:00
ZEREBRO,1766041200000,0.028014,0.028137,0.0279,0.028116,308174.0,2025-12-18 07:00:00+00:00
ZEREBRO,1766044800000,0.028096,0.028097,0.027799,0.027918,259072.0,2025-12-18 08:00:00+00:00
ZEREBRO,1766048400000,0.027903,0.027903,0.027315,0.027857,513456.0,2025-12-18 09:00:00+00:00
ZEREBRO,1766052000000,0.027846,0.027849,0.027651,0.027677,331205.0,2025-12-18 10:00:00+00:00
ZEREBRO,1766055600000,0.027672,0.028039,0.027632,0.027948,497832.0,2025-12-18 11:00:00+00:00
ZEREBRO,1766059200000,0.02794,0.027994,0.027619,0.027769,391605.0,2025-12-18 12:00:00+00:00
ZEREBRO,1766062800000,0.027762,0.027923,0.02758,0.027863,1005010.0,2025-12-18 13:00:00+00:00
ZEREBRO,1766066400000,0.027858,0.02809,0.027526,0.027586,1390819.0,2025-12-18 14:00:00+00:00
ZEREBRO,1766070000000,0.027671,0.028144,0.027645,0.027935,812738.0,2025-12-18 15:00:00+00:00
ZEREBRO,1766073600000,0.027902,0.028126,0.027823,0.028082,433148.0,2025-12-18 16:00:00+00:00
