coin,time_ms,open,high,low,close,volume,time
ZETA,1765969200000,0.07397,0.07405,0.0738,0.07404,129245.1,2025-12-17 11:00:00+00:00
ZETA,1765972800000,0.07414,0.07453,0.07414,0.07438,47518.6,2025-12-17 12:00:00+00:00
ZETA,1765976400000,0.07439,0.07507,0.07421,0.07506,55989.9,2025-12-17 13:00:00+00:00
ZETA,1765980000000,0.0751,0.07599,0.07381,0.07596,132572.3,2025-12-17 14:00:00+00:00
ZETA,1765983600000,0.07618,0.07637,0.07345,0.07367,185714.0,2025-12-17 15:00:00+00:00
ZETA,1765987200000,0.07364,0.07401,0.07137,0.07202,270283.1,2025-12-17 16:00:00+00:00
ZETA,1765990800000,0.072,0.07224,0.07121,0.07131,57270.3,2025-12-17 17:00:00+00:00
ZETA,1765994400000,0.07133,0.07159,0.07034,0.07046,86571.2,2025-12-17 18:00:00+00:00
ZETA,1765998000000,0.07047,0.07086,0.07009,0.07086,33673.1,2025-12-17 19:00:00+00:00
ZETA,1766001600000,0.0708,0.0716,0.07054,0.07102,112423.3,2025-12-17 20:00:00+00:00
ZETA,1766005200000,0.07105,0.07118,0.07042,0.07052,48287.7,2025-12-17 21:00:00+00:00
ZETA,1766008800000,0.07045,0.07092,0.07034,0.07083,108243.2,2025-12-17 22:00:00+00:00
ZETA,1766012400000,0.07086,0.07102,0.07058,0.07083,62611.3,2025-12-17 23:00:00+00:00
ZETA,1766016000000,0.07089,0.07103,0.0707,0.07077,86742.6,2025-12-18 00:00:00+00:00
ZETA,1766019600000,0.07077,0.07077,0.0699,0.0701,40075.6,2025-12-18 01:00:00+00:00
ZETA,1766023200000,0.0701,0.07086,0.07003,0.0706,63337.5,2025-12-18 02:00:00+00:00
ZETA,1766026800000,0.07048,0.07068,0.07028,0.07028,41270.3,2025-12-18 03:00:00+00:00
ZETA,1766030400000,0.07031,0.07054,0.07022,0.07035,112564.0,2025-12-18 04:00:00+00:00
ZETA,1766034000000,0.07033,0.07035,0.06922,0.06928,126491.8,2025-12-18 05:00:00+00:00
ZETA,1766037600000,0.06922,0.06932,0.06896,0.06924,124474.7,2025-12-18 06:00:00+00:00
ZETA,1766041200000,0.06929,0.06946,0.06906,0.06932,98089.7,2025-12-18 07:00:00+00:00
ZETA,1766044800000,0.06936,0.07022,0.06925,0.07009,77218.1,2025-12-18 08:00:00+00:00
ZETA,1766048400000,0.07009,0.0702,0.06964,0.06967,172236.0,2025-12-18 09:00:00+00:00
