coin,time_ms,open,high,low,close,volume,time
hyna:ETH,1766131200000,2960.0,2964.0,2940.7,2954.7,5.5454,2025-12-19 08:00:00+00:00
hyna:ETH,1766134800000,2951.8,2958.2,2946.9,2954.5,21.7462,2025-12-19 09:00:00+00:00
hyna:ETH,1766138400000,2954.9,2964.1,2949.1,2953.4,24.6208,2025-12-19 10:00:00+00:00
hyna:ETH,1766142000000,2953.3,2971.2,2950.5,2964.8,34.9514,2025-12-19 11:00:00+00:00
hyna:ETH,1766145600000,2964.9,2965.9,2947.9,2955.6,22.4449,2025-12-19 12:00:00+00:00
hyna:ETH,1766149200000,2956.7,2967.6,2955.8,2961.1,32.4244,2025-12-19 13:00:00+00:00
hyna:ETH,1766152800000,2963.5,2993.4,2944.7,2975.0,67.992,2025-12-19 14:00:00+00:00
hyna:ETH,1766156400000,2971.5,3029.8,2927.0,2964.5,61.5543,2025-12-19 15:00:00+00:00
hyna:ETH,1766160000000,2960.8,3006.8,2960.8,2965.3,49.7403,2025-12-19 16:00:00+00:00
hyna:ETH,1766163600000,2967.7,2992.7,2941.0,2941.0,120.7044,2025-12-19 17:00:00+00:00
hyna:ETH,1766167200000,2950.0,2978.9,2943.2,2971.3,13.7398,2025-12-19 18:00:00+00:00
hyna:ETH,1766170800000,2966.2,2994.4,2966.2,2985.1,3.2111,2025-12-19 19:00:00+00:00
hyna:ETH,1766174400000,2985.0,3002.9,2980.1,2995.3,20.3945,2025-12-19 20:00:00+00:00
hyna:ETH,1766178000000,2991.5,2991.5,2975.3,2976.4,3.1496,2025-12-19 21:00:00+00:00
hyna:ETH,1766181600000,2978.0,2992.7,2978.0,2988.6,1.7342,2025-12-19 22:00:00+00:00
hyna:ETH,1766185200000,2990.9,2990.9,2980.1,2980.1,5.9205,2025-12-19 23:00:00+00:00
hyna:ETH,1766188800000,2980.0,2980.0,2971.5,2977.4,41.5314,2025-12-20 00:00:00+00:00
hyna:ETH,1766192400000,2975.5,2984.1,2975.5,2976.4,6.8644,2025-12-20 01:00:00+00:00
hyna:ETH,1766196000000,2977.8,2991.7,2977.8,2984.4,40.2006,2025-12-20 02:00:00+00:00
hyna:ETH,1766199600000,2985.8,2994.9,2983.4,2990.2,13.1926,2025-12-20 03:00:00+00:00
hyna:ETH,1766203200000,2990.2,2990.2,2981.1,2985.5,10.2422,2025-12-20 04:00:00+00:00
hyna:ETH,1766206800000,2986.2,2987.4,2983.5,2983.5,55.1115,2025-12-20 05:00:00+00:00
hyna:ETH,1766210400000,2982.8,2986.4,2980.3,2980.3,67.8079,2025-12-20 06:00:00+00:00
hyna:ETH,1766214000000,2980.0,2984.2,2974.8,2983.1,34.6885,2025-12-20 07:00:00+00:00
hyna:ETH,1766217600000,2983.0,2983.2,2983.0,2983.2,121.0536,2025-12-20 08:00:00+00:00
hyna:ETH,1766221200000,2983.2,2984.4,2983.1,2983.1,91.4735,2025-12-20 09:00:00+00:00
hyna:ETH,1766224800000,2983.0,2983.0,2979.4,2979.8,43.8631,2025-12-20 10:00:00+00:00
hyna:ETH,1766228400000,2979.8,2984.4,2979.1,2984.4,54.7476,2025-12-20 11:00:00+00:00
hyna:ETH,1766232000000,2984.4,2985.8,2984.4,2985.8,61.5568,2025-12-20 12:00:00+00:00
hyna:ETH,1766235600000,2985.7,2985.8,2977.6,2980.5,159.1474,2025-12-20 13:00:00+00:00
hyna:ETH,1766239200000,2980.4,2980.4,2976.4,2979.2,49.1758,2025-12-20 14:00:00+00:00
hyna:ETH,1766242800000,2979.4,2980.4,2976.4,2980.0,28.794,2025-12-20 15:00:00+00:00
hyna:ETH,1766246400000,2980.4,2980.4,2976.8,2976.8,7.2585,2025-12-20 16:00:00+00:00
hyna:ETH,1766250000000,2980.0,2980.2,2976.8,2979.5,4.951,2025-12-20 17:00:00+00:00
hyna:ETH,1766253600000,2977.8,2979.6,2975.3,2979.4,1.4672,2025-12-20 18:00:00+00:00
hyna:ETH,1766257200000,2976.4,2979.6,2976.4,2979.4,4.608,2025-12-20 19:00:00+00:00
hyna:ETH,1766260800000,2979.5,2984.4,2979.4,2984.3,6.0071,2025-12-20 20:00:00+00:00
hyna:ETH,1766264400000,2984.4,2985.8,2981.1,2981.3,40.4086,2025-12-20 21:00:00+00:00
