coin,time_ms,open,high,low,close,volume,time
hyna:HYPE,1766908800000,25.811,25.869,25.789,25.866,317.54,2025-12-28 08:00:00+00:00
hyna:HYPE,1766912400000,25.879,25.932,25.83,25.928,1072.16,2025-12-28 09:00:00+00:00
hyna:HYPE,1766916000000,25.918,26.006,25.918,25.973,1339.8,2025-12-28 10:00:00+00:00
hyna:HYPE,1766919600000,25.95,25.982,25.851,25.883,1482.1,2025-12-28 11:00:00+00:00
hyna:HYPE,1766923200000,25.883,25.889,25.763,25.798,1841.27,2025-12-28 12:00:00+00:00
hyna:HYPE,1766926800000,25.802,25.893,25.802,25.864,204.84,2025-12-28 13:00:00+00:00
hyna:HYPE,1766930400000,25.87,25.88,25.774,25.88,829.74,2025-12-28 14:00:00+00:00
hyna:HYPE,1766934000000,25.827,25.871,25.05,25.168,6354.52,2025-12-28 15:00:00+00:00
hyna:HYPE,1766937600000,25.18,25.401,25.101,25.259,5554.73,2025-12-28 16:00:00+00:00
hyna:HYPE,1766941200000,25.28,25.446,25.28,25.3,3709.11,2025-12-28 17:00:00+00:00
hyna:HYPE,1766944800000,25.31,25.367,25.13,25.149,6189.7,2025-12-28 18:00:00+00:00
hyna:HYPE,1766948400000,25.148,25.249,24.901,24.97,3604.55,2025-12-28 19:00:00+00:00
hyna:HYPE,1766952000000,24.971,25.199,24.9,24.9,791.52,2025-12-28 20:00:00+00:00
hyna:HYPE,1766955600000,24.986,25.081,24.816,25.073,4066.8,2025-12-28 21:00:00+00:00
hyna:HYPE,1766959200000,25.05,25.25,24.977,25.25,1252.68,2025-12-28 22:00:00+00:00
hyna:HYPE,1766962800000,25.274,25.441,25.201,25.35,1088.06,2025-12-28 23:00:00+00:00
hyna:HYPE,1766966400000,25.3,26.0,25.1,25.978,3226.58,2025-12-29 00:00:00+00:00
hyna:HYPE,1766970000000,25.95,26.175,25.737,26.079,5000.67,2025-12-29 01:00:00+00:00
hyna:HYPE,1766973600000,26.057,26.253,26.019,26.061,4240.61,2025-12-29 02:00:00+00:00
hyna:HYPE,1766977200000,26.05,26.167,25.891,26.091,1572.13,2025-12-29 03:00:00+00:00
hyna:HYPE,1766980800000,26.071,26.15,25.928,26.091,423.24,2025-12-29 04:00:00+00:00
hyna:HYPE,1766984400000,26.111,26.25,26.05,26.05,1134.99,2025-12-29 05:00:00+00:00
hyna:HYPE,1766988000000,26.043,26.154,25.915,25.915,462.12,2025-12-29 06:00:00+00:00
hyna:HYPE,1766991600000,25.91,26.118,25.764,25.969,3272.73,2025-12-29 07:00:00+00:00
hyna:HYPE,1766995200000,25.921,26.081,25.818,25.877,1860.3,2025-12-29 08:00:00+00:00
hyna:HYPE,1766998800000,25.909,26.0,25.5,25.734,3322.17,2025-12-29 09:00:00+00:00
hyna:HYPE,1767002400000,25.708,25.9,25.624,25.708,3408.56,2025-12-29 10:00:00+00:00
hyna:HYPE,1767006000000,25.701,25.701,25.572,25.675,1320.61,2025-12-29 11:00:00+00:00
hyna:HYPE,1767009600000,25.63,25.737,25.347,25.731,2555.31,2025-12-29 12:00:00+00:00
hyna:HYPE,1767013200000,25.701,25.823,25.59,25.675,1190.68,2025-12-29 13:00:00+00:00
hyna:HYPE,1767016800000,25.686,25.959,25.654,25.764,2774.36,2025-12-29 14:00:00+00:00
hyna:HYPE,1767020400000,25.773,26.125,25.728,26.009,1130.65,2025-12-29 15:00:00+00:00
