coin,time_ms,open,high,low,close,volume,time
hyna:LIGHTER,1766412000000,3.0,3.6974,2.9232,3.5,48044.0,2025-12-22 14:00:00+00:00
hyna:LIGHTER,1766415600000,3.5,3.6974,3.41,3.5562,32571.0,2025-12-22 15:00:00+00:00
hyna:LIGHTER,1766419200000,3.5562,3.9795,3.41,3.9795,24310.0,2025-12-22 16:00:00+00:00
hyna:LIGHTER,1766422800000,3.98,4.1869,3.71,3.9857,17891.0,2025-12-22 17:00:00+00:00
hyna:LIGHTER,1766426400000,3.99,4.0144,3.7005,3.701,6141.0,2025-12-22 18:00:00+00:00
hyna:LIGHTER,1766430000000,3.72,3.9926,3.652,3.75,4262.0,2025-12-22 19:00:00+00:00
hyna:LIGHTER,1766433600000,3.7008,4.1,3.6515,3.89,5390.0,2025-12-22 20:00:00+00:00
hyna:LIGHTER,1766437200000,3.892,3.9783,3.771,3.8448,862.0,2025-12-22 21:00:00+00:00
hyna:LIGHTER,1766440800000,3.82,4.06,3.69,3.71,8003.0,2025-12-22 22:00:00+00:00
hyna:LIGHTER,1766444400000,3.7715,4.0376,3.71,3.721,996.0,2025-12-22 23:00:00+00:00
hyna:LIGHTER,1766448000000,3.929,4.0197,3.8,4.0,1346.0,2025-12-23 00:00:00+00:00
hyna:LIGHTER,1766451600000,4.0,4.06,3.7901,4.06,3833.0,2025-12-23 01:00:00+00:00
hyna:LIGHTER,1766455200000,4.06,4.41,3.6603,4.3,25489.0,2025-12-23 02:00:00+00:00
hyna:LIGHTER,1766458800000,4.285,4.3,4.08,4.1372,1788.0,2025-12-23 03:00:00+00:00
hyna:LIGHTER,1766462400000,4.1872,4.29,4.0,4.0729,1576.0,2025-12-23 04:00:00+00:00
hyna:LIGHTER,1766466000000,4.0931,4.2,4.0001,4.0001,727.0,2025-12-23 05:00:00+00:00
hyna:LIGHTER,1766469600000,4.0001,4.0598,4.0,4.019,1052.0,2025-12-23 06:00:00+00:00
hyna:LIGHTER,1766473200000,4.019,4.1499,3.9,3.9239,1160.0,2025-12-23 07:00:00+00:00
hyna:LIGHTER,1766476800000,3.9962,4.1499,3.9164,4.1159,1028.0,2025-12-23 08:00:00+00:00
hyna:LIGHTER,1766480400000,4.1499,4.15,3.9002,4.1452,2246.0,2025-12-23 09:00:00+00:00
hyna:LIGHTER,1766484000000,4.0308,4.0686,3.9206,3.9206,1088.0,2025-12-23 10:00:00+00:00
hyna:LIGHTER,1766487600000,4.064,4.0693,3.9115,4.0691,1040.0,2025-12-23 11:00:00+00:00
hyna:LIGHTER,1766491200000,3.9981,4.15,3.9937,4.1095,1014.0,2025-12-23 12:00:00+00:00
hyna:LIGHTER,1766494800000,4.1095,4.15,4.0012,4.004,958.0,2025-12-23 13:00:00+00:00
hyna:LIGHTER,1766498400000,4.0715,4.1773,4.007,4.11,2917.0,2025-12-23 14:00:00+00:00
hyna:LIGHTER,1766502000000,4.08,4.1499,3.8579,4.07,8204.0,2025-12-23 15:00:00+00:00
hyna:LIGHTER,1766505600000,4.11,4.11,3.8222,3.96,2362.0,2025-12-23 16:00:00+00:00
hyna:LIGHTER,1766509200000,3.9601,4.04,3.82,3.82,4412.0,2025-12-23 17:00:00+00:00
hyna:LIGHTER,1766512800000,3.82,3.8506,3.5364,3.8024,16538.0,2025-12-23 18:00:00+00:00
hyna:LIGHTER,1766516400000,3.7133,3.928,3.65,3.849,5821.0,2025-12-23 19:00:00+00:00
hyna:LIGHTER,1766520000000,3.68,3.8912,3.6001,3.75,1795.0,2025-12-23 20:00:00+00:00
hyna:LIGHTER,1766523600000,3.8315,3.8332,3.66,3.7416,367.0,2025-12-23 21:00:00+00:00
hyna:LIGHTER,1766527200000,3.72,3.7997,3.6,3.7062,2029.0,2025-12-23 22:00:00+00:00
hyna:LIGHTER,1766530800000,3.7124,3.7372,3.6,3.6577,667.0,2025-12-23 23:00:00+00:00
hyna:LIGHTER,1766534400000,3.685,3.8154,3.6,3.61,5602.0,2025-12-24 00:00:00+00:00
hyna:LIGHTER,1766538000000,3.68,3.7227,3.6001,3.6001,280.0,2025-12-24 01:00:00+00:00
hyna:LIGHTER,1766541600000,3.6021,3.6021,3.5203,3.5203,5095.0,2025-12-24 02:00:00+00:00
hyna:LIGHTER,1766545200000,3.5203,3.7876,3.4,3.4987,20151.0,2025-12-24 03:00:00+00:00
hyna:LIGHTER,1766548800000,3.6543,3.6545,3.4,3.47,1076.0,2025-12-24 04:00:00+00:00
hyna:LIGHTER,1766552400000,3.42,3.5375,3.3721,3.52,1092.0,2025-12-24 05:00:00+00:00
hyna:LIGHTER,1766556000000,3.4805,3.7366,3.4805,3.67,825.0,2025-12-24 06:00:00+00:00
hyna:LIGHTER,1766559600000,3.6294,3.6294,3.52,3.52,375.0,2025-12-24 07:00:00+00:00
hyna:LIGHTER,1766563200000,3.587,3.595,3.587,3.5948,53.0,2025-12-24 08:00:00+00:00
hyna:LIGHTER,1766566800000,3.6114,3.6154,3.457,3.5301,3832.0,2025-12-24 09:00:00+00:00
hyna:LIGHTER,1766570400000,3.5302,3.5813,3.3,3.4312,2121.0,2025-12-24 10:00:00+00:00
hyna:LIGHTER,1766574000000,3.442,3.52,3.3917,3.4211,522.0,2025-12-24 11:00:00+00:00
hyna:LIGHTER,1766577600000,3.4256,3.6136,3.4256,3.5896,141.0,2025-12-24 12:00:00+00:00
