coin,time_ms,open,high,low,close,volume,time
kPEPE,1766318400000,0.004094,0.004109,0.004063,0.004074,19617741.0,2025-12-21 12:00:00+00:00
kPEPE,1766322000000,0.004071,0.004071,0.003954,0.003973,69782448.0,2025-12-21 13:00:00+00:00
kPEPE,1766325600000,0.003967,0.004013,0.003965,0.004002,37470929.0,2025-12-21 14:00:00+00:00
kPEPE,1766329200000,0.004002,0.004033,0.003989,0.00401,22276969.0,2025-12-21 15:00:00+00:00
kPEPE,1766332800000,0.004009,0.004042,0.003998,0.004032,36401938.0,2025-12-21 16:00:00+00:00
kPEPE,1766336400000,0.004033,0.004057,0.004031,0.004051,37358958.0,2025-12-21 17:00:00+00:00
kPEPE,1766340000000,0.004052,0.004052,0.004012,0.004014,23433982.0,2025-12-21 18:00:00+00:00
kPEPE,1766343600000,0.004014,0.004021,0.003993,0.00401,30960565.0,2025-12-21 19:00:00+00:00
kPEPE,1766347200000,0.004012,0.004012,0.003979,0.003985,16595745.0,2025-12-21 20:00:00+00:00
kPEPE,1766350800000,0.003985,0.003993,0.003955,0.00396,13870272.0,2025-12-21 21:00:00+00:00
kPEPE,1766354400000,0.003958,0.004018,0.003944,0.004016,44097587.0,2025-12-21 22:00:00+00:00
kPEPE,1766358000000,0.004019,0.00405,0.004002,0.004024,45107626.0,2025-12-21 23:00:00+00:00
kPEPE,1766361600000,0.004025,0.00414,0.004025,0.004052,100290438.0,2025-12-22 00:00:00+00:00
kPEPE,1766365200000,0.004048,0.00409,0.00403,0.004032,81697907.0,2025-12-22 01:00:00+00:00
kPEPE,1766368800000,0.00403,0.00403,0.003953,0.003993,63045621.0,2025-12-22 02:00:00+00:00
kPEPE,1766372400000,0.003995,0.004028,0.003975,0.004011,40336372.0,2025-12-22 03:00:00+00:00
kPEPE,1766376000000,0.004011,0.004047,0.004008,0.004042,34890048.0,2025-12-22 04:00:00+00:00
kPEPE,1766379600000,0.004042,0.004042,0.004,0.004001,12140207.0,2025-12-22 05:00:00+00:00
kPEPE,1766383200000,0.003997,0.00403,0.003991,0.004015,3225149.0,2025-12-22 06:00:00+00:00
kPEPE,1766386800000,0.004012,0.004038,0.004003,0.004013,5854404.0,2025-12-22 07:00:00+00:00
kPEPE,1766390400000,0.00401,0.00406,0.003999,0.004005,44065795.0,2025-12-22 08:00:00+00:00
kPEPE,1766394000000,0.004006,0.004012,0.003983,0.003993,37247690.0,2025-12-22 09:00:00+00:00
kPEPE,1766397600000,0.003997,0.004006,0.003987,0.004001,44900625.0,2025-12-22 10:00:00+00:00
kPEPE,1766401200000,0.004001,0.004006,0.003981,0.003991,9118693.0,2025-12-22 11:00:00+00:00
kPEPE,1766404800000,0.00399,0.004029,0.003985,0.004014,36626877.0,2025-12-22 12:00:00+00:00
kPEPE,1766408400000,0.004015,0.00402,0.003986,0.00401,21691590.0,2025-12-22 13:00:00+00:00
kPEPE,1766412000000,0.004014,0.004049,0.003992,0.004033,31860998.0,2025-12-22 14:00:00+00:00
kPEPE,1766415600000,0.004034,0.004073,0.003997,0.004048,124791024.0,2025-12-22 15:00:00+00:00
kPEPE,1766419200000,0.004049,0.004063,0.004022,0.004036,54725662.0,2025-12-22 16:00:00+00:00
kPEPE,1766422800000,0.004034,0.004034,0.00401,0.004013,37495149.0,2025-12-22 17:00:00+00:00
kPEPE,1766426400000,0.004013,0.004042,0.004004,0.004022,146642088.0,2025-12-22 18:00:00+00:00
kPEPE,1766430000000,0.004022,0.004023,0.003922,0.003938,44932555.0,2025-12-22 19:00:00+00:00
kPEPE,1766433600000,0.003933,0.003959,0.003917,0.003948,35768330.0,2025-12-22 20:00:00+00:00
kPEPE,1766437200000,0.003944,0.003984,0.003944,0.003969,36099278.0,2025-12-22 21:00:00+00:00
kPEPE,1766440800000,0.003969,0.004027,0.003958,0.00402,33242446.0,2025-12-22 22:00:00+00:00
kPEPE,1766444400000,0.004024,0.004024,0.004,0.004016,11918867.0,2025-12-22 23:00:00+00:00
kPEPE,1766448000000,0.004019,0.004054,0.004014,0.004041,24259538.0,2025-12-23 00:00:00+00:00
kPEPE,1766451600000,0.004044,0.004048,0.004007,0.004025,36055351.0,2025-12-23 01:00:00+00:00
kPEPE,1766455200000,0.004023,0.00404,0.003989,0.00399,52163400.0,2025-12-23 02:00:00+00:00
kPEPE,1766458800000,0.00399,0.00401,0.003965,0.003999,33768756.0,2025-12-23 03:00:00+00:00
kPEPE,1766462400000,0.003998,0.004004,0.00398,0.003983,24182877.0,2025-12-23 04:00:00+00:00
