coin,time_ms,open,high,low,close,volume,time
km:USTECH,1768302000000,625.05,625.05,625.05,625.05,0.031,2026-01-13 11:00:00+00:00
km:USTECH,1768305600000,625.05,625.05,625.05,625.05,0.0,2026-01-13 12:00:00+00:00
km:USTECH,1768309200000,626.04,629.44,625.91,627.76,1090.54,2026-01-13 13:00:00+00:00
km:USTECH,1768312800000,627.69,629.39,626.84,627.31,1162.296,2026-01-13 14:00:00+00:00
km:USTECH,1768316400000,627.3,627.64,624.04,625.89,622.704,2026-01-13 15:00:00+00:00
km:USTECH,1768320000000,625.9,629.0,625.13,628.73,929.008,2026-01-13 16:00:00+00:00
km:USTECH,1768323600000,628.65,628.8,625.18,625.56,1015.978,2026-01-13 17:00:00+00:00
km:USTECH,1768327200000,625.55,626.26,624.48,624.72,1385.321,2026-01-13 18:00:00+00:00
km:USTECH,1768330800000,624.72,625.55,624.28,625.26,1897.344,2026-01-13 19:00:00+00:00
km:USTECH,1768334400000,625.25,626.15,623.79,626.15,1505.362,2026-01-13 20:00:00+00:00
km:USTECH,1768338000000,626.17,626.51,625.97,625.98,419.632,2026-01-13 21:00:00+00:00
km:USTECH,1768341600000,625.97,625.98,625.97,625.98,38.369,2026-01-13 22:00:00+00:00
km:USTECH,1768345200000,625.98,626.2,625.89,625.93,371.187,2026-01-13 23:00:00+00:00
km:USTECH,1768348800000,625.92,626.42,625.91,626.35,529.167,2026-01-14 00:00:00+00:00
km:USTECH,1768352400000,626.34,626.49,625.85,625.85,349.724,2026-01-14 01:00:00+00:00
km:USTECH,1768356000000,625.85,625.87,625.78,625.85,120.074,2026-01-14 02:00:00+00:00
km:USTECH,1768359600000,625.85,626.69,625.85,626.59,208.715,2026-01-14 03:00:00+00:00
km:USTECH,1768363200000,626.59,626.59,625.68,625.7,267.538,2026-01-14 04:00:00+00:00
km:USTECH,1768366800000,625.69,625.7,625.24,625.24,165.374,2026-01-14 05:00:00+00:00
km:USTECH,1768370400000,625.23,625.23,624.77,624.99,321.148,2026-01-14 06:00:00+00:00
km:USTECH,1768374000000,624.99,625.47,624.99,625.17,233.261,2026-01-14 07:00:00+00:00
km:USTECH,1768377600000,625.16,625.36,624.88,625.14,257.943,2026-01-14 08:00:00+00:00
km:USTECH,1768381200000,625.16,625.53,624.67,625.0,258.336,2026-01-14 09:00:00+00:00
km:USTECH,1768384800000,624.98,624.98,621.69,622.25,289.196,2026-01-14 10:00:00+00:00
km:USTECH,1768388400000,622.26,622.9,621.82,622.45,128.312,2026-01-14 11:00:00+00:00
km:USTECH,1768392000000,622.44,623.37,621.46,623.24,285.599,2026-01-14 12:00:00+00:00
km:USTECH,1768395600000,623.24,623.6,622.17,622.66,306.106,2026-01-14 13:00:00+00:00
km:USTECH,1768399200000,622.67,623.33,618.77,618.77,874.821,2026-01-14 14:00:00+00:00
km:USTECH,1768402800000,618.39,621.1,615.81,616.26,525.689,2026-01-14 15:00:00+00:00
km:USTECH,1768406400000,616.24,618.58,615.2,615.44,1283.815,2026-01-14 16:00:00+00:00
km:USTECH,1768410000000,615.49,616.54,614.96,615.18,955.211,2026-01-14 17:00:00+00:00
km:USTECH,1768413600000,615.17,616.91,614.63,616.83,857.364,2026-01-14 18:00:00+00:00
km:USTECH,1768417200000,616.82,617.17,616.14,616.4,473.537,2026-01-14 19:00:00+00:00
km:USTECH,1768420800000,616.41,619.65,615.58,619.65,1088.277,2026-01-14 20:00:00+00:00
km:USTECH,1768424400000,619.76,620.06,617.83,618.96,476.302,2026-01-14 21:00:00+00:00
km:USTECH,1768428000000,618.97,618.97,618.28,618.31,130.772,2026-01-14 22:00:00+00:00
km:USTECH,1768431600000,618.31,618.94,617.94,618.84,319.4,2026-01-14 23:00:00+00:00
km:USTECH,1768435200000,618.82,618.87,618.48,618.8,232.404,2026-01-15 00:00:00+00:00
km:USTECH,1768438800000,619.02,619.69,618.07,619.39,369.054,2026-01-15 01:00:00+00:00
km:USTECH,1768442400000,619.55,619.55,619.04,619.09,244.326,2026-01-15 02:00:00+00:00
km:USTECH,1768446000000,619.11,619.35,618.59,618.59,429.707,2026-01-15 03:00:00+00:00
km:USTECH,1768449600000,618.45,618.7,618.22,618.22,147.852,2026-01-15 04:00:00+00:00
km:USTECH,1768453200000,618.25,619.48,618.25,619.44,142.554,2026-01-15 05:00:00+00:00
km:USTECH,1768456800000,619.43,621.66,619.43,621.54,236.02,2026-01-15 06:00:00+00:00
km:USTECH,1768460400000,621.41,621.41,620.89,621.09,227.96,2026-01-15 07:00:00+00:00
km:USTECH,1768464000000,620.99,622.3,620.86,622.13,301.764,2026-01-15 08:00:00+00:00
km:USTECH,1768467600000,622.12,624.39,622.12,623.91,287.637,2026-01-15 09:00:00+00:00
km:USTECH,1768471200000,623.92,624.3,623.7,624.18,325.362,2026-01-15 10:00:00+00:00
km:USTECH,1768474800000,624.19,625.0,624.19,624.77,286.459,2026-01-15 11:00:00+00:00
km:USTECH,1768478400000,624.76,624.87,623.95,624.86,349.771,2026-01-15 12:00:00+00:00
km:USTECH,1768482000000,624.86,626.36,624.49,625.91,410.994,2026-01-15 13:00:00+00:00
km:USTECH,1768485600000,625.87,627.15,624.7,625.24,1358.537,2026-01-15 14:00:00+00:00
km:USTECH,1768489200000,625.14,626.53,623.92,625.59,877.449,2026-01-15 15:00:00+00:00
km:USTECH,1768492800000,625.57,626.8,625.57,626.55,525.513,2026-01-15 16:00:00+00:00
km:USTECH,1768496400000,626.56,626.82,624.93,624.93,597.144,2026-01-15 17:00:00+00:00
km:USTECH,1768500000000,624.92,626.08,624.92,625.78,140.398,2026-01-15 18:00:00+00:00
km:USTECH,1768503600000,625.76,625.76,622.42,622.61,290.962,2026-01-15 19:00:00+00:00
km:USTECH,1768507200000,622.56,622.86,620.99,621.45,334.501,2026-01-15 20:00:00+00:00
km:USTECH,1768510800000,621.6,621.76,621.13,621.36,54.695,2026-01-15 21:00:00+00:00
km:USTECH,1768514400000,621.37,621.95,621.37,621.92,46.88,2026-01-15 22:00:00+00:00
km:USTECH,1768518000000,621.88,622.38,621.43,622.3,94.895,2026-01-15 23:00:00+00:00
km:USTECH,1768521600000,622.25,622.56,622.06,622.56,61.014,2026-01-16 00:00:00+00:00
km:USTECH,1768525200000,622.56,623.37,622.56,623.19,91.849,2026-01-16 01:00:00+00:00
km:USTECH,1768528800000,623.2,623.79,623.2,623.66,31.441,2026-01-16 02:00:00+00:00
km:USTECH,1768532400000,623.67,623.68,623.6,623.6,35.587,2026-01-16 03:00:00+00:00
km:USTECH,1768536000000,623.63,624.13,623.63,623.93,55.686,2026-01-16 04:00:00+00:00
km:USTECH,1768539600000,624.12,624.34,624.1,624.16,36.011,2026-01-16 05:00:00+00:00
km:USTECH,1768543200000,624.1,624.56,624.1,624.56,35.273,2026-01-16 06:00:00+00:00
km:USTECH,1768546800000,624.47,624.83,624.26,624.61,54.66,2026-01-16 07:00:00+00:00
km:USTECH,1768550400000,624.56,625.02,623.89,624.11,89.879,2026-01-16 08:00:00+00:00
km:USTECH,1768554000000,624.28,624.89,624.27,624.46,53.382,2026-01-16 09:00:00+00:00
km:USTECH,1768557600000,624.33,625.33,624.24,625.21,122.421,2026-01-16 10:00:00+00:00
km:USTECH,1768561200000,625.24,625.56,624.65,624.66,64.502,2026-01-16 11:00:00+00:00
km:USTECH,1768564800000,624.71,624.99,624.12,624.46,128.104,2026-01-16 12:00:00+00:00
km:USTECH,1768568400000,624.5,624.66,623.99,624.54,177.735,2026-01-16 13:00:00+00:00
km:USTECH,1768572000000,624.49,625.83,622.26,622.26,350.717,2026-01-16 14:00:00+00:00
km:USTECH,1768575600000,622.16,623.02,618.95,620.99,346.843,2026-01-16 15:00:00+00:00
km:USTECH,1768579200000,621.0,622.63,620.59,621.83,402.408,2026-01-16 16:00:00+00:00
km:USTECH,1768582800000,621.81,621.85,620.71,620.73,226.434,2026-01-16 17:00:00+00:00
km:USTECH,1768586400000,620.47,622.14,620.47,621.75,295.293,2026-01-16 18:00:00+00:00
km:USTECH,1768590000000,621.78,622.51,620.77,621.83,235.712,2026-01-16 19:00:00+00:00
km:USTECH,1768593600000,621.81,622.08,621.08,621.11,397.275,2026-01-16 20:00:00+00:00
km:USTECH,1768597200000,621.25,621.4,620.75,621.05,198.909,2026-01-16 21:00:00+00:00
km:USTECH,1768600800000,621.04,621.18,620.68,620.92,51.322,2026-01-16 22:00:00+00:00
km:USTECH,1768604400000,620.97,621.26,620.75,621.26,49.896,2026-01-16 23:00:00+00:00
km:USTECH,1768608000000,621.36,621.58,621.13,621.14,52.588,2026-01-17 00:00:00+00:00
km:USTECH,1768611600000,621.14,621.14,621.14,621.14,0.0,2026-01-17 01:00:00+00:00
km:USTECH,1768615200000,621.12,621.14,621.12,621.12,4.588,2026-01-17 02:00:00+00:00
km:USTECH,1768618800000,621.12,621.12,621.12,621.12,0.0,2026-01-17 03:00:00+00:00
km:USTECH,1768622400000,621.11,621.11,621.11,621.11,8.013,2026-01-17 04:00:00+00:00
km:USTECH,1768626000000,621.11,621.11,621.11,621.11,0.0,2026-01-17 05:00:00+00:00
km:USTECH,1768629600000,621.11,621.11,621.11,621.11,0.0,2026-01-17 06:00:00+00:00
km:USTECH,1768633200000,621.11,621.11,621.11,621.11,152.83,2026-01-17 07:00:00+00:00
km:USTECH,1768636800000,621.11,621.11,621.11,621.11,1.779,2026-01-17 08:00:00+00:00
km:USTECH,1768640400000,621.11,621.11,621.11,621.11,0.4,2026-01-17 09:00:00+00:00
km:USTECH,1768644000000,621.1,621.11,621.08,621.08,9.224,2026-01-17 10:00:00+00:00
km:USTECH,1768647600000,621.06,621.06,620.9,620.99,6.558,2026-01-17 11:00:00+00:00
km:USTECH,1768651200000,620.99,621.07,620.98,620.98,12.363,2026-01-17 12:00:00+00:00
