coin,time_ms,open,high,low,close,volume,time
xyz:BRENTOIL,1772640000000,81.1,81.502,80.716,81.05,3581.49,2026-03-04 16:00:00+00:00
xyz:BRENTOIL,1772643600000,81.05,81.792,81.05,81.629,5349.84,2026-03-04 17:00:00+00:00
xyz:BRENTOIL,1772647200000,81.677,81.804,81.345,81.44,1289.27,2026-03-04 18:00:00+00:00
xyz:BRENTOIL,1772650800000,81.47,81.47,80.981,81.214,4544.45,2026-03-04 19:00:00+00:00
xyz:BRENTOIL,1772654400000,81.222,81.946,81.222,81.612,1179.93,2026-03-04 20:00:00+00:00
xyz:BRENTOIL,1772658000000,81.782,82.57,81.782,82.57,205.46,2026-03-04 21:00:00+00:00
xyz:BRENTOIL,1772661600000,81.904,82.849,81.798,82.842,56.92,2026-03-04 22:00:00+00:00
xyz:BRENTOIL,1772665200000,82.609,82.609,82.32,82.325,319.67,2026-03-04 23:00:00+00:00
xyz:BRENTOIL,1772668800000,82.337,82.337,82.081,82.205,7488.66,2026-03-05 00:00:00+00:00
xyz:BRENTOIL,1772672400000,82.293,83.521,82.281,83.086,6572.17,2026-03-05 01:00:00+00:00
xyz:BRENTOIL,1772676000000,83.426,83.861,83.286,83.828,1881.09,2026-03-05 02:00:00+00:00
xyz:BRENTOIL,1772679600000,83.762,83.803,83.472,83.681,60.51,2026-03-05 03:00:00+00:00
xyz:BRENTOIL,1772683200000,83.703,84.153,83.703,83.947,4317.92,2026-03-05 04:00:00+00:00
xyz:BRENTOIL,1772686800000,84.027,84.755,84.005,84.411,3338.8,2026-03-05 05:00:00+00:00
xyz:BRENTOIL,1772690400000,84.377,84.44,82.403,83.218,2842.28,2026-03-05 06:00:00+00:00
xyz:BRENTOIL,1772694000000,83.267,84.138,83.257,83.784,1097.62,2026-03-05 07:00:00+00:00
xyz:BRENTOIL,1772697600000,83.788,84.312,83.561,83.592,3260.6,2026-03-05 08:00:00+00:00
xyz:BRENTOIL,1772701200000,83.532,83.566,81.644,82.982,26244.93,2026-03-05 09:00:00+00:00
xyz:BRENTOIL,1772704800000,82.893,83.093,82.501,83.008,10396.92,2026-03-05 10:00:00+00:00
xyz:BRENTOIL,1772708400000,82.956,83.645,82.811,83.57,8280.8,2026-03-05 11:00:00+00:00
xyz:BRENTOIL,1772712000000,83.532,83.688,83.106,83.501,4647.28,2026-03-05 12:00:00+00:00
xyz:BRENTOIL,1772715600000,83.477,83.683,82.84,83.543,3975.71,2026-03-05 13:00:00+00:00
xyz:BRENTOIL,1772719200000,83.491,84.312,83.309,83.842,9576.21,2026-03-05 14:00:00+00:00
xyz:BRENTOIL,1772722800000,83.771,84.651,83.609,84.075,11288.56,2026-03-05 15:00:00+00:00
xyz:BRENTOIL,1772726400000,84.079,84.959,83.761,84.36,22410.05,2026-03-05 16:00:00+00:00
xyz:BRENTOIL,1772730000000,84.313,84.81,83.879,84.775,25944.56,2026-03-05 17:00:00+00:00
xyz:BRENTOIL,1772733600000,84.641,85.77,84.234,85.241,9611.1,2026-03-05 18:00:00+00:00
xyz:BRENTOIL,1772737200000,85.167,86.0,85.14,85.976,9873.2,2026-03-05 19:00:00+00:00
xyz:BRENTOIL,1772740800000,85.998,86.323,84.273,84.689,16493.97,2026-03-05 20:00:00+00:00
xyz:BRENTOIL,1772744400000,84.702,84.795,83.594,84.062,12224.04,2026-03-05 21:00:00+00:00
xyz:BRENTOIL,1772748000000,84.113,86.037,83.303,83.975,11261.83,2026-03-05 22:00:00+00:00
xyz:BRENTOIL,1772751600000,83.918,84.7,83.901,84.485,25841.17,2026-03-05 23:00:00+00:00
xyz:BRENTOIL,1772755200000,84.42,84.6,83.5,83.686,22209.71,2026-03-06 00:00:00+00:00
xyz:BRENTOIL,1772758800000,83.683,84.502,83.201,84.483,12269.66,2026-03-06 01:00:00+00:00
xyz:BRENTOIL,1772762400000,84.493,84.503,83.888,84.307,6770.09,2026-03-06 02:00:00+00:00
xyz:BRENTOIL,1772766000000,84.287,84.635,84.213,84.495,5029.52,2026-03-06 03:00:00+00:00
xyz:BRENTOIL,1772769600000,84.457,84.46,84.207,84.441,5677.06,2026-03-06 04:00:00+00:00
xyz:BRENTOIL,1772773200000,84.559,85.004,84.271,84.932,1532.96,2026-03-06 05:00:00+00:00
xyz:BRENTOIL,1772776800000,84.893,85.429,84.855,85.25,7482.56,2026-03-06 06:00:00+00:00
xyz:BRENTOIL,1772780400000,85.19,85.595,84.754,85.538,9392.06,2026-03-06 07:00:00+00:00
xyz:BRENTOIL,1772784000000,85.505,85.971,85.173,85.31,7024.02,2026-03-06 08:00:00+00:00
xyz:BRENTOIL,1772787600000,85.243,87.577,85.026,87.453,15955.19,2026-03-06 09:00:00+00:00
xyz:BRENTOIL,1772791200000,87.398,87.453,86.639,86.995,17013.98,2026-03-06 10:00:00+00:00
