coin,time_ms,open,high,low,close,volume,time
xyz:GOLD,1767070800000,4368.9,4383.3,4359.6,4382.1,50.2154,2025-12-30 05:00:00+00:00
xyz:GOLD,1767074400000,4381.9,4381.9,4361.5,4368.5,21.0755,2025-12-30 06:00:00+00:00
xyz:GOLD,1767078000000,4364.4,4383.4,4360.1,4374.3,12.1165,2025-12-30 07:00:00+00:00
xyz:GOLD,1767081600000,4371.3,4378.2,4352.8,4369.3,13.9684,2025-12-30 08:00:00+00:00
xyz:GOLD,1767085200000,4368.0,4378.1,4365.7,4376.6,7.1175,2025-12-30 09:00:00+00:00
xyz:GOLD,1767088800000,4377.2,4392.6,4370.9,4386.8,14.1046,2025-12-30 10:00:00+00:00
xyz:GOLD,1767092400000,4390.2,4392.5,4382.9,4385.1,22.8561,2025-12-30 11:00:00+00:00
xyz:GOLD,1767096000000,4385.8,4407.0,4385.8,4401.6,14.4805,2025-12-30 12:00:00+00:00
xyz:GOLD,1767099600000,4402.5,4404.1,4376.6,4387.8,44.9177,2025-12-30 13:00:00+00:00
xyz:GOLD,1767103200000,4389.1,4393.8,4356.9,4366.0,44.8588,2025-12-30 14:00:00+00:00
xyz:GOLD,1767106800000,4370.9,4379.3,4361.1,4370.5,177.5861,2025-12-30 15:00:00+00:00
xyz:GOLD,1767110400000,4370.4,4376.5,4356.9,4376.5,79.1977,2025-12-30 16:00:00+00:00
xyz:GOLD,1767114000000,4377.8,4380.7,4366.9,4369.8,61.522,2025-12-30 17:00:00+00:00
xyz:GOLD,1767117600000,4370.0,4375.7,4365.2,4367.5,12.3938,2025-12-30 18:00:00+00:00
xyz:GOLD,1767121200000,4365.7,4368.1,4341.3,4348.0,23.3122,2025-12-30 19:00:00+00:00
xyz:GOLD,1767124800000,4349.6,4355.7,4340.2,4341.1,32.3937,2025-12-30 20:00:00+00:00
xyz:GOLD,1767128400000,4342.7,4350.5,4338.8,4339.6,8.7037,2025-12-30 21:00:00+00:00
xyz:GOLD,1767132000000,4338.8,4350.2,4331.8,4347.2,10.2374,2025-12-30 22:00:00+00:00
xyz:GOLD,1767135600000,4344.8,4345.6,4331.9,4337.3,75.8474,2025-12-30 23:00:00+00:00
xyz:GOLD,1767139200000,4337.6,4343.2,4330.6,4341.2,35.6309,2025-12-31 00:00:00+00:00
