coin,time_ms,open,high,low,close,volume,time
xyz:GOOGL,1766836800000,313.09,313.1,312.64,312.64,41.615,2025-12-27 12:00:00+00:00
xyz:GOOGL,1766840400000,312.67,312.93,311.6,312.56,258.367,2025-12-27 13:00:00+00:00
xyz:GOOGL,1766844000000,312.72,312.75,312.66,312.67,3.152,2025-12-27 14:00:00+00:00
xyz:GOOGL,1766847600000,312.61,312.84,307.68,311.0,1204.891,2025-12-27 15:00:00+00:00
xyz:GOOGL,1766851200000,311.03,312.06,310.95,311.62,512.205,2025-12-27 16:00:00+00:00
xyz:GOOGL,1766854800000,311.58,311.99,311.37,311.99,37.682,2025-12-27 17:00:00+00:00
xyz:GOOGL,1766858400000,311.95,312.06,311.51,311.85,62.069,2025-12-27 18:00:00+00:00
xyz:GOOGL,1766862000000,311.8,311.96,311.71,311.72,35.657,2025-12-27 19:00:00+00:00
xyz:GOOGL,1766865600000,311.79,311.97,311.71,311.9,35.477,2025-12-27 20:00:00+00:00
xyz:GOOGL,1766869200000,311.9,311.97,311.71,311.96,32.908,2025-12-27 21:00:00+00:00
xyz:GOOGL,1766872800000,311.97,312.01,311.71,311.82,47.789,2025-12-27 22:00:00+00:00
xyz:GOOGL,1766876400000,311.97,312.25,311.59,311.98,83.774,2025-12-27 23:00:00+00:00
xyz:GOOGL,1766880000000,311.66,311.99,311.66,311.74,6.86,2025-12-28 00:00:00+00:00
xyz:GOOGL,1766883600000,311.99,312.11,311.58,311.8,149.472,2025-12-28 01:00:00+00:00
xyz:GOOGL,1766887200000,311.79,311.97,311.44,311.91,173.791,2025-12-28 02:00:00+00:00
xyz:GOOGL,1766890800000,311.98,312.27,311.55,312.27,51.946,2025-12-28 03:00:00+00:00
xyz:GOOGL,1766894400000,311.63,311.68,311.63,311.68,0.285,2025-12-28 04:00:00+00:00
xyz:GOOGL,1766898000000,311.69,311.8,311.54,311.68,183.369,2025-12-28 05:00:00+00:00
xyz:GOOGL,1766901600000,311.82,311.92,311.31,311.76,296.442,2025-12-28 06:00:00+00:00
xyz:GOOGL,1766905200000,311.54,311.86,311.35,311.5,213.416,2025-12-28 07:00:00+00:00
xyz:GOOGL,1766908800000,311.5,311.78,311.24,311.44,210.483,2025-12-28 08:00:00+00:00
xyz:GOOGL,1766912400000,311.52,311.52,311.06,311.11,39.529,2025-12-28 09:00:00+00:00
xyz:GOOGL,1766916000000,311.47,311.59,311.01,311.59,90.09,2025-12-28 10:00:00+00:00
xyz:GOOGL,1766919600000,311.61,311.61,311.11,311.12,42.403,2025-12-28 11:00:00+00:00
