coin,time_ms,open,high,low,close,volume,time
xyz:URNM,1769695200000,89.0,89.0,74.0,81.99,1286.26,2026-01-29 14:00:00+00:00
xyz:URNM,1769698800000,81.799,81.799,77.12,77.824,2357.29,2026-01-29 15:00:00+00:00
xyz:URNM,1769702400000,77.337,79.393,76.971,79.349,708.48,2026-01-29 16:00:00+00:00
xyz:URNM,1769706000000,79.339,82.28,79.339,81.201,2431.2,2026-01-29 17:00:00+00:00
xyz:URNM,1769709600000,81.107,82.078,80.71,81.216,2523.61,2026-01-29 18:00:00+00:00
xyz:URNM,1769713200000,81.398,82.512,81.138,81.799,589.39,2026-01-29 19:00:00+00:00
xyz:URNM,1769716800000,81.799,81.799,80.523,81.246,1861.05,2026-01-29 20:00:00+00:00
xyz:URNM,1769720400000,81.246,82.512,81.245,82.512,60.86,2026-01-29 21:00:00+00:00
xyz:URNM,1769724000000,81.814,83.669,81.145,82.237,2047.25,2026-01-29 22:00:00+00:00
xyz:URNM,1769727600000,82.0,82.0,81.777,81.777,152.7,2026-01-29 23:00:00+00:00
xyz:URNM,1769731200000,81.777,83.484,81.506,83.484,286.24,2026-01-30 00:00:00+00:00
xyz:URNM,1769734800000,82.6,85.0,80.1,80.1,2315.31,2026-01-30 01:00:00+00:00
xyz:URNM,1769738400000,80.1,83.376,75.001,75.001,2299.49,2026-01-30 02:00:00+00:00
xyz:URNM,1769742000000,79.6,80.2,79.35,80.2,126.78,2026-01-30 03:00:00+00:00
xyz:URNM,1769745600000,79.6,79.75,79.6,79.75,441.28,2026-01-30 04:00:00+00:00
xyz:URNM,1769749200000,79.75,81.2,79.75,81.2,12.12,2026-01-30 05:00:00+00:00
xyz:URNM,1769752800000,80.475,82.828,80.475,80.475,1613.76,2026-01-30 06:00:00+00:00
xyz:URNM,1769756400000,79.75,81.949,79.75,79.75,1786.08,2026-01-30 07:00:00+00:00
xyz:URNM,1769760000000,79.0,79.0,72.2,77.8,6036.56,2026-01-30 08:00:00+00:00
xyz:URNM,1769763600000,77.148,78.88,76.354,77.191,927.16,2026-01-30 09:00:00+00:00
xyz:URNM,1769767200000,76.991,78.201,76.957,78.201,467.05,2026-01-30 10:00:00+00:00
xyz:URNM,1769770800000,77.999,79.217,77.999,78.304,56.57,2026-01-30 11:00:00+00:00
xyz:URNM,1769774400000,79.335,79.887,78.194,78.194,410.64,2026-01-30 12:00:00+00:00
xyz:URNM,1769778000000,79.232,79.418,78.24,78.24,95.59,2026-01-30 13:00:00+00:00
xyz:URNM,1769781600000,78.579,80.094,78.001,79.9,451.36,2026-01-30 14:00:00+00:00
xyz:URNM,1769785200000,78.9,79.262,78.227,78.25,828.24,2026-01-30 15:00:00+00:00
xyz:URNM,1769788800000,78.25,78.25,76.415,76.821,799.64,2026-01-30 16:00:00+00:00
xyz:URNM,1769792400000,76.306,76.306,74.599,74.644,209.83,2026-01-30 17:00:00+00:00
xyz:URNM,1769796000000,74.571,74.571,73.0,74.345,549.13,2026-01-30 18:00:00+00:00
xyz:URNM,1769799600000,74.59,75.819,74.59,75.819,311.26,2026-01-30 19:00:00+00:00
xyz:URNM,1769803200000,74.949,74.949,73.437,74.322,1982.51,2026-01-30 20:00:00+00:00
xyz:URNM,1769806800000,74.368,74.721,74.368,74.721,61.16,2026-01-30 21:00:00+00:00
xyz:URNM,1769810400000,74.721,74.973,74.332,74.332,154.71,2026-01-30 22:00:00+00:00
xyz:URNM,1769814000000,74.72,75.222,74.332,75.222,149.46,2026-01-30 23:00:00+00:00
xyz:URNM,1769817600000,74.332,74.332,74.332,74.332,30.74,2026-01-31 00:00:00+00:00
xyz:URNM,1769821200000,75.894,75.894,75.894,75.894,26.08,2026-01-31 01:00:00+00:00
xyz:URNM,1769824800000,75.894,75.894,75.894,75.894,2.96,2026-01-31 02:00:00+00:00
xyz:URNM,1769828400000,75.894,75.894,75.894,75.894,0.0,2026-01-31 03:00:00+00:00
xyz:URNM,1769832000000,75.971,75.971,75.971,75.971,121.42,2026-01-31 04:00:00+00:00
xyz:URNM,1769835600000,75.971,75.971,75.971,75.971,0.0,2026-01-31 05:00:00+00:00
xyz:URNM,1769839200000,76.25,76.25,76.25,76.25,2.62,2026-01-31 06:00:00+00:00
xyz:URNM,1769842800000,75.731,75.873,75.73,75.73,9.82,2026-01-31 07:00:00+00:00
xyz:URNM,1769846400000,76.25,76.37,75.73,75.934,114.22,2026-01-31 08:00:00+00:00
xyz:URNM,1769850000000,75.73,75.878,75.344,75.344,7.2,2026-01-31 09:00:00+00:00
xyz:URNM,1769853600000,76.054,76.177,75.34,75.341,29.4,2026-01-31 10:00:00+00:00
xyz:URNM,1769857200000,76.128,78.1,76.128,76.527,101.39,2026-01-31 11:00:00+00:00
xyz:URNM,1769860800000,76.353,76.353,76.352,76.352,2.47,2026-01-31 12:00:00+00:00
xyz:URNM,1769864400000,76.352,76.352,76.352,76.352,0.0,2026-01-31 13:00:00+00:00
xyz:URNM,1769868000000,75.485,76.54,75.452,76.003,12.83,2026-01-31 14:00:00+00:00
xyz:URNM,1769871600000,76.705,76.705,75.81,75.81,0.99,2026-01-31 15:00:00+00:00
xyz:URNM,1769875200000,75.9,75.9,75.451,75.451,4.62,2026-01-31 16:00:00+00:00
xyz:URNM,1769878800000,76.001,76.001,75.567,75.567,141.07,2026-01-31 17:00:00+00:00
xyz:URNM,1769882400000,76.195,76.197,75.81,76.197,45.87,2026-01-31 18:00:00+00:00
xyz:URNM,1769886000000,76.197,76.197,76.197,76.197,40.78,2026-01-31 19:00:00+00:00
xyz:URNM,1769889600000,76.0,76.197,75.491,75.639,45.48,2026-01-31 20:00:00+00:00
