address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Open Short,87602.0,0.16315,14292.2663,0.0,6.431519,1767242923640,False,True,2026-01-01 04:48:43.640000+00:00,True,False,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Open Short,87602.0,0.125,10950.25,0.0,4.927612,1767242923640,False,True,2026-01-01 04:48:43.640000+00:00,True,False,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Open Short,87602.0,0.21185,18558.4837,0.0,8.351317,1767242923640,False,True,2026-01-01 04:48:43.640000+00:00,True,False,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Open Short,88080.0,0.5,44040.0,0.0,6.605999,1767288047048,False,False,2026-01-01 17:20:47.048000+00:00,True,False,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Open Short,90800.0,0.1,9080.0,0.0,1.361999,1767374143856,False,False,2026-01-02 17:15:43.856000+00:00,True,False,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91433.0,0.04207,3846.58631,-139.79861,1.730963,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91433.0,0.00013,11.886289999999999,-0.43199,0.005348,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91434.0,0.00013,11.88642,-0.43212,0.005348,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91434.0,0.00012,10.97208,-0.39888,0.004937,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91435.0,0.00013,11.88655,-0.43225,0.005348,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91436.0,0.00013,11.886679999999998,-0.43238,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91436.0,0.00012,10.97232,-0.39912,0.004937,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91437.0,0.00013,11.886809999999999,-0.43251,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91437.0,0.00015,13.715549999999999,-0.49905,0.006171,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91438.0,0.00013,11.88694,-0.43264,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91439.0,0.00013,11.88707,-0.43277,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91439.0,0.003,274.317,-9.987,0.123442,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91440.0,0.00013,11.887199999999998,-0.4329,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91441.0,0.00013,11.887329999999999,-0.43303,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91442.0,0.00013,11.887459999999999,-0.43316,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91442.0,0.00109,99.67178,-3.63188,0.044852,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91443.0,0.00013,11.88759,-0.43329,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91443.0,0.32437,29661.36591,-1081.12521,13.347614,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91443.0,0.00109,99.67287,-3.633079,0.044852,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91444.0,0.00013,11.88772,-0.433433,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91445.0,0.00012,10.9734,-0.400212,0.004938,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91445.0,0.00013,11.887849999999998,-0.433563,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91446.0,0.00013,11.887979999999999,-0.433693,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91446.0,0.003,274.338,-10.0083,0.123452,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91447.0,0.00013,11.88811,-0.433823,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91448.0,0.00013,11.88824,-0.433953,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91448.0,0.00564,515.76672,-18.826884,0.232095,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91448.0,0.06841,6255.9576799999995,-228.359421,2.81518,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91448.0,0.04459,4077.66632,-148.845879,1.834949,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91449.0,0.00013,11.888369999999998,-0.434083,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91449.0,0.16408,15004.95192,-547.879528,6.752228,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91449.0,0.06979,6382.225710000001,-233.035789,2.872001,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Close Short,91449.0,0.16328,14931.792720000001,-545.208248,6.719306,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,True,False,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Short > Long,91450.0,1.09397,100043.5565,-690.966487,45.0196,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,False,False,True,True
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Open Long,91450.0,0.00013,11.888499999999999,0.0,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,True,False,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Open Long,91450.0,0.06734,6158.2429999999995,0.0,2.771209,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,True,False,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Open Long,91451.0,0.00013,11.88863,0.0,0.005349,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,True,False,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,B,Open Long,91451.0,0.1453,13287.830300000001,0.0,5.979523,1767485283876,False,True,2026-01-04 00:08:03.876000+00:00,True,False,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92892.0,0.00013,12.075959999999998,0.187447,0.005434,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92891.0,0.00011,10.21801,0.158499,0.004598,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92891.0,0.00013,12.075829999999998,0.187317,0.005434,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92890.0,0.00013,12.0757,0.187187,0.005434,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92889.0,0.00013,12.075569999999999,0.187057,0.005434,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92888.0,0.01569,1457.4127199999998,22.560651,0.655835,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92888.0,0.00013,12.075439999999999,0.186927,0.005433,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92887.0,0.05382,4999.17834,77.333958,2.24963,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92887.0,0.00013,12.075309999999998,0.186797,0.005433,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92886.0,0.24,22292.64,344.616,10.031688,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92886.0,0.00013,12.07518,0.186667,0.005433,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92885.0,0.05383,4999.99955,77.240667,2.249999,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92885.0,0.003,278.65500000000003,4.3047,0.125394,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92885.0,0.00013,12.07505,0.186537,0.005433,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92884.0,0.4586,42596.6024,657.58654,19.168471,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92884.0,0.00013,12.074919999999999,0.186407,0.005433,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92883.0,0.00013,12.074789999999998,0.186277,0.005433,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92883.0,0.01463,1358.87829,20.963327,0.611495,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92883.0,0.01598,1484.27034,22.897742,0.667921,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92882.0,0.00013,12.07466,0.186147,0.005433,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92881.0,0.00011,10.21691,0.157399,0.004597,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92881.0,0.00013,12.07453,0.186017,0.005433,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92880.0,0.00013,12.074399999999999,0.185887,0.005433,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92880.0,0.09122,8472.5136,130.435478,3.812631,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92879.0,0.08723,8101.83517,124.642947,3.645825,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92879.0,0.003,278.637,4.2867,0.125386,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,BTC,A,Close Long,92879.0,0.00013,12.074269999999999,0.185757,0.005433,1767579096288,False,True,2026-01-05 02:11:36.288000+00:00,False,True,True,False
