address,time_ms,coin,funding_usd,side,time
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767139200000,DOGE,0.072753,funding,2025-12-31 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767139200000,HBAR,-0.124452,funding,2025-12-31 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767139200000,POL,0.225775,funding,2025-12-31 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767139200000,PURR,-6.836884,funding,2025-12-31 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767139200000,XRP,-0.558635,funding,2025-12-31 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767225600000,BTC,13.7646,funding,2026-01-01 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767225600000,DOGE,-0.331243,funding,2026-01-01 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767225600000,HBAR,-0.13008,funding,2026-01-01 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767225600000,POL,-0.151232,funding,2026-01-01 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767225600000,PURR,-41.698104,funding,2026-01-01 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767225600000,XRP,-0.541763,funding,2026-01-01 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767312000000,BTC,15.445228,funding,2026-01-02 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767312000000,DOGE,-0.704715,funding,2026-01-02 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767312000000,HBAR,-0.353513,funding,2026-01-02 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767312000000,POL,-0.328367,funding,2026-01-02 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767312000000,PURR,-18.71531,funding,2026-01-02 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767312000000,XRP,-0.575431,funding,2026-01-02 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767398400000,BTC,21.16062,funding,2026-01-03 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767398400000,DOGE,-0.853463,funding,2026-01-03 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767398400000,HBAR,-0.355046,funding,2026-01-03 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767398400000,POL,-0.342656,funding,2026-01-03 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767398400000,PURR,-16.252721,funding,2026-01-03 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767398400000,XRP,-0.373381,funding,2026-01-03 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767484800000,BTC,-17.454867,funding,2026-01-04 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767484800000,DOGE,-0.890047,funding,2026-01-04 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767484800000,HBAR,-0.371975,funding,2026-01-04 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767484800000,POL,-0.358789,funding,2026-01-04 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767484800000,PURR,-9.788331,funding,2026-01-04 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767484800000,XRP,-0.420354,funding,2026-01-04 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767571200000,BTC,-3.806851,funding,2026-01-05 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767571200000,DOGE,-0.112917,funding,2026-01-05 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767571200000,HBAR,-0.380521,funding,2026-01-05 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767571200000,POL,-0.367049,funding,2026-01-05 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767571200000,PURR,-0.500044,funding,2026-01-05 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767571200000,XRP,-0.391201,funding,2026-01-05 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767657600000,BTC,-0.924807,funding,2026-01-06 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767657600000,HBAR,-0.38943,funding,2026-01-06 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767657600000,POL,-0.380658,funding,2026-01-06 00:00:00+00:00
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1767657600000,XRP,-0.591178,funding,2026-01-06 00:00:00+00:00
