address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,@107,A,Sell,25.726,38.87,999.9696199999998,-492.63837954,0.48998511,1767202022553,False,True,2025-12-31 17:27:02.553000+00:00,False,False,False,False
0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,@107,A,Sell,25.724,45.4,1167.8696,-575.49039947,0.5722561,1767202022553,False,True,2025-12-31 17:27:02.553000+00:00,False,False,False,False
0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,@107,A,Sell,25.722,15.73,404.60706000000005,-199.42493981,0.19825745,1767202022553,False,True,2025-12-31 17:27:02.553000+00:00,False,False,False,False
0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,@107,A,Sell,25.613,2.79,71.46027,-35.67572996,0.03501553,1767203451448,False,True,2025-12-31 17:50:51.448000+00:00,False,False,False,False
0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,@107,A,Sell,25.611,191.13,4895.03043,-2444.36156778,2.39856491,1767203451448,False,True,2025-12-31 17:50:51.448000+00:00,False,False,False,False
0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,@107,A,Sell,25.608,1.7,43.5336,-21.74639998,0.02133146,1767203451448,False,True,2025-12-31 17:50:51.448000+00:00,False,False,False,False
0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,@107,A,Sell,25.607,20.0,512.14,-255.85999976,0.2509486,1767203451448,False,True,2025-12-31 17:50:51.448000+00:00,False,False,False,False
0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,@107,A,Sell,25.607,408.81,10468.39767,-5229.90632526,5.12951485,1767203451448,False,True,2025-12-31 17:50:51.448000+00:00,False,False,False,False
0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,@107,A,Sell,25.607,241.27,6178.20089,-3086.5671072,3.02731843,1767203451448,False,True,2025-12-31 17:50:51.448000+00:00,False,False,False,False
0x0e8bf301805df4e6ba7151297e5f7dfedc1eaab9,@107,A,Sell,25.606,4.0,102.424,-51.17599995,0.05018776,1767203451448,False,True,2025-12-31 17:50:51.448000+00:00,False,False,False,False
