address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,B,Open Long,89433.0,0.08745,7820.91585,0.0,3.128366,1765983577680,False,True,2025-12-17 14:59:37.680000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,B,Open Long,89433.0,0.1018,9104.2794,0.0,3.641711,1765983577680,False,True,2025-12-17 14:59:37.680000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,B,Open Long,89433.0,0.06075,5433.05475,0.0,2.173221,1765983577680,False,True,2025-12-17 14:59:37.680000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,ETH,A,Close Long,2987.0,0.4462,1332.7993999999999,-17.776608,0.533119,1765983650990,False,True,2025-12-17 15:00:50.990000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,ETH,A,Close Long,2987.0,2.6789,8001.8743,-106.727376,3.200749,1765983650990,False,True,2025-12-17 15:00:50.990000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,ETH,A,Close Long,2987.0,0.8749,2613.3263,-34.856016,1.04533,1765983650990,False,True,2025-12-17 15:00:50.990000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,ETH,B,Open Long,2979.1,4.0,11916.4,0.0,4.76656,1765983709719,False,True,2025-12-17 15:01:49.719000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,ETH,B,Open Long,2975.1,3.5894,10678.82394,0.0,4.271529,1765983727678,False,True,2025-12-17 15:02:07.678000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,ETH,B,Open Long,2975.1,0.4106,1221.57606,0.0,0.48863,1765983727678,False,True,2025-12-17 15:02:07.678000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,B,Open Long,90182.0,0.25,22545.5,0.0,9.0182,1765984092835,False,True,2025-12-17 15:08:12.835000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,B,Open Long,27.535,25.17,693.05595,0.0,0.277222,1765984838230,False,True,2025-12-17 15:20:38.230000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,B,Open Long,27.537,28.09,773.51433,0.0,0.309405,1765984838230,False,True,2025-12-17 15:20:38.230000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,B,Open Long,27.538,137.94,3798.59172,0.0,1.519436,1765984838230,False,True,2025-12-17 15:20:38.230000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,B,Open Long,27.539,27.1,746.3069,0.0,0.298522,1765984838230,False,True,2025-12-17 15:20:38.230000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,B,Open Long,27.54,36.51,1005.4853999999999,0.0,0.402194,1765984838230,False,True,2025-12-17 15:20:38.230000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,B,Open Long,27.54,26.18,720.9972,0.0,0.288398,1765984838230,False,True,2025-12-17 15:20:38.230000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,B,Open Long,27.541,100.0,2754.1,0.0,1.10164,1765984838230,False,True,2025-12-17 15:20:38.230000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,B,Open Long,27.541,32.12,884.6169199999999,0.0,0.353846,1765984838230,False,True,2025-12-17 15:20:38.230000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,B,Open Long,27.542,86.89,2393.12438,0.0,0.957249,1765984838230,False,True,2025-12-17 15:20:38.230000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89384.0,0.00013,11.619919999999999,0.121654,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89383.0,0.00013,11.619789999999998,0.121524,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89382.0,0.00013,11.61966,0.121394,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89381.0,0.00013,11.61953,0.121264,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89380.0,0.00013,11.619399999999999,0.121134,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89379.0,0.00013,11.619269999999998,0.121004,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89378.0,0.00013,11.61914,0.120874,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89378.0,0.00012,10.72536,0.111576,0.00429,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89377.0,0.00013,11.61901,0.120744,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89377.0,0.1,8937.7,92.88,3.57508,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89376.0,0.00013,11.618879999999999,0.120614,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89375.0,0.00013,11.618749999999999,0.120484,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89374.0,0.00013,11.618619999999998,0.120354,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89373.0,0.00013,11.61849,0.120224,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89372.0,0.00013,11.61836,0.120094,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89371.0,0.00013,11.618229999999999,0.119964,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89370.0,0.00013,11.618099999999998,0.119834,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89369.0,0.00013,11.61797,0.119704,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89369.0,0.5804,51869.7676,534.43232,20.747907,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89368.0,0.00023,20.55464,0.211554,0.008221,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89368.0,0.00013,11.61784,0.119574,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89368.0,0.006,536.208,5.5188,0.214483,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89367.0,0.00013,11.617709999999999,0.119444,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89366.0,0.00013,11.617579999999998,0.119314,0.004647,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89365.0,0.00013,11.61745,0.119184,0.004646,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,89365.0,0.06065,5419.98725,55.60392,2.167994,1765985969327,False,True,2025-12-17 15:39:29.327000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,B,Open Long,87476.0,0.5,43738.0,0.0,17.4952,1765987380875,False,True,2025-12-17 16:03:00.875000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,ETH,B,Open Long,2920.8,4.0,11683.2,0.0,4.67328,1765987402352,False,True,2025-12-17 16:03:22.352000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,ZEC,B,Open Long,395.95,3.0,1187.85,0.0,0.47514,1765987724852,False,True,2025-12-17 16:08:44.852000+00:00,True,False,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,86960.0,0.05446,4735.8416,-59.867878,1.894336,1765988168856,False,True,2025-12-17 16:16:08.856000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,BTC,A,Close Long,86960.0,0.69554,60484.15840000001,-764.607122,24.193663,1765988168856,False,True,2025-12-17 16:16:08.856000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,A,Close Long,26.021,44.73,1163.91933,-124.224156,0.465567,1765989124004,False,True,2025-12-17 16:32:04.004000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,A,Close Long,26.02,153.72,3999.7943999999998,-427.064904,1.599917,1765989124004,False,True,2025-12-17 16:32:04.004000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,A,Close Long,26.016,0.33,8.58528,-0.918126,0.003434,1765989124004,False,True,2025-12-17 16:32:04.004000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,A,Close Long,26.016,25.32,658.72512,-70.445304,0.26349,1765989124004,False,True,2025-12-17 16:32:04.004000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,A,Close Long,26.011,0.54,14.04594,-1.505088,0.005618,1765989124004,False,True,2025-12-17 16:32:04.004000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,A,Close Long,26.009,24.96,649.1846400000001,-69.618432,0.259673,1765989124004,False,True,2025-12-17 16:32:04.004000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,A,Close Long,26.009,0.49,12.74441,-1.366708,0.005097,1765989124004,False,True,2025-12-17 16:32:04.004000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,A,Close Long,26.008,3.27,85.04616,-9.123954,0.034018,1765989124004,False,True,2025-12-17 16:32:04.004000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,A,Close Long,26.007,26.01,676.4420700000001,-72.599112,0.270576,1765989124004,False,True,2025-12-17 16:32:04.004000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,A,Close Long,26.004,43.2,1123.3728,-120.70944,0.449349,1765989124004,False,True,2025-12-17 16:32:04.004000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,A,Close Long,26.004,110.0,2860.44,-307.362,1.144176,1765989124004,False,True,2025-12-17 16:32:04.004000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,HYPE,A,Close Long,26.003,67.43,1753.3822900000002,-188.480336,0.701352,1765989124004,False,True,2025-12-17 16:32:04.004000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,ETH,A,Close Long,2856.9,6.0,17141.4,-814.14,6.85656,1765993184984,False,True,2025-12-17 17:39:44.984000+00:00,False,True,True,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,@153,A,Sell,1.0128,53.06,53.739168,-0.100814,0.0322435,1765997391244,False,True,2025-12-17 18:49:51.244000+00:00,False,False,False,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,@153,A,Sell,1.0128,493.69,500.00923199999994,-0.938011,0.30000553,1765997391244,False,True,2025-12-17 18:49:51.244000+00:00,False,False,False,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,@153,A,Sell,1.0127,74.91,75.861357,-0.14981999,0.04551681,1765997391244,False,True,2025-12-17 18:49:51.244000+00:00,False,False,False,False
0x0faef09b4deaedb0b99d68131f76acbef7cb4c8c,@153,A,Sell,1.0126,100.0,101.25999999999999,-0.21,0.06075599,1765997391244,False,True,2025-12-17 18:49:51.244000+00:00,False,False,False,False
