address,time_ms,coin,funding_usd,side,time
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770300000012,HYPE,-0.533682,funding,2026-02-05 14:00:00.012000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770303600079,HYPE,-0.523354,funding,2026-02-05 15:00:00.079000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770307200065,xyz:SILVER,0.479819,funding,2026-02-05 16:00:00.065000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770310800004,HYPE,-0.838404,funding,2026-02-05 17:00:00.004000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770314400104,HYPE,-0.278442,funding,2026-02-05 18:00:00.104000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770318000030,HYPE,-0.728785,funding,2026-02-05 19:00:00.030000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770321600057,HYPE,-0.468544,funding,2026-02-05 20:00:00.057000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770325200013,HYPE,-0.535967,funding,2026-02-05 21:00:00.013000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770328800040,HYPE,-0.570236,funding,2026-02-05 22:00:00.040000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770332400019,HYPE,-0.282844,funding,2026-02-05 23:00:00.019000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770336000083,HYPE,-0.650246,funding,2026-02-06 00:00:00.083000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770343200026,HYPE,-0.274108,funding,2026-02-06 02:00:00.026000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770346800050,HYPE,-0.26483,funding,2026-02-06 03:00:00.050000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770350400075,HYPE,-0.409465,funding,2026-02-06 04:00:00.075000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770354000102,HYPE,-0.262519,funding,2026-02-06 05:00:00.102000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770357600022,HYPE,-0.265018,funding,2026-02-06 06:00:00.022000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770638400030,ETH,-0.182704,funding,2026-02-09 12:00:00.030000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770642000020,ETH,-0.329626,funding,2026-02-09 13:00:00.020000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770645600015,ETH,0.018394,funding,2026-02-09 14:00:00.015000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770649200011,ETH,-0.343264,funding,2026-02-09 15:00:00.011000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770652800001,ETH,0.383291,funding,2026-02-09 16:00:00.001000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770656400038,ETH,0.347947,funding,2026-02-09 17:00:00.038000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770660000060,ETH,0.491311,funding,2026-02-09 18:00:00.060000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770663600023,ETH,0.492096,funding,2026-02-09 19:00:00.023000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770667200059,ETH,0.491935,funding,2026-02-09 20:00:00.059000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770670800068,ETH,0.491011,funding,2026-02-09 21:00:00.068000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770674400065,ETH,0.490156,funding,2026-02-09 22:00:00.065000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770678000046,ETH,0.488539,funding,2026-02-09 23:00:00.046000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770681600013,ETH,0.486183,funding,2026-02-10 00:00:00.013000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770685200012,ETH,0.402633,funding,2026-02-10 01:00:00.012000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770688800055,ETH,0.489001,funding,2026-02-10 02:00:00.055000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770692400057,ETH,0.486946,funding,2026-02-10 03:00:00.057000+00:00
0x15ee5fbb9738e3fcea7a7326a29c1ff45c47aa23,1770696000071,ETH,0.476945,funding,2026-02-10 04:00:00.071000+00:00
