address,time_ms,coin,funding_usd,side,time
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772150400000,xyz:CL,-732.310443,funding,2026-02-27 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772150400000,xyz:COPPER,-7.786928,funding,2026-02-27 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772236800000,xyz:CL,-1692.506388,funding,2026-02-28 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772323200000,xyz:CL,-362.42287,funding,2026-03-01 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772409600000,SOL,-6.938905,funding,2026-03-02 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772409600000,xyz:CL,-49.730525,funding,2026-03-02 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772496000000,xyz:CL,29.422958,funding,2026-03-03 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772582400000,SOL,7.173464,funding,2026-03-04 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772582400000,xyz:CL,-35.574771,funding,2026-03-04 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772668800000,SOL,-7.427789,funding,2026-03-05 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772668800000,xyz:CL,-410.206167,funding,2026-03-05 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772755200000,xyz:CL,2372.243165,funding,2026-03-06 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772841600000,xyz:CL,-2224.111415,funding,2026-03-07 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1772928000000,xyz:CL,-1388.689807,funding,2026-03-08 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773014400000,xyz:CL,70.5815,funding,2026-03-09 00:00:00+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773100800042,xyz:CL,-116.900194,funding,2026-03-10 00:00:00.042000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773111600052,xyz:CL,-42.415019,funding,2026-03-10 03:00:00.052000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773115200041,xyz:CL,24.160015,funding,2026-03-10 04:00:00.041000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773118800054,xyz:CL,22.680094,funding,2026-03-10 05:00:00.054000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773122400137,xyz:CL,14.763896,funding,2026-03-10 06:00:00.137000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773126000065,xyz:CL,-2.889449,funding,2026-03-10 07:00:00.065000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773133200017,xyz:GOLD,2.221307,funding,2026-03-10 09:00:00.017000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773136800060,xyz:GOLD,6.107422,funding,2026-03-10 10:00:00.060000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773140400011,xyz:CL,15.414987,funding,2026-03-10 11:00:00.011000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773144000038,xyz:CL,78.833965,funding,2026-03-10 12:00:00.038000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773147600061,xyz:CL,111.572253,funding,2026-03-10 13:00:00.061000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773151200027,xyz:CL,61.664192,funding,2026-03-10 14:00:00.027000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773165600018,xyz:CL,-17.46869,funding,2026-03-10 18:00:00.018000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773169200049,xyz:CL,-2.542182,funding,2026-03-10 19:00:00.049000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773172800050,xyz:CL,22.910542,funding,2026-03-10 20:00:00.050000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773176400058,xyz:CL,32.722165,funding,2026-03-10 21:00:00.058000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773180000068,xyz:CL,74.701211,funding,2026-03-10 22:00:00.068000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773183600061,xyz:CL,-35.797815,funding,2026-03-10 23:00:00.061000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773219600082,xyz:CL,-3.428257,funding,2026-03-11 09:00:00.082000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773223200084,xyz:CL,46.432461,funding,2026-03-11 10:00:00.084000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773230400013,xyz:CL,19.692161,funding,2026-03-11 12:00:00.013000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773234000063,xyz:CL,26.370915,funding,2026-03-11 13:00:00.063000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773241200051,xyz:CL,45.603674,funding,2026-03-11 15:00:00.051000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773244800065,xyz:CL,50.901595,funding,2026-03-11 16:00:00.065000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773248400068,xyz:CL,58.730901,funding,2026-03-11 17:00:00.068000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773252000102,xyz:CL,46.34691,funding,2026-03-11 18:00:00.102000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773255600082,xyz:CL,51.185328,funding,2026-03-11 19:00:00.082000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773259200026,xyz:CL,75.618796,funding,2026-03-11 20:00:00.026000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773262800008,xyz:CL,65.036764,funding,2026-03-11 21:00:00.008000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773266400035,xyz:CL,24.828819,funding,2026-03-11 22:00:00.035000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773270000069,xyz:CL,-84.381031,funding,2026-03-11 23:00:00.069000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773273600084,xyz:CL,-46.964193,funding,2026-03-12 00:00:00.084000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773277200006,xyz:CL,-13.230683,funding,2026-03-12 01:00:00.006000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773302400068,xyz:CL,-9.909866,funding,2026-03-12 08:00:00.068000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773306000063,xyz:CL,-60.650097,funding,2026-03-12 09:00:00.063000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773320400062,xyz:CL,18.960841,funding,2026-03-12 13:00:00.062000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773324000110,xyz:CL,1.942505,funding,2026-03-12 14:00:00.110000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773327600024,xyz:CL,33.284434,funding,2026-03-12 15:00:00.024000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773331200064,xyz:CL,-65.028114,funding,2026-03-12 16:00:00.064000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773334800004,xyz:CL,-90.482577,funding,2026-03-12 17:00:00.004000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773338400004,xyz:CL,-85.344205,funding,2026-03-12 18:00:00.004000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773342000025,xyz:CL,83.674013,funding,2026-03-12 19:00:00.025000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773345600165,xyz:CL,117.730159,funding,2026-03-12 20:00:00.165000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773349200073,xyz:CL,137.522846,funding,2026-03-12 21:00:00.073000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773352800071,xyz:CL,1.956862,funding,2026-03-12 22:00:00.071000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773356400070,xyz:CL,-28.520278,funding,2026-03-12 23:00:00.070000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773360000061,xyz:CL,-6.95529,funding,2026-03-13 00:00:00.061000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773367200025,xyz:CL,-5.9025,funding,2026-03-13 02:00:00.025000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773370800021,xyz:CL,-6.132437,funding,2026-03-13 03:00:00.021000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773374400099,xyz:CL,-5.898124,funding,2026-03-13 04:00:00.099000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773378000089,xyz:CL,-5.880624,funding,2026-03-13 05:00:00.089000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773381600064,xyz:CL,-9.777412,funding,2026-03-13 06:00:00.064000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773388800016,xyz:CL,-8.288904,funding,2026-03-13 08:00:00.016000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773392400045,xyz:CL,-18.261974,funding,2026-03-13 09:00:00.045000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773396000034,SOL,-8.578314,funding,2026-03-13 10:00:00.034000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773399600010,SOL,-9.356838,funding,2026-03-13 11:00:00.010000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773403200009,SOL,-9.43055,funding,2026-03-13 12:00:00.009000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773406800059,SOL,-11.196628,funding,2026-03-13 13:00:00.059000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773410400032,SOL,-11.305518,funding,2026-03-13 14:00:00.032000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773421200044,xyz:CL,-6.740879,funding,2026-03-13 17:00:00.044000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773424800052,xyz:CL,-13.151723,funding,2026-03-13 18:00:00.052000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773482400098,xyz:CL,-330.42289,funding,2026-03-14 10:00:00.098000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773486000047,xyz:CL,-222.582446,funding,2026-03-14 11:00:00.047000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773489600020,xyz:CL,-300.818363,funding,2026-03-14 12:00:00.020000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773493200042,xyz:CL,-252.678441,funding,2026-03-14 13:00:00.042000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773496800076,xyz:CL,-21.249359,funding,2026-03-14 14:00:00.076000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773500400009,xyz:CL,43.779663,funding,2026-03-14 15:00:00.009000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773504000100,xyz:CL,294.138893,funding,2026-03-14 16:00:00.100000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773507600061,xyz:CL,-98.718798,funding,2026-03-14 17:00:00.061000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773511200018,xyz:CL,-231.91974,funding,2026-03-14 18:00:00.018000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773514800048,xyz:CL,-5.88249,funding,2026-03-14 19:00:00.048000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773518400035,xyz:CL,-60.973598,funding,2026-03-14 20:00:00.035000+00:00
0x1c81fb7100276aef766092e16cfcf61097e97a5d,1773522000015,xyz:CL,-176.174806,funding,2026-03-14 21:00:00.015000+00:00
