address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.697,20.0,673.94,184.4404144,0.3774064,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.697,44.1,1486.0377,406.69111375,0.83218111,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.696,16.11,542.8425599999999,148.5506438,0.30399183,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.695,119.69,4032.95455,1103.54427996,2.25845454,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.692,70.37,2370.9060400000003,648.60174806,1.32770738,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.689,237.38,7997.09482,2187.22423848,4.47837309,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.689,445.09,14994.637009999999,4101.06848219,8.39699672,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.683,12.5,421.0375,115.100259,0.235781,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.678,134.71,4536.76338,1239.73892117,2.54058749,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.675,44.1,1485.0674999999999,405.72091375,0.8316378,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.667,445.29,14991.578430000001,4093.11490634,8.39528392,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.667,98.92,3330.33964,909.27468961,1.86499019,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.666,57.86,1947.91476,531.79245885,1.09083226,1770133653788,False,True,2026-02-03 15:47:33.788000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,12.5,420.78749999999997,114.850259,0.134652,1770133654055,False,False,2026-02-03 15:47:34.055000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,31.73,1068.12699,291.53589745,0.34180063,1770133654055,False,False,2026-02-03 15:47:34.055000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,2.21,74.39523,20.3055258,0.02380647,1770133654168,False,False,2026-02-03 15:47:34.168000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,2.21,74.39523,20.3055258,0.02380647,1770133654266,False,False,2026-02-03 15:47:34.266000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,1.0,33.663,9.18802072,0.01077216,1770133654473,False,False,2026-02-03 15:47:34.473000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,328.64,11063.008319999999,3019.55112937,3.54016266,1770133654523,False,False,2026-02-03 15:47:34.523000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,60.92,2050.7499599999996,559.73422226,0.65623998,1770133654523,False,False,2026-02-03 15:47:34.523000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,60.0,2019.7799999999997,551.2812432,0.6463296,1770133654628,False,False,2026-02-03 15:47:34.628000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,43.46,1462.99398,399.31138049,0.46815807,1770133654628,False,False,2026-02-03 15:47:34.628000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,681.52,22942.007759999997,6261.81988099,7.34144248,1770133654628,False,False,2026-02-03 15:47:34.628000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,76.47,2574.20961,702.60794445,0.82374707,1770133654628,False,False,2026-02-03 15:47:34.628000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,47.1,1585.5273,432.75577591,0.50736873,1770133654819,False,False,2026-02-03 15:47:34.819000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,129.51,4359.695129999999,1189.94056343,1.39510244,1770133654819,False,False,2026-02-03 15:47:34.819000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,462.44,15567.117719999998,4248.90830169,4.98147767,1770133654993,False,False,2026-02-03 15:47:34.993000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,0.53,17.84139,4.86965099,0.00570924,1770133655045,False,False,2026-02-03 15:47:35.045000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,23.45,789.3973499999998,215.45908589,0.25260715,1770133655045,False,False,2026-02-03 15:47:35.045000+00:00,False,False,False,False
0x1cba7640526a9b9863f9e35975ad4eebd65433bb,@107,A,Sell,33.663,213.49,7186.71387,1961.55054348,2.29974843,1770133655099,False,False,2026-02-03 15:47:35.099000+00:00,False,False,False,False
