address,time_ms,coin,funding_usd,side,time
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1766102400000,xyz:XYZ100,1.307594,funding,2025-12-19 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1766188800000,xyz:XYZ100,-2.821841,funding,2025-12-20 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1766275200000,xyz:XYZ100,-0.087804,funding,2025-12-21 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1766361600000,xyz:XYZ100,0.008597,funding,2025-12-22 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1766448000000,HYPE,-0.122981,funding,2025-12-23 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1766448000000,xyz:XYZ100,0.186651,funding,2025-12-23 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1766534400000,xyz:XYZ100,-0.037399,funding,2025-12-24 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1766620800000,xyz:XYZ100,0.250721,funding,2025-12-25 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1766707200000,xyz:XYZ100,-0.222021,funding,2025-12-26 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1766793600000,xyz:XYZ100,0.985327,funding,2025-12-27 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1767052800000,AAVE,-0.20044,funding,2025-12-30 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1767139200000,AAVE,-3.606004,funding,2025-12-31 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1767225600000,AAVE,-1.770309,funding,2026-01-01 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1767312000000,LIT,-0.262258,funding,2026-01-02 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1767398400000,ZRO,-2.182579,funding,2026-01-03 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1767484800000,ZRO,2.487823,funding,2026-01-04 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1767571200000,ZRO,15.37293,funding,2026-01-05 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1767657600000,ZRO,-0.250873,funding,2026-01-06 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1767744000000,LINK,-1.426123,funding,2026-01-07 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1767830400000,LINK,-5.734727,funding,2026-01-08 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1767916800000,LINK,-6.175034,funding,2026-01-09 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768003200000,LINK,-5.664717,funding,2026-01-10 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768089600000,AVNT,4.111599,funding,2026-01-11 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768089600000,LINK,-5.976681,funding,2026-01-11 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768176000000,AVNT,-183.108205,funding,2026-01-12 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768262400000,AVNT,-191.792123,funding,2026-01-13 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768348800000,AVNT,-4.637936,funding,2026-01-14 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768348800000,BERA,147.738664,funding,2026-01-14 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768435200000,IP,-100.684225,funding,2026-01-15 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768521600000,TNSR,3.356565,funding,2026-01-16 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768608000000,TNSR,1.083266,funding,2026-01-17 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768608000000,XMR,41.025023,funding,2026-01-17 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768694400000,AVNT,-98.605142,funding,2026-01-18 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768780800000,AAVE,2.499853,funding,2026-01-19 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768780800000,AVNT,-220.412944,funding,2026-01-19 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768867200000,AAVE,4.426393,funding,2026-01-20 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1768953600000,BERA,-96.088331,funding,2026-01-21 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1772409600000,km:USOIL,-0.620034,funding,2026-03-02 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1772496000000,km:USOIL,-2.095042,funding,2026-03-03 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1772582400000,km:USOIL,-12.594926,funding,2026-03-04 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1772668800000,km:USOIL,3.561919,funding,2026-03-05 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1772668800000,xyz:BRENTOIL,-2.533312,funding,2026-03-05 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1772755200000,km:USOIL,-0.657123,funding,2026-03-06 00:00:00+00:00
0x391d8af8f763394d74d329fdfd7138960b5e74c1,1772755200000,xyz:BRENTOIL,2.550626,funding,2026-03-06 00:00:00+00:00
