address,time_ms,coin,funding_usd,side,time
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1770681600000,HYPE,2.48059,funding,2026-02-10 00:00:00+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1770768000000,HYPE,14.675849,funding,2026-02-11 00:00:00+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773597600003,XRP,-6.502224,funding,2026-03-15 18:00:00.003000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773601200127,XRP,-6.463738,funding,2026-03-15 19:00:00.127000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773604800024,XRP,-4.690563,funding,2026-03-15 20:00:00.024000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773608400083,XRP,-6.495352,funding,2026-03-15 21:00:00.083000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773612000019,XRP,-6.538877,funding,2026-03-15 22:00:00.019000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773615600037,XRP,-6.665329,funding,2026-03-15 23:00:00.037000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773619200090,XRP,-6.638756,funding,2026-03-16 00:00:00.090000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773622800002,XRP,-6.62776,funding,2026-03-16 01:00:00.002000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773626400078,XRP,-6.629593,funding,2026-03-16 02:00:00.078000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773630000040,XRP,-6.611266,funding,2026-03-16 03:00:00.040000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773633600012,XRP,-6.723516,funding,2026-03-16 04:00:00.012000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773637200021,XRP,-6.781702,funding,2026-03-16 05:00:00.021000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773640800092,XRP,-6.784451,funding,2026-03-16 06:00:00.092000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773644400033,XRP,-6.766125,funding,2026-03-16 07:00:00.033000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773648000062,XRP,-6.794073,funding,2026-03-16 08:00:00.062000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773651600035,XRP,-6.727639,funding,2026-03-16 09:00:00.035000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773655200042,XRP,-6.753754,funding,2026-03-16 10:00:00.042000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773658800013,XRP,-6.75742,funding,2026-03-16 11:00:00.013000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773662400013,XRP,-6.733137,funding,2026-03-16 12:00:00.013000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773666000000,XRP,-6.764292,funding,2026-03-16 13:00:00+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773669600099,XRP,-6.790866,funding,2026-03-16 14:00:00.099000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773673200013,XRP,-6.909987,funding,2026-03-16 15:00:00.013000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773676800033,XRP,-6.841263,funding,2026-03-16 16:00:00.033000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773680400023,XRP,-4.375281,funding,2026-03-16 17:00:00.023000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773684000045,XRP,-6.95672,funding,2026-03-16 18:00:00.045000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773687600080,XRP,-7.035524,funding,2026-03-16 19:00:00.080000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773691200001,XRP,-2.058078,funding,2026-03-16 20:00:00.001000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773694800032,XRP,-4.41328,funding,2026-03-16 21:00:00.032000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773698400000,XRP,-2.143024,funding,2026-03-16 22:00:00+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773702000003,XRP,1.623014,funding,2026-03-16 23:00:00.003000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773705600034,XRP,2.416233,funding,2026-03-17 00:00:00.034000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773709200045,XRP,2.135993,funding,2026-03-17 01:00:00.045000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773712800050,XRP,3.029341,funding,2026-03-17 02:00:00.050000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773716400010,XRP,2.933038,funding,2026-03-17 03:00:00.010000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773720000073,XRP,4.012468,funding,2026-03-17 04:00:00.073000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773723600048,XRP,-1.644889,funding,2026-03-17 05:00:00.048000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773727200113,XRP,-6.942975,funding,2026-03-17 06:00:00.113000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773730800039,XRP,-1.250009,funding,2026-03-17 07:00:00.039000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773734400000,XRP,1.898935,funding,2026-03-17 08:00:00+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773738000002,XRP,-0.424991,funding,2026-03-17 09:00:00.002000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773741600075,XRP,0.295564,funding,2026-03-17 10:00:00.075000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773745200115,XRP,-1.502911,funding,2026-03-17 11:00:00.115000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773748800006,XRP,3.417452,funding,2026-03-17 12:00:00.006000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773752400013,XRP,2.587053,funding,2026-03-17 13:00:00.013000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773756000047,XRP,2.483197,funding,2026-03-17 14:00:00.047000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773759600074,XRP,1.803838,funding,2026-03-17 15:00:00.074000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773763200038,XRP,3.431901,funding,2026-03-17 16:00:00.038000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773766800054,XRP,3.353477,funding,2026-03-17 17:00:00.054000+00:00
0x3c83dbcda8d9fbefb75181f40d51205648defc7d,1773770400071,XRP,2.538894,funding,2026-03-17 18:00:00.071000+00:00
