address,time_ms,coin,funding_usd,side,time
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773032400088,xyz:CL,-0.047037,funding,2026-03-09 05:00:00.088000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773032400088,xyz:BRENTOIL,0.06374,funding,2026-03-09 05:00:00.088000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773036000070,xyz:CL,-0.009277,funding,2026-03-09 06:00:00.070000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773082800053,HYPE,-0.303123,funding,2026-03-09 19:00:00.053000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773086400002,HYPE,-0.304488,funding,2026-03-09 20:00:00.002000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773090000074,HYPE,-0.121439,funding,2026-03-09 21:00:00.074000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773277200006,xyz:CL,-0.113787,funding,2026-03-12 01:00:00.006000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773280800080,xyz:CL,-0.14197,funding,2026-03-12 02:00:00.080000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773284400036,xyz:CL,-0.265677,funding,2026-03-12 03:00:00.036000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773288000065,xyz:CL,-0.227048,funding,2026-03-12 04:00:00.065000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773511200018,BTC,0.127628,funding,2026-03-14 18:00:00.018000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773514800048,BTC,0.342203,funding,2026-03-14 19:00:00.048000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773518400035,BTC,0.185985,funding,2026-03-14 20:00:00.035000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773522000015,BTC,0.017231,funding,2026-03-14 21:00:00.015000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773525600041,BTC,0.048435,funding,2026-03-14 22:00:00.041000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773529200044,BTC,-0.025928,funding,2026-03-14 23:00:00.044000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773532800099,BTC,-0.067935,funding,2026-03-15 00:00:00.099000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773536400102,BTC,-0.013369,funding,2026-03-15 01:00:00.102000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773540000005,BTC,-0.213,funding,2026-03-15 02:00:00.005000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773543600130,BTC,-0.314955,funding,2026-03-15 03:00:00.130000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773547200040,BTC,-0.149501,funding,2026-03-15 04:00:00.040000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773550800066,BTC,-0.042288,funding,2026-03-15 05:00:00.066000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773554400010,BTC,-0.267981,funding,2026-03-15 06:00:00.010000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773558000046,BTC,0.048134,funding,2026-03-15 07:00:00.046000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773561600003,BTC,-0.108958,funding,2026-03-15 08:00:00.003000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773565200067,BTC,-0.066932,funding,2026-03-15 09:00:00.067000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773568800003,BTC,0.025821,funding,2026-03-15 10:00:00.003000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773572400039,BTC,0.071726,funding,2026-03-15 11:00:00.039000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773576000060,BTC,-0.06531,funding,2026-03-15 12:00:00.060000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773579600023,BTC,-0.087404,funding,2026-03-15 13:00:00.023000+00:00
0x482bb8c52cf518f978d9e7bb00844db2bf60464b,1773583200023,BTC,0.049473,funding,2026-03-15 14:00:00.023000+00:00
