address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,A,Close Long,87975.0,0.00025,21.993750000000002,0.084775,0.003167,1766155934967,False,False,2025-12-19 14:52:14.967000+00:00,False,True,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,A,Close Long,87975.0,0.98606,86748.6285,334.372946,12.491802,1766155935076,False,False,2025-12-19 14:52:15.076000+00:00,False,True,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,A,Close Long,89200.0,2.12083,189178.03600000002,3317.190203,27.241637,1766157387062,False,False,2025-12-19 15:16:27.062000+00:00,False,True,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,A,Close Long,88559.0,0.06501,5757.22059,60.010731,0.829039,1766157648359,False,False,2025-12-19 15:20:48.359000+00:00,False,True,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,A,Close Long,88559.0,0.03,2656.77,27.693,0.382574,1766157648414,False,False,2025-12-19 15:20:48.414000+00:00,False,True,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,A,Close Long,88559.0,0.688,60928.592,635.0928,8.773717,1766157648476,False,False,2025-12-19 15:20:48.476000+00:00,False,True,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,A,Close Long,88559.0,0.09646,8542.40114,89.042226,1.230105,1766157648695,False,False,2025-12-19 15:20:48.695000+00:00,False,True,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,A,Close Long,88559.0,0.34995,30991.22205,323.038845,4.462735,1766157648695,False,False,2025-12-19 15:20:48.695000+00:00,False,True,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,A,Close Long,88559.0,0.69365,61428.95035,640.308315,8.845768,1766157648695,False,False,2025-12-19 15:20:48.695000+00:00,False,True,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,A,Close Long,88241.0,0.61192,53996.432720000004,370.272792,23.326458,1766157711138,False,True,2025-12-19 15:21:51.138000+00:00,False,True,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,A,Close Long,88241.0,0.2389,21080.7749,144.55839,9.106894,1766157711138,False,True,2025-12-19 15:21:51.138000+00:00,False,True,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,A,Close Long,88238.0,0.27806,24535.45828,167.419926,10.599317,1766157711138,False,True,2025-12-19 15:21:51.138000+00:00,False,True,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,B,Open Long,87653.0,0.00391,342.72323,0.0,0.049352,1766172327230,False,False,2025-12-19 19:25:27.230000+00:00,True,False,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,B,Open Long,87700.0,0.22971,20145.567,0.0,8.702884,1766172341224,False,True,2025-12-19 19:25:41.224000+00:00,True,False,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,B,Open Long,87700.0,0.1375,12058.750000000002,0.0,5.20938,1766172341224,False,True,2025-12-19 19:25:41.224000+00:00,True,False,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,B,Open Long,87700.0,0.01286,1127.822,0.0,0.487219,1766172341224,False,True,2025-12-19 19:25:41.224000+00:00,True,False,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,B,Open Long,87700.0,0.0557,4884.89,0.0,2.110272,1766172341224,False,True,2025-12-19 19:25:41.224000+00:00,True,False,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,B,Open Long,87700.0,0.11367,9968.858999999999,0.0,4.306547,1766172341224,False,True,2025-12-19 19:25:41.224000+00:00,True,False,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,B,Open Long,87700.0,0.01286,1127.822,0.0,0.487219,1766172341224,False,True,2025-12-19 19:25:41.224000+00:00,True,False,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,B,Open Long,87700.0,0.1107,9708.390000000001,0.0,4.194024,1766172341224,False,True,2025-12-19 19:25:41.224000+00:00,True,False,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,B,Open Long,87700.0,0.18416,16150.831999999999,0.0,6.977159,1766172341224,False,True,2025-12-19 19:25:41.224000+00:00,True,False,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,B,Open Long,87700.0,0.2738,24012.26,0.0,10.373296,1766172341224,False,True,2025-12-19 19:25:41.224000+00:00,True,False,True,False
0x52e6c32f0eb44f707e9c159052fc5039fc7b7725,BTC,B,Open Long,87700.0,0.2417,21197.09,0.0,9.157142,1766172341224,False,True,2025-12-19 19:25:41.224000+00:00,True,False,True,False
