address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,BTC,A,Open Short,88049.0,0.24554,21619.551460000002,0.0,7.566843,1766076804453,False,True,2025-12-18 16:53:24.453000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,BTC,A,Open Short,88049.0,0.24629,21685.58821,0.0,7.589955,1766076804453,False,True,2025-12-18 16:53:24.453000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,BTC,A,Open Short,88049.0,0.21856,19243.98944,0.0,6.735396,1766076804453,False,True,2025-12-18 16:53:24.453000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,BTC,A,Open Short,88049.0,0.53961,47512.120890000006,0.0,16.629242,1766076804453,False,True,2025-12-18 16:53:24.453000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,ETH,A,Open Short,2945.1,3.8766,11416.97466,0.0,0.913357,1766076813793,False,False,2025-12-18 16:53:33.793000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,ETH,A,Open Short,2945.1,9.7234,28636.385339999997,0.0,2.29091,1766076813793,False,False,2025-12-18 16:53:33.793000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,127.15,50.0,6357.5,0.0,0.5086,1766076878176,False,False,2025-12-18 16:54:38.176000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.66,5.21,639.0586,0.0,0.051124,1766121498583,False,False,2025-12-19 05:18:18.583000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.66,0.16,19.6256,0.0,0.00157,1766121498846,False,False,2025-12-19 05:18:18.846000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,4.07,499.1041,0.0,0.174686,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,0.81,99.33030000000001,0.0,0.034765,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,5.61,687.9543,0.0,0.240784,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,4.99,611.9237,0.0,0.214173,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,5.61,687.9543,0.0,0.240784,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,0.81,99.33030000000001,0.0,0.034765,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,5.61,687.9543,0.0,0.240784,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,25.73,3155.2699,0.0,1.104344,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,40.04,4910.1052,0.0,1.718536,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,5.61,687.9543,0.0,0.240784,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,4.99,611.9237,0.0,0.214173,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,4.07,499.1041,0.0,0.174686,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.63,25.73,3155.2699,0.0,1.104344,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.62,40.05,4910.931,0.0,1.718825,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.62,5.61,687.8982000000001,0.0,0.240764,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.62,4.99,611.8738000000001,0.0,0.214155,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.62,39.49,4842.263800000001,0.0,1.694792,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.62,112.74,13824.1788,0.0,4.838462,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.62,4.07,499.06340000000006,0.0,0.174672,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.62,0.82,100.5484,0.0,0.035191,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,SOL,A,Open Short,122.62,12.0,1471.44,0.0,0.515004,1766121518241,False,True,2025-12-19 05:18:38.241000+00:00,True,False,False,True
