address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,B,Open Long,70714.0,0.07087,5011.50118,0.0,1.578622,1770410108653,False,True,2026-02-06 20:35:08.653000+00:00,True,False,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,B,Open Long,70714.0,0.085,6010.6900000000005,0.0,1.893367,1770410108653,False,True,2026-02-06 20:35:08.653000+00:00,True,False,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,B,Open Long,70714.0,0.2829,20004.990599999997,0.0,6.301572,1770410108653,False,True,2026-02-06 20:35:08.653000+00:00,True,False,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,B,Open Long,70714.0,0.07087,5011.50118,0.0,1.578622,1770410108653,False,True,2026-02-06 20:35:08.653000+00:00,True,False,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,B,Open Long,70714.0,0.07087,5011.50118,0.0,1.578622,1770410108653,False,True,2026-02-06 20:35:08.653000+00:00,True,False,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,B,Open Long,70714.0,0.12725,8998.3565,0.0,2.834482,1770410108653,False,True,2026-02-06 20:35:08.653000+00:00,True,False,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70872.0,0.00034,24.096480000000003,0.05372,0.00759,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70872.0,0.05966,4228.22352,9.42628,1.33189,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70872.0,0.05966,4228.22352,9.42628,1.33189,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70872.0,0.05966,4228.22352,9.42628,1.33189,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70872.0,0.05966,4228.22352,9.42628,1.33189,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70872.0,0.05966,4228.22352,9.42628,1.33189,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70870.0,0.00029,20.5523,0.04524,0.006473,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70870.0,0.00141,99.9267,0.21996,0.031476,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70870.0,0.00141,99.9267,0.21996,0.031476,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70869.0,0.00141,99.92529,0.21855,0.031476,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70869.0,0.00141,99.92529,0.21855,0.031476,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70868.0,0.0079,559.8572,1.2166,0.176355,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70868.0,0.00141,99.92388,0.21714,0.031476,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70867.0,0.00282,199.84494,0.43146,0.062951,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70867.0,0.00423,299.76741000000004,0.64719,0.094426,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70866.0,0.00564,399.68424,0.85728,0.1259,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70865.0,0.00141,99.91965,0.21291,0.031474,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
0x5a106f5cf9fba6af5dda6bde1b8f3bacbd532c37,BTC,A,Close Long,70865.0,0.015,1062.975,2.265,0.334837,1770410168524,False,True,2026-02-06 20:36:08.524000+00:00,False,True,True,False
