address,time_ms,coin,funding_usd,side,time
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1767484800000,hyna:BTC,-0.176461,funding,2026-01-04 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1767571200000,hyna:BTC,4.032349,funding,2026-01-05 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1767657600000,hyna:BTC,-0.343299,funding,2026-01-06 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1767657600000,hyna:ETH,-1.622051,funding,2026-01-06 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1767744000000,hyna:ETH,-3.881517,funding,2026-01-07 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1768176000000,hyna:BTC,-0.312012,funding,2026-01-12 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1768176000000,km:US500,-6.512282,funding,2026-01-12 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1768262400000,km:US500,-3.085538,funding,2026-01-13 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1768348800000,km:US500,-5.178171,funding,2026-01-14 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1768435200000,km:US500,-5.782889,funding,2026-01-15 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1768521600000,km:US500,-5.310242,funding,2026-01-16 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1768608000000,km:US500,-5.127462,funding,2026-01-17 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1768694400000,km:US500,2.432473,funding,2026-01-18 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1768780800000,km:US500,3.015285,funding,2026-01-19 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1768867200000,km:US500,-7.171983,funding,2026-01-20 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1768953600000,km:US500,-6.941425,funding,2026-01-21 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1769040000000,km:US500,-4.583316,funding,2026-01-22 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1769126400000,km:US500,-3.209406,funding,2026-01-23 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1769212800000,km:US500,0.715627,funding,2026-01-24 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1769299200000,km:US500,3.456302,funding,2026-01-25 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1769385600000,km:US500,-7.505949,funding,2026-01-26 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1769472000000,km:US500,-3.2362,funding,2026-01-27 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1769558400000,km:US500,-1.488855,funding,2026-01-28 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1769644800000,hyna:BTC,-4.641045,funding,2026-01-29 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1770076800000,ETH,0.170249,funding,2026-02-03 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1770163200000,km:USTECH,-0.128866,funding,2026-02-04 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1770249600000,km:USTECH,-0.491701,funding,2026-02-05 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1771459200000,km:USTECH,-0.041481,funding,2026-02-19 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1771545600000,km:USTECH,0.049235,funding,2026-02-20 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1771632000000,km:USTECH,-0.651032,funding,2026-02-21 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1771718400000,km:USTECH,0.293747,funding,2026-02-22 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1771804800000,km:USTECH,-0.71294,funding,2026-02-23 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1771891200000,km:USTECH,-0.127087,funding,2026-02-24 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1771977600000,km:USTECH,0.315028,funding,2026-02-25 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772064000000,km:USTECH,0.098176,funding,2026-02-26 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772064000000,xyz:SMSN,1.297604,funding,2026-02-26 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772150400000,km:USTECH,-0.024769,funding,2026-02-27 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772236800000,BTC,0.834171,funding,2026-02-28 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772236800000,km:USTECH,-1.411053,funding,2026-02-28 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772323200000,BTC,-0.131146,funding,2026-03-01 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772409600000,km:USTECH,-0.366827,funding,2026-03-02 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772496000000,km:USTECH,-0.339496,funding,2026-03-03 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772582400000,km:USTECH,-0.71407,funding,2026-03-04 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772668800000,km:USTECH,-1.421458,funding,2026-03-05 00:00:00+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772755200030,km:USTECH,-0.017551,funding,2026-03-06 00:00:00.030000+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772758800082,km:USTECH,-0.017563,funding,2026-03-06 01:00:00.082000+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772762400006,km:USTECH,-0.017563,funding,2026-03-06 02:00:00.006000+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772766000079,km:USTECH,-0.017567,funding,2026-03-06 03:00:00.079000+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772769600026,km:USTECH,-0.017593,funding,2026-03-06 04:00:00.026000+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772773200112,km:USTECH,-0.017592,funding,2026-03-06 05:00:00.112000+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772776800019,km:USTECH,-0.017597,funding,2026-03-06 06:00:00.019000+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772780400028,km:USTECH,-0.017589,funding,2026-03-06 07:00:00.028000+00:00
0x5dea81dac54f242593f0f1b58c0faf50f27c46e1,1772784000021,km:USTECH,-0.017603,funding,2026-03-06 08:00:00.021000+00:00
