address,time_ms,coin,funding_usd,side,time
0x689f15b91f1df16794177056982376721da16965,1767571200000,ASTER,-1.543729,funding,2026-01-05 00:00:00+00:00
0x689f15b91f1df16794177056982376721da16965,1767571200000,BTC,11.649313,funding,2026-01-05 00:00:00+00:00
0x689f15b91f1df16794177056982376721da16965,1767571200000,FARTCOIN,-1.33145,funding,2026-01-05 00:00:00+00:00
0x689f15b91f1df16794177056982376721da16965,1767657600000,ASTER,-0.771707,funding,2026-01-06 00:00:00+00:00
0x689f15b91f1df16794177056982376721da16965,1767657600000,BTC,17.026105,funding,2026-01-06 00:00:00+00:00
0x689f15b91f1df16794177056982376721da16965,1767657600000,FARTCOIN,-7.170666,funding,2026-01-06 00:00:00+00:00
0x689f15b91f1df16794177056982376721da16965,1767744000119,FARTCOIN,-5.428262,funding,2026-01-07 00:00:00.119000+00:00
0x689f15b91f1df16794177056982376721da16965,1767747600007,FARTCOIN,-4.107949,funding,2026-01-07 01:00:00.007000+00:00
0x689f15b91f1df16794177056982376721da16965,1767751200010,FARTCOIN,-2.614139,funding,2026-01-07 02:00:00.010000+00:00
0x689f15b91f1df16794177056982376721da16965,1767754800017,FARTCOIN,-3.035754,funding,2026-01-07 03:00:00.017000+00:00
0x689f15b91f1df16794177056982376721da16965,1767758400033,BTC,-0.035508,funding,2026-01-07 04:00:00.033000+00:00
0x689f15b91f1df16794177056982376721da16965,1767758400033,FARTCOIN,-2.580387,funding,2026-01-07 04:00:00.033000+00:00
0x689f15b91f1df16794177056982376721da16965,1767762000087,FARTCOIN,-1.90669,funding,2026-01-07 05:00:00.087000+00:00
0x689f15b91f1df16794177056982376721da16965,1767765600009,FARTCOIN,-1.616545,funding,2026-01-07 06:00:00.009000+00:00
0x689f15b91f1df16794177056982376721da16965,1767769200014,FARTCOIN,-1.519948,funding,2026-01-07 07:00:00.014000+00:00
0x689f15b91f1df16794177056982376721da16965,1767772800062,FARTCOIN,-1.185504,funding,2026-01-07 08:00:00.062000+00:00
0x689f15b91f1df16794177056982376721da16965,1767776400082,FARTCOIN,-0.39592,funding,2026-01-07 09:00:00.082000+00:00
0x689f15b91f1df16794177056982376721da16965,1767780000029,FARTCOIN,-0.383965,funding,2026-01-07 10:00:00.029000+00:00
0x689f15b91f1df16794177056982376721da16965,1767783600048,FARTCOIN,-0.393731,funding,2026-01-07 11:00:00.048000+00:00
0x689f15b91f1df16794177056982376721da16965,1767787200096,FARTCOIN,-0.39181,funding,2026-01-07 12:00:00.096000+00:00
0x689f15b91f1df16794177056982376721da16965,1767790800074,FARTCOIN,-0.385644,funding,2026-01-07 13:00:00.074000+00:00
0x689f15b91f1df16794177056982376721da16965,1767794400040,FARTCOIN,-0.382097,funding,2026-01-07 14:00:00.040000+00:00
0x689f15b91f1df16794177056982376721da16965,1768366800023,BTC,-1.574203,funding,2026-01-14 05:00:00.023000+00:00
0x689f15b91f1df16794177056982376721da16965,1768370400066,BTC,6.348647,funding,2026-01-14 06:00:00.066000+00:00
0x689f15b91f1df16794177056982376721da16965,1768374000099,BTC,-26.727157,funding,2026-01-14 07:00:00.099000+00:00
0x689f15b91f1df16794177056982376721da16965,1768377600062,BTC,-63.284808,funding,2026-01-14 08:00:00.062000+00:00
0x689f15b91f1df16794177056982376721da16965,1768381200051,BTC,-68.113164,funding,2026-01-14 09:00:00.051000+00:00
0x689f15b91f1df16794177056982376721da16965,1768384800015,BTC,-73.205972,funding,2026-01-14 10:00:00.015000+00:00
0x689f15b91f1df16794177056982376721da16965,1768388400000,BTC,-73.209822,funding,2026-01-14 11:00:00+00:00
0x689f15b91f1df16794177056982376721da16965,1768392000043,BTC,-77.977373,funding,2026-01-14 12:00:00.043000+00:00
0x689f15b91f1df16794177056982376721da16965,1768395600040,BTC,-78.211816,funding,2026-01-14 13:00:00.040000+00:00
0x689f15b91f1df16794177056982376721da16965,1768399200084,BTC,-78.146007,funding,2026-01-14 14:00:00.084000+00:00
0x689f15b91f1df16794177056982376721da16965,1768402800001,BTC,-79.375805,funding,2026-01-14 15:00:00.001000+00:00
0x689f15b91f1df16794177056982376721da16965,1768406400013,BTC,-79.599554,funding,2026-01-14 16:00:00.013000+00:00
0x689f15b91f1df16794177056982376721da16965,1768410000085,BTC,-80.03389,funding,2026-01-14 17:00:00.085000+00:00
0x689f15b91f1df16794177056982376721da16965,1768413600113,BTC,-39.878342,funding,2026-01-14 18:00:00.113000+00:00
0x689f15b91f1df16794177056982376721da16965,1774098000015,BTC,-0.031659,funding,2026-03-21 13:00:00.015000+00:00
0x689f15b91f1df16794177056982376721da16965,1774101600045,BTC,-0.001394,funding,2026-03-21 14:00:00.045000+00:00
0x689f15b91f1df16794177056982376721da16965,1774105200051,BTC,0.014921,funding,2026-03-21 15:00:00.051000+00:00
0x689f15b91f1df16794177056982376721da16965,1774108800039,BTC,0.027181,funding,2026-03-21 16:00:00.039000+00:00
0x689f15b91f1df16794177056982376721da16965,1774112400032,BTC,0.006315,funding,2026-03-21 17:00:00.032000+00:00
0x689f15b91f1df16794177056982376721da16965,1774116000020,BTC,-0.045219,funding,2026-03-21 18:00:00.020000+00:00
0x689f15b91f1df16794177056982376721da16965,1774119600057,BTC,-0.037478,funding,2026-03-21 19:00:00.057000+00:00
0x689f15b91f1df16794177056982376721da16965,1774123200073,BTC,0.007046,funding,2026-03-21 20:00:00.073000+00:00
0x689f15b91f1df16794177056982376721da16965,1774126800086,BTC,0.045557,funding,2026-03-21 21:00:00.086000+00:00
0x689f15b91f1df16794177056982376721da16965,1774130400004,BTC,-0.059537,funding,2026-03-21 22:00:00.004000+00:00
0x689f15b91f1df16794177056982376721da16965,1774134000026,BTC,-0.054578,funding,2026-03-21 23:00:00.026000+00:00
0x689f15b91f1df16794177056982376721da16965,1774137600042,BTC,-0.126225,funding,2026-03-22 00:00:00.042000+00:00
0x689f15b91f1df16794177056982376721da16965,1774141200020,BTC,-0.117724,funding,2026-03-22 01:00:00.020000+00:00
