address,time_ms,coin,funding_usd,side,time
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766016000000,xyz:NVDA,-14.248689,funding,2025-12-18 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766016000000,xyz:XYZ100,56.958444,funding,2025-12-18 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766102400000,xyz:NVDA,23.245133,funding,2025-12-19 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766188800000,xyz:NVDA,13.283012,funding,2025-12-20 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766275200000,xyz:NVDA,-1.390727,funding,2025-12-21 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766361600000,xyz:NVDA,4.588282,funding,2025-12-22 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766448000000,xyz:NVDA,1.097082,funding,2025-12-23 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766534400000,xyz:NVDA,-15.251286,funding,2025-12-24 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766620800000,xyz:NVDA,26.464707,funding,2025-12-25 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766707200000,xyz:NVDA,-67.386789,funding,2025-12-26 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766793600000,xyz:NVDA,44.994831,funding,2025-12-27 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766880000000,xyz:NVDA,-2.548246,funding,2025-12-28 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1766966400000,xyz:NVDA,36.677245,funding,2025-12-29 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1767052800000,xyz:NVDA,39.871785,funding,2025-12-30 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1767139200000,xyz:NVDA,56.132635,funding,2025-12-31 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1767225600000,xyz:NVDA,54.976602,funding,2026-01-01 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1767312000000,xyz:NVDA,20.043875,funding,2026-01-02 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1767398400000,xyz:NVDA,46.503225,funding,2026-01-03 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1767484800000,xyz:NVDA,-23.430493,funding,2026-01-04 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1767571200000,xyz:NVDA,54.064969,funding,2026-01-05 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1767657600000,xyz:NVDA,37.262269,funding,2026-01-06 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1767744000000,xyz:NVDA,19.96688,funding,2026-01-07 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1767830400000,xyz:NVDA,27.314203,funding,2026-01-08 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1767916800000,xyz:NVDA,29.267949,funding,2026-01-09 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1768003200000,xyz:NVDA,1.694166,funding,2026-01-10 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1768089600000,xyz:NVDA,2.096542,funding,2026-01-11 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1768176000000,xyz:NVDA,39.316421,funding,2026-01-12 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1768262400000,xyz:NVDA,49.809069,funding,2026-01-13 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1768348800000,xyz:NVDA,22.891693,funding,2026-01-14 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1768435200000,xyz:NVDA,17.287965,funding,2026-01-15 00:00:00+00:00
0x6dbde1a1e0f199b0252e593a422b9340af03075a,1768521600000,xyz:NVDA,49.281574,funding,2026-01-16 00:00:00+00:00
