address,time_ms,coin,funding_usd,side,time
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769760000018,BTC,3.363927,funding,2026-01-30 08:00:00.018000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769763600103,BTC,0.370203,funding,2026-01-30 09:00:00.103000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769767200049,BTC,1.819954,funding,2026-01-30 10:00:00.049000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769770800108,BTC,0.579198,funding,2026-01-30 11:00:00.108000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769774400036,BTC,0.594319,funding,2026-01-30 12:00:00.036000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769778000025,BTC,-3.423512,funding,2026-01-30 13:00:00.025000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769781600033,BTC,-5.317681,funding,2026-01-30 14:00:00.033000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769785200008,BTC,-5.340239,funding,2026-01-30 15:00:00.008000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769788800054,BTC,-2.375752,funding,2026-01-30 16:00:00.054000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769792400105,BTC,-1.910743,funding,2026-01-30 17:00:00.105000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769796000037,BTC,-5.330663,funding,2026-01-30 18:00:00.037000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769799600042,BTC,-5.394932,funding,2026-01-30 19:00:00.042000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769803200041,BTC,-5.413313,funding,2026-01-30 20:00:00.041000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769806800006,BTC,-5.394611,funding,2026-01-30 21:00:00.006000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769810400001,BTC,-5.420254,funding,2026-01-30 22:00:00.001000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769814000031,BTC,-5.412735,funding,2026-01-30 23:00:00.031000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769817600171,BTC,-5.415305,funding,2026-01-31 00:00:00.171000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769821200100,BTC,-5.402966,funding,2026-01-31 01:00:00.100000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769824800068,BTC,-5.398595,funding,2026-01-31 02:00:00.068000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769828400097,BTC,-5.406758,funding,2026-01-31 03:00:00.097000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769832000012,BTC,-5.400074,funding,2026-01-31 04:00:00.012000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769835600026,BTC,-5.398081,funding,2026-01-31 05:00:00.026000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769839200002,BTC,-4.179866,funding,2026-01-31 06:00:00.002000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769842800010,BTC,-4.371384,funding,2026-01-31 07:00:00.010000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769846400049,BTC,-2.886263,funding,2026-01-31 08:00:00.049000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769850000076,BTC,-5.339082,funding,2026-01-31 09:00:00.076000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769853600022,BTC,-5.340946,funding,2026-01-31 10:00:00.022000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769857200050,BTC,-5.34461,funding,2026-01-31 11:00:00.050000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769860800105,BTC,-4.617094,funding,2026-01-31 12:00:00.105000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769864400035,BTC,-5.31903,funding,2026-01-31 13:00:00.035000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769868000027,BTC,-5.319416,funding,2026-01-31 14:00:00.027000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769871600033,BTC,-1.386471,funding,2026-01-31 15:00:00.033000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769875200091,BTC,-2.67528,funding,2026-01-31 16:00:00.091000+00:00
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,1769878800030,BTC,-1.321472,funding,2026-01-31 17:00:00.030000+00:00
