address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0x760f7d5345c3d9710cc87519881ccf6f17b6e560,@230,B,Buy,1.0001,2984.93,2985.2284929999996,0.0,0.40117458,1766389694380,False,True,2025-12-22 07:48:14.380000+00:00,False,False,False,False
0x760f7d5345c3d9710cc87519881ccf6f17b6e560,vntl:SPACEX,B,Open Long,1107.0,0.01,11.07,0.0,0.008608,1766389703714,False,True,2025-12-22 07:48:23.714000+00:00,True,False,True,False
0x760f7d5345c3d9710cc87519881ccf6f17b6e560,vntl:SPACEX,B,Open Long,1110.0,1.769,1963.59,0.0,1.526887,1766389703714,False,True,2025-12-22 07:48:23.714000+00:00,True,False,True,False
0x760f7d5345c3d9710cc87519881ccf6f17b6e560,vntl:SPACEX,B,Open Long,1110.1,0.012,13.3212,0.0,0.010358,1766389703714,False,True,2025-12-22 07:48:23.714000+00:00,True,False,True,False
0x760f7d5345c3d9710cc87519881ccf6f17b6e560,vntl:SPACEX,B,Open Long,1114.4,1.769,1971.3736000000001,0.0,1.53294,1766389703714,False,True,2025-12-22 07:48:23.714000+00:00,True,False,True,False
0x760f7d5345c3d9710cc87519881ccf6f17b6e560,vntl:SPACEX,B,Open Long,1115.9,0.091,101.54690000000001,0.0,0.078962,1766389703714,False,True,2025-12-22 07:48:23.714000+00:00,True,False,True,False
0x760f7d5345c3d9710cc87519881ccf6f17b6e560,vntl:SPACEX,B,Open Long,1117.4,0.183,204.48420000000002,0.0,0.159006,1766389703714,False,True,2025-12-22 07:48:23.714000+00:00,True,False,True,False
0x760f7d5345c3d9710cc87519881ccf6f17b6e560,vntl:SPACEX,B,Open Long,1118.1,0.447,499.79069999999996,0.0,0.388637,1766389703714,False,True,2025-12-22 07:48:23.714000+00:00,True,False,True,False
0x760f7d5345c3d9710cc87519881ccf6f17b6e560,vntl:SPACEX,B,Open Long,1118.9,1.769,1979.3341,0.0,1.53913,1766389703714,False,True,2025-12-22 07:48:23.714000+00:00,True,False,True,False
0x760f7d5345c3d9710cc87519881ccf6f17b6e560,vntl:SPACEX,B,Open Long,1119.9,0.269,301.2531,0.0,0.234254,1766389703714,False,True,2025-12-22 07:48:23.714000+00:00,True,False,True,False
