address,time_ms,coin,funding_usd,side,time
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766016000000,BTC,-1.880201,funding,2025-12-18 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766016000000,HYPE,-0.118171,funding,2025-12-18 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766016000000,hyna:BTC,-0.022819,funding,2025-12-18 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766016000000,hyna:HYPE,-0.000534,funding,2025-12-18 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766102400000,BTC,-0.676027,funding,2025-12-19 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766102400000,HYPE,-0.056147,funding,2025-12-19 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766102400000,hyna:BTC,-0.006815,funding,2025-12-19 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766102400000,hyna:ETH,-0.021915,funding,2025-12-19 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766102400000,hyna:HYPE,-0.001898,funding,2025-12-19 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766188800000,FARTCOIN,-0.824592,funding,2025-12-20 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766188800000,hyna:ETH,-0.018241,funding,2025-12-20 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766275200000,BTC,-0.473813,funding,2025-12-21 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766275200000,FARTCOIN,-0.121155,funding,2025-12-21 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766275200000,hyna:BTC,-0.055948,funding,2025-12-21 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766275200000,hyna:ETH,-0.03859,funding,2025-12-21 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766361600000,BTC,-0.457451,funding,2025-12-22 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766361600000,hyna:BTC,-0.073257,funding,2025-12-22 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766448000000,BTC,-0.462315,funding,2025-12-23 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766448000000,hyna:BTC,-0.078561,funding,2025-12-23 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766534400000,BTC,-0.801633,funding,2025-12-24 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766534400000,hyna:BTC,-0.148047,funding,2025-12-24 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766620800000,BTC,-0.832605,funding,2025-12-25 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766620800000,LIT,-0.012183,funding,2025-12-25 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766620800000,hyna:BTC,-0.09348,funding,2025-12-25 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766707200000,BTC,-0.26616,funding,2025-12-26 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766707200000,LIT,-0.003273,funding,2025-12-26 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766707200000,hyna:BTC,-0.048177,funding,2025-12-26 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766793600000,BTC,-0.145085,funding,2025-12-27 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766793600000,HYPE,-0.599552,funding,2025-12-27 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766793600000,hyna:BTC,-0.018755,funding,2025-12-27 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766793600000,hyna:HYPE,-0.092755,funding,2025-12-27 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766880000000,HYPE,-0.892686,funding,2025-12-28 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766880000000,hyna:HYPE,-0.105223,funding,2025-12-28 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766966400000,HYPE,-0.098079,funding,2025-12-29 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766966400000,ZEC,-0.255591,funding,2025-12-29 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766966400000,hyna:HYPE,-0.005522,funding,2025-12-29 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1766966400000,hyna:ZEC,-0.015394,funding,2025-12-29 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767052800000,ZEC,-0.379111,funding,2025-12-30 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767052800000,hyna:ZEC,-0.017851,funding,2025-12-30 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767139200000,ZEC,0.253085,funding,2025-12-31 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767139200000,hyna:ZEC,-0.02521,funding,2025-12-31 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767225600000,ZEC,2.08989,funding,2026-01-01 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767225600000,hyna:ZEC,-0.009284,funding,2026-01-01 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767312000000,ZEC,3.153632,funding,2026-01-02 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767312000000,hyna:ZEC,0.040243,funding,2026-01-02 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767398400000,ZEC,-0.398429,funding,2026-01-03 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767398400000,hyna:ZEC,-0.016492,funding,2026-01-03 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767484800000,ZEC,-0.599834,funding,2026-01-04 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767484800000,hyna:ZEC,-0.017926,funding,2026-01-04 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767571200000,BTC,-0.857103,funding,2026-01-05 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767571200000,ZEC,-0.182329,funding,2026-01-05 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767571200000,hyna:BTC,0.113484,funding,2026-01-05 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767571200000,hyna:ZEC,-0.006607,funding,2026-01-05 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767657600000,BTC,-1.780583,funding,2026-01-06 00:00:00+00:00
0x7ca6cf3d025d00d8b1f42c2d1131061da148d415,1767657600000,hyna:BTC,-0.053827,funding,2026-01-06 00:00:00+00:00
