address,time_ms,coin,funding_usd,side,time
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766016000000,BTC,-60.407667,funding,2025-12-18 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766016000000,MON,35.338396,funding,2025-12-18 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766102400000,BTC,58.479027,funding,2025-12-19 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766102400000,HYPE,-24.501694,funding,2025-12-19 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766188800000,BTC,140.273052,funding,2025-12-20 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766275200000,BTC,-27.802334,funding,2025-12-21 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766361600000,BTC,4.575146,funding,2025-12-22 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766448000000,BTC,-34.306168,funding,2025-12-23 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766534400000,BTC,-19.141705,funding,2025-12-24 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766620800000,ZEC,5.140372,funding,2025-12-25 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766707200000,ZEC,1.700954,funding,2025-12-26 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766707200000,xyz:NVDA,-22.546146,funding,2025-12-26 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766793600000,xyz:NVDA,-76.532986,funding,2025-12-27 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766880000000,xyz:NVDA,4.334379,funding,2025-12-28 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766966400000,HYPE,-64.772335,funding,2025-12-29 00:00:00+00:00
0x8b61a50f7091abbc7ab292d3a24b9eeb4a29c0c2,1766966400000,xyz:NVDA,-62.385373,funding,2025-12-29 00:00:00+00:00
