address,time_ms,coin,funding_usd,side,time
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1768262400000,flx:XMR,-0.589109,funding,2026-01-13 00:00:00+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1768348800000,flx:XMR,-21.654131,funding,2026-01-14 00:00:00+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1769040000000,SKR,64.706203,funding,2026-01-22 00:00:00+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1769126400000,SKR,25.075684,funding,2026-01-23 00:00:00+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1770336000000,SOL,33.290686,funding,2026-02-06 00:00:00+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771354800003,VVV,5.696162,funding,2026-02-17 19:00:00.003000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771358400062,VVV,2.78737,funding,2026-02-17 20:00:00.062000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771362000058,VVV,6.657982,funding,2026-02-17 21:00:00.058000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771365600051,VVV,5.668569,funding,2026-02-17 22:00:00.051000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771369200070,VVV,3.318663,funding,2026-02-17 23:00:00.070000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771372800021,VVV,4.557605,funding,2026-02-18 00:00:00.021000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771376400085,VVV,5.675636,funding,2026-02-18 01:00:00.085000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771380000067,VVV,5.762461,funding,2026-02-18 02:00:00.067000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771383600005,VVV,6.934982,funding,2026-02-18 03:00:00.005000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771387200016,VVV,8.617724,funding,2026-02-18 04:00:00.016000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771390800053,VVV,5.699519,funding,2026-02-18 05:00:00.053000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771394400013,VVV,3.452766,funding,2026-02-18 06:00:00.013000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771552800054,VVV,-0.354711,funding,2026-02-20 02:00:00.054000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771556400118,VVV,-0.357198,funding,2026-02-20 03:00:00.118000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771560000085,VVV,-0.374122,funding,2026-02-20 04:00:00.085000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771563600048,VVV,-0.370111,funding,2026-02-20 05:00:00.048000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771567200033,VVV,-0.372334,funding,2026-02-20 06:00:00.033000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771570800077,VVV,-0.383496,funding,2026-02-20 07:00:00.077000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771574400069,VVV,-0.384758,funding,2026-02-20 08:00:00.069000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771578000018,VVV,-0.398624,funding,2026-02-20 09:00:00.018000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771581600018,VVV,-0.423861,funding,2026-02-20 10:00:00.018000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771585200029,VVV,-0.264834,funding,2026-02-20 11:00:00.029000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771588800020,VVV,-0.421601,funding,2026-02-20 12:00:00.020000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771592400001,VVV,-0.428471,funding,2026-02-20 13:00:00.001000+00:00
0x98ab8cf3a98d5cffdf3d9a2cfa48660095566913,1771596000062,VVV,-0.423815,funding,2026-02-20 14:00:00.062000+00:00
