address,time_ms,coin,funding_usd,side,time
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1771804800000,km:US500,5.907799,funding,2026-02-23 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1771891200000,km:US500,10.918279,funding,2026-02-24 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1771977600000,km:US500,11.003525,funding,2026-02-25 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1772064000000,km:US500,11.015718,funding,2026-02-26 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1772150400000,km:US500,10.93942,funding,2026-02-27 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1772236800000,km:US500,2.951614,funding,2026-02-28 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1772323200000,km:US500,-16.548666,funding,2026-03-01 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1772409600000,km:US500,-2.101834,funding,2026-03-02 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1772496000000,km:US500,10.825002,funding,2026-03-03 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1772582400000,km:US500,19.488801,funding,2026-03-04 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1772668800000,km:US500,29.650165,funding,2026-03-05 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1772755200000,km:US500,10.810581,funding,2026-03-06 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1772841600000,km:US500,-23.67481,funding,2026-03-07 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1772928000000,km:US500,-44.759368,funding,2026-03-08 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1773014400000,km:US500,-17.416149,funding,2026-03-09 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1773100800000,km:US500,10.814861,funding,2026-03-10 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1773187200000,km:US500,10.798162,funding,2026-03-11 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1773273600000,km:US500,-8.80834,funding,2026-03-12 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1773360000000,km:US500,-56.206576,funding,2026-03-13 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1773446400000,km:US500,-43.902092,funding,2026-03-14 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1773532800000,km:US500,56.296767,funding,2026-03-15 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1773619200000,km:US500,-53.96197,funding,2026-03-16 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1773705600000,km:US500,-31.226922,funding,2026-03-17 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1773792000000,km:US500,-45.483233,funding,2026-03-18 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1773878400000,km:US500,-111.554476,funding,2026-03-19 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1773964800000,km:US500,1.902306,funding,2026-03-20 00:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774051200093,km:US500,0.434105,funding,2026-03-21 00:00:00.093000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774054800011,km:US500,0.434099,funding,2026-03-21 01:00:00.011000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774058400032,km:US500,0.434026,funding,2026-03-21 02:00:00.032000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774062000013,km:US500,0.433946,funding,2026-03-21 03:00:00.013000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774065600040,km:US500,0.433906,funding,2026-03-21 04:00:00.040000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774069200041,km:US500,0.433893,funding,2026-03-21 05:00:00.041000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774072800066,km:US500,0.43382,funding,2026-03-21 06:00:00.066000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774076400010,km:US500,0.43378,funding,2026-03-21 07:00:00.010000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774080000075,km:US500,0.433899,funding,2026-03-21 08:00:00.075000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774083600064,km:US500,10.145602,funding,2026-03-21 09:00:00.064000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774087200000,km:US500,2.655898,funding,2026-03-21 10:00:00+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774090800008,km:US500,0.434677,funding,2026-03-21 11:00:00.008000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774094400094,km:US500,0.434677,funding,2026-03-21 12:00:00.094000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774098000015,km:US500,0.669127,funding,2026-03-21 13:00:00.015000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774101600045,km:US500,0.434836,funding,2026-03-21 14:00:00.045000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774105200051,km:US500,2.087626,funding,2026-03-21 15:00:00.051000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774108800039,km:US500,0.469271,funding,2026-03-21 16:00:00.039000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774112400032,km:US500,0.435182,funding,2026-03-21 17:00:00.032000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774116000020,km:US500,0.435182,funding,2026-03-21 18:00:00.020000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774119600057,km:US500,0.435169,funding,2026-03-21 19:00:00.057000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774123200073,km:US500,0.435169,funding,2026-03-21 20:00:00.073000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774126800086,km:US500,1.83769,funding,2026-03-21 21:00:00.086000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774130400004,km:US500,0.435421,funding,2026-03-21 22:00:00.004000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774134000026,km:US500,-1.00791,funding,2026-03-21 23:00:00.026000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774137600042,km:US500,-5.828385,funding,2026-03-22 00:00:00.042000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774141200020,km:US500,-15.944883,funding,2026-03-22 01:00:00.020000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774144800085,km:US500,-4.846746,funding,2026-03-22 02:00:00.085000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774148400085,km:US500,-5.540295,funding,2026-03-22 03:00:00.085000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774152000007,km:US500,-2.345944,funding,2026-03-22 04:00:00.007000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774155600062,km:US500,0.432976,funding,2026-03-22 05:00:00.062000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774159200062,km:US500,0.433062,funding,2026-03-22 06:00:00.062000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774162800088,km:US500,0.433089,funding,2026-03-22 07:00:00.088000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774166400050,km:US500,0.433109,funding,2026-03-22 08:00:00.050000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774170000062,km:US500,0.151911,funding,2026-03-22 09:00:00.062000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774173600003,km:US500,0.432989,funding,2026-03-22 10:00:00.003000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774177200044,km:US500,-0.231841,funding,2026-03-22 11:00:00.044000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774180800049,km:US500,0.432816,funding,2026-03-22 12:00:00.049000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774184400046,km:US500,-2.042686,funding,2026-03-22 13:00:00.046000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774188000011,km:US500,-5.58413,funding,2026-03-22 14:00:00.011000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774191600042,km:US500,-0.261475,funding,2026-03-22 15:00:00.042000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774195200021,km:US500,0.432072,funding,2026-03-22 16:00:00.021000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774198800006,km:US500,-0.533731,funding,2026-03-22 17:00:00.006000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774202400081,km:US500,0.431899,funding,2026-03-22 18:00:00.081000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774206000039,km:US500,-2.490156,funding,2026-03-22 19:00:00.039000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774209600048,km:US500,-7.958408,funding,2026-03-22 20:00:00.048000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774213200082,km:US500,-5.757636,funding,2026-03-22 21:00:00.082000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774216800090,km:US500,-3.39031,funding,2026-03-22 22:00:00.090000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774220400049,km:US500,-5.881433,funding,2026-03-22 23:00:00.049000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774224000261,km:US500,-0.554397,funding,2026-03-23 00:00:00.261000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774227600069,km:US500,0.428663,funding,2026-03-23 01:00:00.069000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774231200040,km:US500,0.430178,funding,2026-03-23 02:00:00.040000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774234800111,km:US500,0.42966,funding,2026-03-23 03:00:00.111000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774238400086,km:US500,0.42859,funding,2026-03-23 04:00:00.086000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774242000014,km:US500,0.429248,funding,2026-03-23 05:00:00.014000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774245600068,km:US500,0.428916,funding,2026-03-23 06:00:00.068000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774249200043,km:US500,0.427201,funding,2026-03-23 07:00:00.043000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774252800066,km:US500,0.426756,funding,2026-03-23 08:00:00.066000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774256400071,km:US500,0.428198,funding,2026-03-23 09:00:00.071000+00:00
0x9cac725f17d5deb4a65922a6043eac4081ac6bc4,1774260000081,km:US500,0.427407,funding,2026-03-23 10:00:00.081000+00:00
