address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,BTC,B,Open Long,88252.0,0.26185,23108.786200000002,0.0,6.874863,1766205441909,False,True,2025-12-20 04:37:21.909000+00:00,True,False,True,False
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,BTC,B,Open Long,88252.0,0.2209,19494.8668,0.0,5.799722,1766205441909,False,True,2025-12-20 04:37:21.909000+00:00,True,False,True,False
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,BTC,B,Open Long,88252.0,0.68852,60763.26704,0.0,18.077071,1766205441909,False,True,2025-12-20 04:37:21.909000+00:00,True,False,True,False
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,BTC,B,Open Long,88252.0,0.23725,20937.787,0.0,6.228991,1766205441909,False,True,2025-12-20 04:37:21.909000+00:00,True,False,True,False
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,BTC,B,Open Long,88252.0,0.321,28328.892,0.0,8.427845,1766205441909,False,True,2025-12-20 04:37:21.909000+00:00,True,False,True,False
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,BTC,B,Open Long,88252.0,0.24204,21360.51408,0.0,6.354752,1766205441909,False,True,2025-12-20 04:37:21.909000+00:00,True,False,True,False
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,BTC,B,Open Long,88252.0,0.28862,25471.29224,0.0,7.577709,1766205441909,False,True,2025-12-20 04:37:21.909000+00:00,True,False,True,False
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,BTC,B,Open Long,88252.0,0.24791,21878.55332,0.0,6.508869,1766205441909,False,True,2025-12-20 04:37:21.909000+00:00,True,False,True,False
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,BTC,B,Open Long,88252.0,0.33,29123.16,0.0,8.66414,1766205441909,False,True,2025-12-20 04:37:21.909000+00:00,True,False,True,False
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,BTC,B,Open Long,88252.0,0.165,14561.58,0.0,4.33207,1766205441909,False,True,2025-12-20 04:37:21.909000+00:00,True,False,True,False
