address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,@261,A,Sell,0.00581,3833.72,22.2739132,22.23557601,0.03724197,1766071905547,False,True,2025-12-18 15:31:45.547000+00:00,False,False,False,False
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,@142,B,Buy,88383.0,0.00026,22.97958,0.0,1.747e-07,1766071944382,False,True,2025-12-18 15:32:24.382000+00:00,False,False,False,False
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,@142,B,Buy,88414.0,0.00904,799.2625599999999,0.0,6.0748e-06,1766071986050,False,True,2025-12-18 15:33:06.050000+00:00,False,False,False,False
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,@261,A,Spot Dust Conversion,0.00532,0.00543648,2.8922073599999998e-05,0.0,0.0,1766102400067,False,True,2025-12-19 00:00:00.067000+00:00,False,False,False,False
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,A,Open Short,88765.0,0.20432,18136.4648,0.0,12.369068,1767334505927,False,True,2026-01-02 06:15:05.927000+00:00,True,False,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,A,Open Short,88765.0,0.0236,2094.854,0.0,1.428689,1767334505927,False,True,2026-01-02 06:15:05.927000+00:00,True,False,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,A,Open Short,88765.0,0.15,13314.75,0.0,9.080659,1767334505927,False,True,2026-01-02 06:15:05.927000+00:00,True,False,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,A,Open Short,88765.0,0.11266,10000.2649,0.0,6.82018,1767334505927,False,True,2026-01-02 06:15:05.927000+00:00,True,False,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,A,Open Short,88765.0,0.00489,434.06085,0.0,0.296029,1767334505927,False,True,2026-01-02 06:15:05.927000+00:00,True,False,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,A,Open Short,88765.0,0.15,13314.75,0.0,9.080659,1767334505927,False,True,2026-01-02 06:15:05.927000+00:00,True,False,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,A,Open Short,88765.0,0.118,10474.269999999999,0.0,7.143451,1767334505927,False,True,2026-01-02 06:15:05.927000+00:00,True,False,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,A,Open Short,88765.0,0.15212,13502.9318,0.0,9.208998,1767334505927,False,True,2026-01-02 06:15:05.927000+00:00,True,False,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,A,Open Short,88765.0,0.075,6657.375,0.0,4.540329,1767334505927,False,True,2026-01-02 06:15:05.927000+00:00,True,False,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,A,Open Short,88765.0,0.13582,12056.0623,0.0,8.222233,1767334505927,False,True,2026-01-02 06:15:05.927000+00:00,True,False,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92640.0,1e-05,0.9264000000000001,-0.03875,0.000631,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92640.0,0.32383,29999.6112,-1254.84125,20.459734,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92640.0,0.24661,22845.950399999998,-955.61375,15.580937,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92640.0,0.14274,13223.4336,-553.1175,9.018381,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92640.0,0.10772,9979.1808,-417.415,6.805801,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92641.0,0.00012,11.11692,-0.46512,0.007581,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92641.0,0.00013,12.04333,-0.50388,0.008212,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92641.0,0.05397,4999.8347699999995,-209.18772,3.409886,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92641.0,0.10794,9999.669539999999,-418.37544,6.819774,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92642.0,0.00013,12.04346,-0.504023,0.008212,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92642.0,0.05397,4999.888739999999,-209.247087,3.409923,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92642.0,0.00133,123.21386,-5.156543,0.084031,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92642.0,0.00012,11.117040000000001,-0.465252,0.007581,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92643.0,0.00013,12.043589999999998,-0.504153,0.008212,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92643.0,0.05397,4999.942709999999,-209.301057,3.40996,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92644.0,0.00013,12.043719999999999,-0.504283,0.008212,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92644.0,0.00012,11.117280000000001,-0.465492,0.007581,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92645.0,0.00013,12.043849999999999,-0.504413,0.008212,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92646.0,0.00013,12.04398,-0.504543,0.008212,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92646.0,0.003,277.938,-11.6433,0.189553,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,BTC,B,Close Short,92646.0,0.03018,2796.05628,-117.131598,1.90691,1767590496449,False,True,2026-01-05 05:21:36.449000+00:00,False,True,False,True
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,@206,A,Sell,0.25445,392.9,99.973405,1.12369401,0.06718212,1767670822940,False,True,2026-01-06 03:40:22.940000+00:00,False,False,False,False
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,@206,A,Sell,0.25444,103.1,26.232764,0.29383501,0.01762841,1767670822940,False,True,2026-01-06 03:40:22.940000+00:00,False,False,False,False
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,@206,A,Spot Dust Conversion,0.25666,0.0458,0.011755028,0.0,0.0,1767744000119,False,True,2026-01-07 00:00:00.119000+00:00,False,False,False,False
0xc3cdb57c1169fd641ef5d08d9a5828e5a8bcefcf,@150,B,Buy,0.9996,56.0,55.9776,0.0,0.00752639,1767855284460,False,True,2026-01-08 06:54:44.460000+00:00,False,False,False,False
