address,time_ms,coin,funding_usd,side,time
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1770681600000,HYPE,-96.341415,funding,2026-02-10 00:00:00+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1770768000000,ZRO,-126.101922,funding,2026-02-11 00:00:00+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1770854400000,HYPE,-7.781087,funding,2026-02-12 00:00:00+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771480800072,HYPE,-2.909068,funding,2026-02-19 06:00:00.072000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771484400126,HYPE,-5.730955,funding,2026-02-19 07:00:00.126000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771488000040,HYPE,-5.807601,funding,2026-02-19 08:00:00.040000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771491600019,HYPE,-5.756039,funding,2026-02-19 09:00:00.019000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771495200033,HYPE,-5.704875,funding,2026-02-19 10:00:00.033000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771498800010,HYPE,-5.665457,funding,2026-02-19 11:00:00.010000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771502400062,HYPE,-5.649332,funding,2026-02-19 12:00:00.062000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771567200033,AZTEC,-694.745979,funding,2026-02-20 06:00:00.033000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771570800077,AZTEC,-1127.135134,funding,2026-02-20 07:00:00.077000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771574400069,AZTEC,-10.543603,funding,2026-02-20 08:00:00.069000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771578000018,AZTEC,-9.81379,funding,2026-02-20 09:00:00.018000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771581600018,AZTEC,-6.191991,funding,2026-02-20 10:00:00.018000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771585200029,AZTEC,-6.10968,funding,2026-02-20 11:00:00.029000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771588800020,AZTEC,-6.167787,funding,2026-02-20 12:00:00.020000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771592400001,AZTEC,-4.759905,funding,2026-02-20 13:00:00.001000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771596000062,AZTEC,-3.827677,funding,2026-02-20 14:00:00.062000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771599600013,AZTEC,-2.5063,funding,2026-02-20 15:00:00.013000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771603200044,AZTEC,-2.009256,funding,2026-02-20 16:00:00.044000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771606800002,ZRO,-0.075625,funding,2026-02-20 17:00:00.002000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771606800002,AZTEC,-25.606634,funding,2026-02-20 17:00:00.002000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771610400056,ZRO,-0.073642,funding,2026-02-20 18:00:00.056000+00:00
0xc5ea2f344d5648d95e96e2b8c9e955e77e74099c,1771610400056,AZTEC,-16.225333,funding,2026-02-20 18:00:00.056000+00:00
